timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
39134132,39133887,-0.11504855,-0.028978318,0.00020243565,0.0,0.0,0.0,0.0,-1.0
39136638,39136389,-0.119271815,-0.02674762,-5.9215936e-06,0.0,0.0,0.0,0.0,-1.0
39235938,39235669,-0.12739953,-0.021685459,-0.0023669251,0.0,0.0,0.0,0.0,-1.0
39337713,39337466,-0.14810745,-0.02513496,-0.0033662957,0.0,0.0,0.0,0.0,-1.0
39435959,39435716,-0.11079343,0.016701827,-0.0026842193,0.0,0.0,0.0,0.0,-1.0
39538840,39538587,-0.11599021,-0.017994953,-0.0045977454,0.0,0.0,0.0,0.0,-1.0
39635660,39635419,-0.10126034,0.036883146,0.006928105,0.0,0.0,0.0,0.0,-1.0
39736230,39735979,-0.13104588,-0.0040252027,-0.011105927,0.0,0.0,0.0,0.0,-1.0
39834294,39834054,-0.14467515,-0.18807395,-0.008571022,0.0,0.0,0.0,0.0,-1.0
39936101,39935855,-0.12690948,-0.11932865,0.004634191,0.0,0.0,0.0,0.0,-1.0
40037904,40037655,-0.121583,0.011273777,0.009216609,0.0,0.0,0.0,0.0,-1.0
40135981,40135731,-0.07322935,0.03759118,0.0015947431,0.0,0.0,0.0,0.0,-1.0
40236665,40236426,-0.10758769,-0.08319913,0.0018543917,0.0,0.0,0.0,0.0,-1.0
40334609,40334367,-0.16586077,-0.116366915,-0.010714031,0.0,0.0,0.0,0.0,-1.0
40436413,40436168,-0.13322474,-0.060049664,-0.007991347,0.0,0.0,0.0,0.0,-1.0
40534485,40534243,-0.043834288,0.17136228,0.02220348,0.0,0.0,0.0,0.0,-1.0
40636288,40636043,-0.07468409,0.17593408,0.023751022,0.0,0.0,0.0,0.0,-1.0
40738169,40737923,-0.09906049,0.08848804,0.014218424,0.0,0.0,0.0,0.0,-1.0
40836165,40835921,-0.1357428,-0.012901576,-0.0015245534,0.0,0.0,0.0,0.0,-1.0
40936722,40936479,-0.14438261,0.05275721,-0.004983829,0.0,0.0,0.0,0.0,-1.0
41034894,41034651,-0.13247623,-0.045693394,-0.017042175,0.0,0.0,0.0,0.0,-1.0
41136603,41136357,-0.12312249,-0.079275444,-0.005484068,0.0,0.0,0.0,0.0,-1.0
41234676,41234432,-0.15475555,-0.04574916,0.006904705,0.0,0.0,0.0,0.0,-1.0
41336488,41336233,-0.13662368,0.03740735,-0.00043585358,0.0,0.0,0.0,0.0,-1.0
41434558,41434309,-0.0760173,0.09665163,0.010927747,0.0,0.0,0.0,0.0,-1.0
41535139,41534890,-0.09316225,0.053610027,0.014159235,0.0,0.0,0.0,0.0,-1.0
41636913,41636668,-0.14142868,0.019405749,0.006584437,0.0,0.0,0.0,0.0,-1.0
41734985,41734744,-0.17447947,-0.1442215,-0.02244577,0.0,0.0,0.0,0.0,-1.0
41836873,41836621,-0.14005743,-0.073896945,-0.016319862,0.0,0.0,0.0,0.0,-1.0
41934863,41934621,-0.1514192,-0.1146684,-0.014904888,0.0,0.0,0.0,0.0,-1.0
42036734,42036478,-0.17357482,-0.18380435,-0.01712443,0.0,0.0,0.0,0.0,-1.0
42134752,42134497,-0.11767954,-0.098576844,0.0009039081,0.0,0.0,0.0,0.0,-1.0
42235301,42235056,-0.099727415,0.06161453,0.017927278,0.0,0.0,0.0,0.0,-1.0
42337100,42336858,-0.0754888,0.058990683,0.010927438,0.0,0.0,0.0,0.0,-1.0
42435171,42434933,-0.12800844,-0.11735296,0.0030214512,0.0,0.0,0.0,0.0,-1.0
42536981,42536734,-0.15635659,-0.13931482,-0.004418698,0.0,0.0,0.0,0.0,-1.0
42635086,42634843,-0.15042225,-0.09263998,-0.015396456,0.0,0.0,0.0,0.0,-1.0
42735617,42735369,-0.13074246,-0.122945204,-0.015777696,0.0,0.0,0.0,0.0,-1.0
42837422,42837183,-0.11071353,-0.1508459,-0.0035796762,0.0,0.0,0.0,0.0,-1.0
42935673,42935429,-0.11569405,-0.029511485,0.014625356,0.0,0.0,0.0,0.0,-1.0
43037288,43037046,-0.11961317,0.04131434,0.010483762,0.0,0.0,0.0,0.0,-1.0
43135365,43135123,-0.07664655,0.023054725,-0.0010473848,0.025349112,0.0,0.0,0.0,-1.0
43238418,43238167,-0.13665502,-0.044312064,-0.00041044998,0.10501775,0.0,0.0,0.0,-1.0
43335258,43334999,-0.1500008,0.01490488,-0.023740409,0.20213018,0.0,0.0,0.0,-1.0
43437074,43436822,-0.12509936,-0.03507457,-0.0056531564,0.20213018,0.0,0.0,0.0,-1.0
43537602,43537358,-0.23006259,0.04897773,-0.0054619852,0.20620118,0.0,0.0,0.0,-1.0
43635686,43635435,-0.11784442,-0.07397924,0.003293287,0.21739644,0.0,0.0,0.0,-1.0
43737640,43737393,-0.1583567,0.00044683187,-0.0135173425,0.21739644,0.0,0.0,0.0,-1.0
43835558,43835313,-0.15955395,-0.11141048,0.0036392552,0.21739644,0.0,0.0,0.0,-1.0
43936112,43935870,-0.1698674,0.0277317,-0.003171812,0.23062722,0.0,0.0,0.0,-1.0
44034204,44033949,-0.16226956,-0.108528964,-0.004284727,0.26930177,0.0,0.0,0.0,-1.0
44135993,44135747,-0.09810022,-0.0366109,-0.005154907,0.2754083,0.0,0.0,0.0,-1.0
44237856,44237597,-0.052111782,-0.07200563,-0.005468643,0.2754083,0.0,0.0,0.0,-1.0
44335871,44335624,-0.0382165,-0.07265112,-0.0077090496,0.2754083,0.0,0.0,0.0,-1.0
44437711,44437470,0.01000532,0.024086276,-0.0053914697,0.27337277,0.0,0.0,0.0,-1.0
44534614,44534368,-0.12887834,-0.04205022,0.0125609925,0.29372782,0.0,0.0,0.0,-1.0
44636303,44636059,-0.1391903,0.042636883,-9.852748e-05,0.29474556,0.0,0.0,0.0,-1.0
44734395,44734150,-0.23444408,0.03918188,0.0064072628,0.29474556,0.0,0.0,0.0,-1.0
44837438,44837181,-0.191595,-0.027610626,-0.0057205795,0.29474556,0.0,0.0,0.0,-1.0
44934260,44934014,-0.28353873,0.012440882,0.007985059,0.29474556,0.0,0.0,0.0,-1.0
45036065,45035814,-0.2633199,-0.060878843,-0.0011229241,0.29474556,0.0,0.0,0.0,-1.0
45136618,45136372,-0.12050863,0.041243874,-0.0004663958,0.29474556,0.0,0.0,0.0,-1.0
45234699,45234449,0.029110935,-0.12307005,-0.0005374167,0.29474556,0.0,0.0,0.0,-1.0
