timestamp,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
43375969,-0.3314299,3.6626205,-2.5137124,-1.2570753,-0.0004406277,1.2561948,2.5128336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
43385899,-0.29640087,3.6406565,-2.5137172,-1.2570801,-0.00044566515,1.2561896,2.5128284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
43579568,0.17142904,3.5825448,-2.5140266,-1.2573715,-0.0007668679,1.2558322,2.5124784,0.0050156415,0.016833816,0.0040061697,-0.015739769,-0.015115824,-0.030796925,-0.013469284,0.0031249113,-0.003946973,-0.02491179,0.19998953,0.20000115,0.20001118,0.20000575,0.19999239
43773240,0.45326412,3.7577553,-2.5137439,-1.2569667,-0.00042685814,1.2560098,2.5126204,0.034467563,0.04652577,0.018473743,-0.0109211635,-0.0010366514,-0.05997794,-0.026564352,-0.004771373,-0.02471563,-0.05883517,0.199918,0.19998807,0.20007464,0.20005798,0.19996122
43981848,-0.5565764,3.86167,-2.5132818,-1.2566781,-0.00020078289,1.2563705,2.513127,-0.011720844,-0.006430529,-0.03978096,-0.06568306,-0.048346564,-0.019232912,0.017557072,0.033953965,0.0073079155,-0.025565622,0.19997586,0.20005137,0.20005594,0.19998313,0.19993372
44180440,0.7061552,3.8509116,-2.5139306,-1.2566947,-0.00022240936,1.2557138,2.5120826,0.09381159,0.11135319,0.068093255,0.02380605,0.03969896,-0.08957824,-0.03838648,-0.005882591,-0.03697883,-0.0887128,0.19970147,0.1998852,0.20022772,0.20025538,0.19993013
44379075,0.8376052,3.719595,-2.5157204,-1.2580354,-0.0015160714,1.2540002,2.5100622,0.08135036,0.09324367,0.047443874,0.0072618118,0.028183023,-0.058438573,-0.0063994043,0.020968817,-0.014102388,-0.06317933,0.1995203,0.19975354,0.20032762,0.20044887,0.19994965
44577710,0.99136853,3.6147954,-2.5166674,-1.2589458,-0.0022508884,1.2533375,2.5092688,0.044756234,0.056723945,-0.0006485265,-0.04803043,-0.020037973,-0.024385951,0.039859723,0.07104334,0.026174994,-0.03279809,0.19955128,0.19969754,0.20026192,0.2004644,0.20002492
44776350,0.98340607,3.616019,-2.5157695,-1.257506,-0.000795641,1.2542608,2.5098476,0.06004632,0.09603523,0.045651287,-0.021379221,-0.012547546,-0.091521345,-0.026847223,0.027298924,-0.0038304552,-0.07722397,0.1993211,0.1995492,0.20040053,0.20069851,0.20003057
44974981,1.1156673,3.55728,-2.5175717,-1.2585917,-0.0015391463,1.2530133,2.507946,0.10450713,0.11716804,0.042552013,-0.01611955,0.022041384,-0.048830763,0.033788454,0.07125718,0.011983287,-0.062210053,0.19910234,0.1992663,0.20044419,0.20100912,0.20017797
45178586,1.245089,3.5393243,-2.517264,-1.258456,-0.0011649013,1.2537067,2.5085986,0.038264975,0.056253694,-0.013991473,-0.07520097,-0.043071985,-0.027185755,0.05255594,0.094153546,0.040345054,-0.03457652,0.19923922,0.19924904,0.2002963,0.20093507,0.20028032
45377219,1.3493147,3.5461047,-2.5208664,-1.2615955,-0.003892583,1.250771,2.5051222,0.0934395,0.103470474,0.06349368,0.028870821,0.047296815,-0.007291848,0.038009495,0.06146638,0.030766455,-0.011681249,0.19914646,0.19901545,0.20024405,0.20113714,0.20045677
45575851,1.6607457,3.700853,-2.520284,-1.2610004,-0.0024473444,1.2527277,2.5065475,0.07668711,0.10540213,0.0038858345,-0.087170996,-0.0424145,-0.0347914,0.08127236,0.14419112,0.06729108,-0.043145422,0.1993652,0.19878623,0.19988245,0.20114346,0.20082276
45779454,-0.8605049,3.6900468,-2.5164928,-1.2614394,-0.0077824374,1.2485976,2.508045,0.056456305,0.1116159,-0.13309364,-0.33832717,-0.22164619,-0.23759101,0.03744236,0.17426479,-0.01578549,-0.26972345,0.1998786,0.20124906,0.20089133,0.19930199,0.19867902
45978091,-0.60710764,3.8920414,-2.5141482,-1.2583473,-0.0046641664,1.2509917,2.5099633,0.08614725,0.13317706,0.03513484,-0.07303287,-0.04156093,-0.11428222,0.0043840986,0.08592996,0.017932873,-0.106175125,0.1995621,0.20104851,0.20108531,0.19962093,0.19868322
46176724,-0.76684123,3.7712722,-2.514099,-1.2586509,-0.0047335904,1.2514151,2.5104606,0.057450935,0.09948338,-0.010149511,-0.12043496,-0.07878532,-0.07414856,0.055115573,0.13512732,0.055697046,-0.07400586,0.19978003,0.20108956,0.20089208,0.1994614,0.19877702
46375360,-0.3937481,3.68155,-2.5088294,-1.2524213,0.0010971146,1.2560465,2.5147464,0.12519704,0.14218387,0.011901899,-0.08618923,-0.016167795,-0.118274316,0.024505533,0.08497231,-0.020247478,-0.14624035,0.1992542,0.2009436,0.2013296,0.19987531,0.19859718
46578961,-0.03154576,3.5286527,-2.4976435,-1.2401788,0.014040812,1.2683707,2.5259886,0.11078377,0.16408074,0.056646217,-0.06346444,-0.030262806,-0.10338836,0.027283583,0.11834922,0.04453502,-0.09285918,0.19898376,0.20046715,0.20130731,0.2003375,0.1989042
46777592,-1.3648632,3.5523777,-2.4922683,-1.2366443,0.019173786,1.2763114,2.5340836,0.02611424,0.07269125,-0.039277855,-0.15526134,-0.11516444,0.018112577,0.15131696,0.23667297,0.15683424,0.021519385,0.20023115,0.20054153,0.20010325,0.19952235,0.19960168
46976232,-2.7882411,3.6169763,-2.4999273,-1.2441119,0.013408674,1.2714005,2.5280094,0.094365284,0.15188588,0.057708334,-0.05825344,-0.03555583,-0.0315345,0.08625693,0.17745921,0.116041414,-0.0132657215,0.20061393,0.20002799,0.19940436,0.19960286,0.2003508
47174869,-2.2225308,3.6128292,-2.51086,-1.2558758,0.0008863481,1.2592403,2.5168293,0.05503364,0.13294065,-0.014471788,-0.18352102,-0.14030917,-0.14862576,0.0315078,0.16141048,0.06114261,-0.13041544,0.20077519,0.20047042,0.19951625,0.1992304,0.20000774
47373502,-2.3898003,3.544278,-2.5097685,-1.2544428,0.002580967,1.2607555,2.517973,0.09309638,0.15030375,0.018021522,-0.12120291,-0.07453811,-0.11678506,0.04081162,0.14414279,0.050043836,-0.11130597,0.20069873,0.20030928,0.1994933,0.19937696,0.20012173
47577104,-0.5612049,3.8508613,-2.5100994,-1.2535698,0.002430606,1.2587761,2.5158823,0.1384378,0.17483619,0.008613632,-0.13063523,-0.05012943,-0.17095943,0.0154927075,0.10790527,-0.021849379,-0.1941911,0.19988436,0.20026304,0.20027857,0.19990839,0.19966567
47775916,-0.44656843,3.6938102,-2.5152009,-1.2591906,-0.008071714,1.2457906,2.5062325,0.17777836,0.13319528,-0.074311055,-0.15817438,-0.002373917,-0.21526656,-0.011474088,0.009161815,-0.18180588,-0.32064372,0.19877249,0.20176846,0.20232123,0.19965832,0.19747953
47974374,-0.37243587,3.597311,-2.541637,-1.2850806,-0.036265507,1.2156372,2.4771633,0.1693503,0.1620332,-0.045787048,-0.16856897,-0.035809465,-0.17490907,0.04216437,0.10271269,-0.076048575,-0.24877298,0.19790393,0.20226403,0.20350146,0.19988069,0.19644979
48177973,-0.50408036,3.6372051,-2.540157,-1.2859449,-0.04602734,1.2026948,2.4711783,0.2657668,0.14862081,-0.12950441,-0.18771812,0.056845903,-0.23994325,0.015857786,-0.015240505,-0.2895912,-0.4306314,0.19641946,0.20546277,0.20695718,0.1987738,0.19238679
48381577,-0.6901251,3.7017386,-2.5206032,-1.2730235,-0.04336741,1.2055874,2.484539,0.20153494,0.0741913,-0.22138669,-0.28454554,-0.02192549,-0.26921412,0.0029351413,-0.03088285,-0.32348937,-0.47548127,0.19644831,0.21038894,0.2098685,0.19564359,0.18765059
