timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
21415551,0.0,0.0,0,10,59628,65536,0,3,122
22417634,80.8818,79.7624,0,11,8575,65536,0,3,122
23419720,108.854,53.9921,0,11,5849,65536,0,3,122
24422878,136.174,45.1015,0,11,4191,65536,0,3,122
25423887,159.712,39.7265,0,11,6071,65536,0,3,122
26424881,185.314,36.9058,0,11,5887,65536,0,3,122
27425985,210.688,34.9842,0,11,5953,65536,0,3,122
28426982,236.111,33.6179,0,11,5953,65536,0,3,122
29428425,264.077,32.9075,0,11,3349,65536,0,3,122
30428878,287.088,31.8093,0,11,6003,65536,0,3,122
31430192,312.511,31.1682,0,11,6003,65536,0,3,122
32430878,338.113,30.6615,0,11,5769,65536,0,3,122
33431914,363.663,30.234,0,11,6335,65536,0,3,122
34432939,392.068,30.0912,0,11,3840,65536,0,3,122
35433943,421.679,30.0548,0,11,161,65536,0,3,122
36435050,448.0,29.8042,0,11,84,65536,0,3,122
37435966,473.894,29.5586,0,11,231,65536,0,3,122
38437208,499.862,29.3457,0,11,281,65536,0,3,122
39437885,526.06,29.17,0,11,270,65536,0,3,122
40438879,546.225,28.6954,0,11,6263,65536,0,3,122
41440009,576.0,28.7477,0,11,2365,65536,0,3,122
42441035,604.227,28.7215,0,11,337,65536,0,3,122
43442810,630.364,28.6022,0,11,337,65536,0,3,122
44442882,656.708,28.5038,0,11,337,65536,0,3,122
45444213,683.184,28.4179,0,11,387,65536,0,3,122
46444897,709.479,28.3324,0,11,320,65536,0,3,122
47445928,735.727,28.2512,0,11,370,65536,0,3,122
48446982,762.202,28.1844,0,11,370,65536,0,3,122
49447879,788.498,28.1162,0,11,370,65536,0,3,122
50449131,814.745,28.0506,0,11,420,65536,0,3,122
51449887,841.27,27.9991,0,11,370,65536,0,3,122
52451138,867.517,27.9416,0,11,420,65536,0,3,122
53452057,893.764,27.8879,0,11,420,65536,0,3,122
54452910,920.288,27.8459,0,11,420,65536,0,3,122
55453992,946.535,27.7981,0,11,420,65536,0,3,122
56454921,972.782,27.7531,0,11,470,65536,0,3,122
57455931,999.307,27.7182,0,11,540,65536,0,3,122
58456946,1024.0,27.6358,0,11,2131,65536,0,3,122
59458259,1040.82,27.3506,0,11,11836,65536,0,3,122
60458875,1078.16,27.606,0,11,708,65536,0,3,122
61459881,1104.41,27.5714,0,11,758,65536,0,3,122
62460965,1130.97,27.546,0,11,438,65536,0,3,122
63461922,1157.18,27.5137,0,11,590,65536,0,3,122
64462986,1183.43,27.4836,0,11,697,65536,0,3,122
65463963,1209.99,27.462,0,11,377,65536,0,3,122
66465083,1236.07,27.4308,0,11,824,65536,0,3,122
67465928,1262.32,27.4046,0,11,743,65536,0,3,122
68466979,1288.62,27.3805,0,11,743,65536,0,3,122
69467885,1315.09,27.3611,0,11,743,65536,0,3,122
70468921,1341.34,27.3378,0,11,793,65536,0,3,122
71469941,1367.64,27.3165,0,11,793,65536,0,3,122
72470920,1394.16,27.3004,0,11,743,65536,0,3,122
73472078,1420.72,27.2856,0,11,473,65536,0,3,122
74472880,1446.65,27.2597,0,11,793,65536,0,3,122
75473880,1472.0,27.2238,0,11,2000,65536,0,3,122
76474915,1498.99,27.2191,0,11,1309,65536,0,3,122
77475890,1525.74,27.2103,0,11,913,65536,0,3,122
78477059,1552.27,27.1977,0,11,913,65536,0,3,122
79478001,1578.51,27.1809,0,11,913,65536,0,3,122
80479179,1604.76,27.1645,0,11,963,65536,0,3,122
81479876,1631.28,27.1536,0,11,913,65536,0,3,122
82480965,1657.53,27.1382,0,11,963,65536,0,3,122
83481873,1683.78,27.1235,0,11,963,65536,0,3,122
84483055,1710.3,27.1135,0,11,963,65536,0,3,122
85483884,1736.7,27.1019,0,11,863,65536,0,3,122
86484883,1762.85,27.0868,0,11,963,65536,0,3,122
87485882,1789.32,27.0772,0,11,1013,65536,0,3,122
88486928,1815.57,27.0644,0,11,1013,65536,0,3,122
89487891,1830.85,26.8909,0,11,12291,65536,0,3,122
90488874,1868.34,27.044,0,11,1013,65536,0,3,122
91490093,1894.42,27.0298,0,11,1231,65536,0,3,122
92490900,1920.0,27.009,0,11,1967,65536,0,3,122
93492015,1947.19,27.0112,0,11,1231,65536,0,3,122
94492993,1973.44,27.0004,0,11,1281,65536,0,3,122
95493987,1999.74,26.9905,0,11,1231,65536,0,3,122
96495000,2026.21,26.9833,0,11,1113,65536,0,3,122
97495962,2052.46,26.9733,0,11,1183,65536,0,3,122
98497133,2078.76,26.9641,0,11,1183,65536,0,3,122
99497940,2105.23,26.9575,0,11,1233,65536,0,3,122
100498885,2131.53,26.9489,0,11,1183,65536,0,3,122
101499991,2157.77,26.9397,0,11,1233,65536,0,3,122
102500903,2184.3,26.9343,0,11,1183,65536,0,3,122
103501879,2210.55,26.9256,0,11,1233,65536,0,3,122
104502920,2236.79,26.9171,0,11,1233,65536,0,3,122
105504050,2263.27,26.9115,0,11,1283,65536,0,3,122
106505960,2289.56,26.9037,0,11,1283,65536,0,3,122
107509428,2316.12,26.8986,0,11,1013,65536,0,3,122
108510418,2342.23,26.8892,0,11,1460,65536,0,3,122
109511486,2368.0,26.8761,0,11,2000,65536,0,3,122
110512732,2394.82,26.8752,0,11,1460,65536,0,3,122
111513383,2421.25,26.87,0,11,1510,65536,0,3,122
112514522,2447.55,26.8634,0,11,1383,65536,0,3,122
113515505,2473.84,26.8569,0,11,2121,65536,0,3,122
114516414,2500.32,26.8526,0,11,1937,65536,0,3,122
115517484,2526.54,26.8456,0,11,1959,65536,0,3,122
116518537,2552.84,26.8395,0,11,2193,65536,0,3,122
117519930,2579.31,26.8353,0,11,2009,65536,0,3,122
118520385,2605.56,26.8292,0,11,2009,65536,0,3,122
119521385,2624.0,26.7434,0,11,10289,65536,0,3,122
120522444,2658.33,26.8197,0,11,2009,65536,0,3,122
121523578,2684.63,26.8141,0,11,2009,65536,0,3,122
122524438,2710.88,26.8083,0,11,2243,65536,0,3,122
123525529,2737.19,26.8031,0,11,2227,65536,0,3,122
124526577,2764.13,26.8042,0,11,1569,65536,0,3,122
125527385,2789.73,26.7924,0,11,2461,65536,0,3,122
126529020,2816.0,26.787,0,11,2488,65536,0,3,122
127529453,2842.5,26.7843,0,11,2227,65536,0,3,122
128530423,2869.06,26.7819,0,11,2191,65536,0,3,122
129531375,2895.22,26.776,0,11,2277,65536,0,3,122
130532382,2921.52,26.7713,0,11,2109,65536,0,3,122
131533522,2948.03,26.7687,0,11,2123,65536,0,3,122
132534383,2974.24,26.7635,0,11,2159,65536,0,3,122
133535549,3000.54,26.759,0,11,2229,65536,0,3,122
134536474,3026.79,26.7543,0,11,2441,65536,0,3,122
135537536,3053.31,26.752,0,11,2207,65536,0,3,122
136538448,3080.13,26.7524,0,11,1617,65536,0,3,122
137539385,3105.8,26.7429,0,11,2491,65536,0,3,122
138541676,3132.33,26.7405,0,11,2257,65536,0,3,122
139545015,3158.58,26.7356,0,11,2328,65536,0,3,122
140545882,3184.89,26.7318,0,11,2562,65536,0,3,122
141546949,3211.42,26.7299,0,11,2328,65536,0,3,122
142548557,3237.66,26.7255,0,11,2378,65536,0,3,122
143548881,3264.0,26.7223,0,11,2688,65536,0,3,122
