timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
21414235,5.17236,3.28711,1,0,1,0,1,0,0
21424169,4.96289,3.28872,1,0,1,0,1,0,0
21914407,5.00962,3.28872,1,0,1,0,1,0,0
22414172,4.96611,3.29194,1,0,1,0,1,0,0
22914294,5.22393,3.29033,1,0,1,0,1,0,0
23414234,5.17236,3.28711,1,0,1,0,1,0,0
23914170,5.21426,3.28711,1,0,1,0,1,0,0
24414168,5.2207,3.29355,1,0,1,0,1,0,0
24914180,5.21748,3.29355,1,0,1,0,1,0,0
25414189,5.09341,3.29033,1,0,1,0,1,0,0
25914204,5.21265,3.29194,1,0,1,0,1,0,0
26414175,4.99351,3.29355,1,0,1,0,1,0,0
26914231,5.00317,3.28872,1,0,1,0,1,0,0
27414169,5.20459,3.28872,1,0,1,0,1,0,0
27914242,5.0209,3.29194,1,0,1,0,1,0,0
28414251,5.2062,3.29033,1,0,1,0,1,0,0
28914170,5.03701,3.28872,1,0,1,0,1,0,0
29414292,5.19976,3.29033,1,0,1,0,1,0,0
29914170,5.20459,3.29355,1,0,1,0,1,0,0
30414289,5.20137,3.29194,1,0,1,0,1,0,0
30914168,5.20459,3.28872,1,0,1,0,1,0,0
31414375,5.16108,3.29033,1,0,1,0,1,0,0
31914290,5.20459,3.29355,1,0,1,0,1,0,0
32414173,5.14819,3.29033,1,0,1,0,1,0,0
32914172,5.19492,3.28711,1,0,1,0,1,0,0
33414250,5.19976,3.29033,1,0,1,0,1,0,0
33914272,5.17559,3.29194,1,0,1,0,1,0,0
34414169,5.17236,3.28872,1,0,1,0,1,0,0
34914320,5.1772,3.29033,1,0,1,0,1,0,0
35414204,5.18203,3.29194,1,0,1,0,1,0,0
35914173,5.19814,3.29355,1,0,1,0,1,0,0
36414168,5.18848,3.28872,1,0,1,0,1,0,0
36914168,5.19492,3.28872,1,0,1,0,1,0,0
37414213,5.19009,3.29355,1,0,1,0,1,0,0
37914170,5.20137,3.29033,1,0,1,0,1,0,0
38414171,5.19653,3.28872,1,0,1,0,1,0,0
38914292,5.19653,3.29194,1,0,1,0,1,0,0
39414595,5.20137,3.29355,1,0,1,0,1,0,0
39914169,5.18525,3.29194,1,0,1,0,1,0,0
40414168,5.2062,3.28872,1,0,1,0,1,0,0
40914171,5.19976,3.29194,1,0,1,0,1,0,0
41414210,5.19653,3.29194,1,0,1,0,1,0,0
41914202,5.20298,3.28711,1,0,1,0,1,0,0
42414169,5.20298,3.28872,1,0,1,0,1,0,0
42914176,5.19976,3.29194,1,0,1,0,1,0,0
43414230,5.19976,3.29194,1,0,1,0,1,0,0
43914206,5.20298,3.28872,1,0,1,0,1,0,0
44414230,5.20137,3.28711,1,0,1,0,1,0,0
44914170,5.20137,3.29194,1,0,1,0,1,0,0
45414364,5.19976,3.29194,1,0,1,0,1,0,0
45914168,5.19976,3.28872,1,0,1,0,1,0,0
46414170,5.20137,3.29194,1,0,1,0,1,0,0
46914283,5.20459,3.29194,1,0,1,0,1,0,0
47414176,5.20298,3.29033,1,0,1,0,1,0,0
47914170,5.20298,3.28872,1,0,1,0,1,0,0
48414169,5.20459,3.29355,1,0,1,0,1,0,0
48914428,5.20459,3.29194,1,0,1,0,1,0,0
49414169,5.20137,3.28872,1,0,1,0,1,0,0
49914238,5.19976,3.28872,1,0,1,0,1,0,0
50414540,5.19814,3.29194,1,0,1,0,1,0,0
50914273,5.19976,3.29194,1,0,1,0,1,0,0
51414168,5.19814,3.29033,1,0,1,0,1,0,0
51914406,5.2062,3.29194,1,0,1,0,1,0,0
52414204,5.20298,3.29194,1,0,1,0,1,0,0
52914173,5.20781,3.29033,1,0,1,0,1,0,0
53414172,5.19653,3.28872,1,0,1,0,1,0,0
