timestamp,load,ram_usage
21042744,0.462301,0.412262
21542579,0.560558,0.550129
22042575,0.488406,0.540274
22542604,0.490382,0.540274
23042680,0.485487,0.540274
23542606,0.486779,0.540274
24042582,0.487495,0.539939
24542634,0.48892,0.541179
25042931,0.485582,0.541179
25542575,0.485634,0.541179
26042582,0.486364,0.541179
26542589,0.486588,0.541179
27042739,0.485673,0.541179
27542573,0.489324,0.541179
28042575,0.485136,0.541179
28542576,0.487905,0.54014
29042675,0.486249,0.54014
29542573,0.488374,0.54014
30042669,0.486486,0.54014
30542573,0.483876,0.54014
31042786,0.490755,0.540274
31542575,0.488641,0.540274
32042573,0.488918,0.540274
32542649,0.487458,0.540274
33042573,0.489406,0.540274
33542714,0.490102,0.542855
34042575,0.489765,0.542855
34542841,0.491844,0.542855
35042573,0.491333,0.542855
35542574,0.490709,0.542855
36042574,0.49298,0.542855
36542653,0.488653,0.542855
37042580,0.494646,0.542855
37542599,0.488321,0.542855
38042684,0.494489,0.542855
38542574,0.490394,0.542855
39042630,0.492031,0.542855
39542592,0.487614,0.542855
40042575,0.49193,0.542855
40542781,0.489484,0.542855
41042573,0.490404,0.542855
41542573,0.489646,0.542855
42042797,0.490742,0.542855
42542973,0.491562,0.542855
43042630,0.490068,0.542855
43542744,0.497233,0.543794
44043440,0.492947,0.543794
44542808,0.494546,0.543794
45042631,0.494242,0.543794
45542576,0.494186,0.543794
46042732,0.495273,0.543794
46542578,0.493238,0.543794
47042632,0.492649,0.543794
47542611,0.494571,0.543794
48042581,0.492811,0.543794
48542575,0.492997,0.543794
49042576,0.490741,0.543794
49542573,0.493776,0.543794
50042598,0.494959,0.543794
50542577,0.492987,0.543794
51042688,0.494005,0.543794
51542804,0.495924,0.543794
52042957,0.490893,0.543794
52542680,0.495819,0.543794
53042606,0.49417,0.543794
53543294,0.495018,0.543794
54042645,0.494473,0.543794
54542575,0.49406,0.543794
55042576,0.493107,0.543794
55542649,0.493604,0.543794
56042673,0.492509,0.543794
56542588,0.495289,0.543794
57042574,0.492451,0.543794
57542575,0.495321,0.543794
58042827,0.49171,0.543794
58542573,0.493461,0.543794
59042573,0.495088,0.543794
59542607,0.489195,0.543794
60042625,0.489134,0.543794
60542575,0.494051,0.543794
61042580,0.492644,0.543794
61543504,0.495748,0.543794
62042580,0.493438,0.543794
62542574,0.496232,0.543794
63043258,0.492884,0.543794
63542743,0.496123,0.543794
64042592,0.494095,0.543794
64542688,0.495955,0.543794
65042624,0.492062,0.543794
65542790,0.493735,0.543794
66042715,0.495768,0.543794
66542633,0.493136,0.543794
67042633,0.4934,0.543794
67542780,0.493291,0.543794
68042575,0.491948,0.543794
68542634,0.493933,0.543794
69042577,0.492586,0.543794
69543498,0.494379,0.543794
70042573,0.493825,0.543794
70542574,0.493803,0.543794
71043902,0.496054,0.543794
71542829,0.493411,0.543794
72042574,0.494244,0.543794
72543139,0.49382,0.543794
73042577,0.49412,0.543794
73542576,0.491834,0.543794
74042577,0.497285,0.543794
74542573,0.491446,0.543794
