timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,accel_rate_hz,gyro_rate_hz
21397673,3670026,3670026,0,0,0,0,0,0.000290312,1.19937e-05,3.27614e-10,806,806
21501880,3670026,3670026,0,0,0,0,0,0.000494498,3.31305e-05,2.31028e-09,806,806
22336197,3670026,3670026,0,0,0,0,0,0.00420495,0.000681199,3.04227e-07,806,806
23379093,3670026,3670026,0,0,0,0,0,0.00566659,0.00100608,5.45936e-07,806,806
24317585,3670026,3670026,0,0,0,0,0,0.0244381,0.00292072,1.19185e-06,806,806
25360438,3670026,3670026,0,0,0,0,0,0.0247387,0.00244329,1.10074e-06,806,806
26403410,3670026,3670026,0,0,0,0,0,0.0221666,0.00198342,7.12977e-07,806,806
27341842,3670026,3670026,0,0,0,0,0,0.0228739,0.00202732,6.68537e-07,806,806
28384718,3670026,3670026,0,0,0,0,0,0.0263649,0.00204543,6.3949e-07,806,806
29323306,3670026,3670026,0,0,0,0,0,0.0276038,0.00226496,1.00518e-06,806,806
30366154,3670026,3670026,0,0,0,0,0,0.028378,0.00204842,1.50077e-06,806,806
31409002,3670026,3670026,0,0,0,0,0,0.0277458,0.00240376,1.63599e-06,806,806
32347851,3670026,3670026,0,0,0,0,0,0.0265956,0.00213444,2.87328e-06,806,806
33390429,3670026,3670026,0,0,0,0,0,0.0351445,0.00277027,1.19301e-06,806,806
34328985,3670026,3670026,0,0,0,0,0,0.0328507,0.00232828,1.25855e-06,806,806
35371860,3670026,3670026,0,0,0,0,0,0.035111,0.00292497,3.36945e-06,806,806
36414663,3670026,3670026,0,0,0,0,0,0.0360511,0.00257265,3.9257e-06,806,806
37353264,3670026,3670026,0,0,0,0,0,0.029623,0.00228485,1.96992e-06,806,806
38396071,3670026,3670026,0,0,0,0,0,0.0382063,0.00283491,3.35773e-06,806,806
39334759,3670026,3670026,0,0,0,0,0,0.0363284,0.00240777,3.19724e-06,806,806
40377517,3670026,3670026,0,0,0,0,0,0.0245988,0.00171086,2.39612e-06,806,806
41316057,3670026,3670026,0,0,0,0,0,0.0257366,0.00183387,2.39252e-06,806,806
42358980,3670026,3670026,0,0,0,0,0,0.0318547,0.00204562,3.34877e-06,806,806
43401821,3670026,3670026,0,0,0,0,0,0.0249863,0.00209359,2.56865e-06,806,806
44340391,3670026,3670026,0,0,0,0,0,0.0382766,0.00253268,1.10049e-06,806,806
45383246,3670026,3670026,0,0,0,0,0,0.0305158,0.002276,2.33696e-06,806,806
46321925,3670026,3670026,0,0,0,0,0,0.0300559,0.00188114,1.86945e-06,806,806
47364704,3670026,3670026,0,0,0,0,0,0.0320874,0.00212887,2.65815e-06,806,806
48407527,3670026,3670026,0,0,0,0,0,0.0322134,0.00226705,1.36316e-06,806,806
49346097,3670026,3670026,0,0,0,0,0,0.0319579,0.00230659,2.34687e-06,806,806
50388949,3670026,3670026,0,0,0,0,0,0.0328371,0.00214097,1.38548e-06,806,806
51327467,3670026,3670026,0,0,0,0,0,0.0272952,0.00229735,2.29295e-06,806,806
52370331,3670026,3670026,0,0,0,0,0,0.033098,0.00233666,2.80838e-06,806,806
53413249,3670026,3670026,0,0,0,0,0,0.0323757,0.00228268,2.85283e-06,806,806
54351796,3670026,3670026,0,0,0,0,0,0.0254347,0.00227111,1.89991e-06,806,806
55394601,3670026,3670026,0,0,0,0,0,0.0286407,0.00180436,1.57614e-06,806,806
56333185,3670026,3670026,0,0,0,0,0,0.0263864,0.00203654,1.83881e-06,806,806
57376361,3670026,3670026,0,0,0,0,0,0.03224,0.0020259,1.4752e-06,806,806
58314650,3670026,3670026,0,0,0,0,0,0.0296777,0.00156478,9.20124e-07,806,806
59357504,3670026,3670026,0,0,0,0,0,0.036181,0.00216555,7.28713e-07,806,806
60400377,3670026,3670026,0,0,0,0,0,0.0307206,0.00214989,7.41547e-07,806,806
61338882,3670026,3670026,0,0,0,0,0,0.0311315,0.00204298,8.31246e-07,806,806
