timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
116036105,1599862653400313,340348665,1087567339,427381,399466,0.275,0.323084,0.889,1.419,0.99,1.95,82,10,0.014,-0.005,-0.013,0.026,0.187086,0,nan,0.0,3,1,12
116236821,1599862653600313,340348663,1087567340,427395,399480,0.209,0.323086,0.892,1.425,0.99,1.95,98,15,0.05,-0.021,0.045,-0.001,0.187086,0,nan,0.0,3,1,12
117034262,1599862654400313,340348651,1087567341,427351,399436,0.261,0.323094,0.887,1.43,0.99,1.95,98,15,0.051,0.003,0.051,-0.072,0.187086,0,nan,0.0,3,1,12
118038511,1599862655400314,340348629,1087567342,427348,399433,0.242,0.323104,0.875,1.432,0.99,1.95,98,7,0.052,-0.007,-0.052,-0.096,0.187086,0,nan,0.0,3,1,12
119040274,1599862656400314,340348610,1087567347,427449,399534,0.173,0.323114,0.861,1.433,0.99,1.95,98,12,0.117,0.001,-0.117,-0.042,0.187086,0,nan,0.0,3,1,12
120039437,1599862657400314,340348609,1087567352,427501,399586,0.193,0.323123,0.858,1.445,0.99,1.95,97,15,0.059,-0.016,0.056,0.036,0.187086,0,nan,0.0,3,1,12
121038269,1599862658400314,340348609,1087567350,427397,399482,0.249,0.323133,0.849,1.439,0.99,1.95,91,9,0.027,0.007,0.026,0.076,0.187086,0,nan,0.0,3,1,12
122042327,1599862659400315,340348606,1087567345,427268,399353,0.258,0.323143,0.835,1.43,0.99,1.95,91,6,0.005,0.005,0.001,0.085,0.187086,0,nan,0.0,3,1,12
123041555,1599862660400315,340348599,1087567342,427210,399295,0.207,0.323153,0.825,1.426,0.99,1.95,91,6,0.025,0.002,-0.025,0.015,0.187086,0,nan,0.0,3,1,12
124038273,1599862661400315,340348591,1087567340,427171,399256,0.251,0.323162,0.817,1.423,0.99,1.95,91,11,0.002,-0.001,0.001,0.042,0.187086,0,nan,0.0,3,1,12
125043121,1599862662400315,340348583,1087567338,427109,399194,0.256,0.323173,0.81,1.421,0.99,1.95,91,10,0.017,-0.016,-0.003,0.121,0.187086,0,nan,0.0,3,1,12
126038276,1599862663400316,340348572,1087567341,427090,399175,0.17,0.323182,0.801,1.417,0.99,1.95,91,8,0.104,-0.029,0.099,0.052,0.187086,0,nan,0.0,3,1,12
127040271,1599862664400316,340348570,1087567359,427067,399152,0.199,0.323191,0.788,1.412,0.99,1.95,91,4,0.198,0.16,0.117,0.014,0.187086,0,nan,0.0,3,1,12
128036272,1599862665400316,340348587,1087567362,427042,399127,0.273,0.726298,0.782,1.414,0.99,1.96,91,7,0.242,0.228,0.08,0.032,0.13167,0,nan,0.0,3,1,12
129034261,1599862666400316,340348592,1087567381,427010,399095,0.208,0.726302,0.802,1.452,0.99,1.96,79,6,0.232,-0.005,0.232,0.137,0.13167,0,nan,0.0,3,1,12
130033360,1599862667400317,340348593,1087567406,427016,399101,0.284,0.726308,0.817,1.483,0.99,1.96,79,3,0.068,0.067,-0.009,0.18,0.13167,0,nan,0.0,3,1,12
131033290,1599862668400317,340348618,1087567367,426945,399030,0.173,0.315069,0.815,1.483,0.99,1.96,87,8,0.693,0.368,-0.587,0.096,5.35739,0,nan,0.0,3,1,12
132032575,1599862669400317,340348654,1087567286,426969,399054,0.178,0.216355,0.807,1.469,0.99,1.96,87,9,0.953,0.65,-0.696,-0.126,5.35874,0,nan,0.0,3,1,12
133030273,1599862670400318,340348704,1087567244,426884,398969,0.222,0.266511,0.796,1.453,0.99,1.96,87,8,0.624,0.623,0.03,-0.086,6.04145,0,nan,0.0,3,1,12
134027395,1599862671400318,340348740,1087567296,426839,398924,0.179,0.236722,0.793,1.445,0.99,1.96,87,15,0.885,0.386,0.796,-0.009,0.957717,0,nan,0.0,3,1,12
135036312,1599862672400318,340348809,1087567374,426719,398804,0.212,0.154044,0.79,1.434,0.99,1.96,87,10,1.186,0.947,0.715,0.012,0.696436,0,nan,0.0,3,1,12
136027441,1599862673400318,340348868,1087567414,426622,398707,0.236,0.286933,0.785,1.442,0.99,1.96,87,6,0.565,0.565,0.014,0.071,0.308569,0,nan,0.0,3,1,12
137030379,1599862674400319,340348913,1087567388,426507,398592,0.168,0.155379,0.762,1.43,0.86,1.88,87,7,0.92,0.893,-0.221,-0.068,6.02086,0,nan,0.0,3,1,13
138033255,1599862675400319,340348993,1087567377,426441,398526,0.172,0.152122,0.734,1.424,0.86,1.88,87,23,0.959,0.957,-0.055,-0.05,6.21802,0,nan,0.0,3,1,13
139036255,1599862676400319,340349075,1087567366,426180,398265,0.193,0.144628,0.717,1.42,0.86,1.88,87,19,1.02,1.019,-0.036,0.05,6.22711,0,nan,0.0,3,1,13
140040327,1599862677400319,340349170,1087567368,426140,398225,0.19,0.137314,0.709,1.421,0.86,1.88,88,7,1.172,1.171,0.059,-0.123,0.0508029,0,nan,0.0,3,1,13
141029718,1599862678400320,340349262,1087567367,426091,398176,0.231,0.193053,0.71,1.449,0.86,1.88,88,8,0.946,0.944,0.065,0.136,0.0240098,0,nan,0.0,3,1,13
142042408,1599862679400320,340349366,1087567374,426026,398111,0.224,0.164646,0.723,1.482,0.86,1.88,72,3,1.163,1.158,0.103,-0.045,0.0752226,0,nan,0.0,3,1,13
143046792,1599862680400320,340349473,1087567382,426141,398226,0.23,0.164655,0.736,1.526,0.86,1.88,72,6,1.172,1.163,0.145,-0.177,0.0983784,0,nan,0.0,3,1,13
144047775,1599862681400320,340349579,1087567391,426074,398159,0.176,0.129517,0.735,1.542,0.86,1.88,72,6,1.149,1.149,-0.02,-0.219,0.0370258,0,nan,0.0,3,1,13
145048580,1599862682400321,340349674,1087567384,425914,397998,0.188,0.133503,0.722,1.534,0.86,1.88,84,3,1.154,1.153,-0.057,-0.074,6.23058,0,nan,0.0,3,1,13
146050372,1599862683400321,340349770,1087567398,425821,397906,0.191,0.134787,0.71,1.53,0.86,1.88,84,6,1.205,1.197,0.144,-0.015,0.110128,0,nan,0.0,3,1,13
147048297,1599862684400321,340349853,1087567406,425756,397841,0.206,0.189307,0.701,1.534,0.86,1.88,90,6,0.862,0.858,0.084,0.179,0.0858653,0,nan,0.0,3,1,13
148050243,1599862685400321,340349947,1087567427,425685,397770,0.193,0.149044,0.695,1.519,0.86,1.88,90,13,1.073,1.057,0.185,0.042,0.164027,0,nan,0.0,3,1,13
149041150,1599862686400322,340350022,1087567441,425624,397709,0.202,0.204483,0.684,1.52,0.86,1.88,90,8,0.782,0.782,0.012,0.115,0.0930664,0,nan,0.0,3,1,13
150037357,1599862687400322,340350073,1087567443,425553,397638,0.211,0.308851,0.683,1.527,0.86,1.88,90,12,0.533,0.533,0.026,0.189,0.0546497,0,nan,0.0,3,1,13
151042700,1599862688400322,340350140,1087567433,425454,397539,0.192,0.155482,0.678,1.514,0.86,1.88,90,6,0.993,0.965,-0.237,0.103,6.06911,0,nan,0.0,3,1,13
152049281,1599862689400323,340350249,1087567421,425355,397440,0.187,0.114355,0.673,1.498,0.86,1.88,90,16,1.377,1.377,0.009,0.046,6.23292,0,nan,0.0,3,1,13
