timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2]
244012457,244011553,2162698,6.05015,2.00155,-9.38288,48.8124,0,0,0,0
244015002,244014102,2162698,5.26086,0.205901,-7.62633,48.8124,0,0,0,0
245016171,245015265,2162698,-5.40531,1.41657,-10.5257,48.8124,0,0,0,0
246014782,246013877,2162698,-4.5023,4.08092,-25.7173,49.0006,0,0,0,0
247010942,247010034,2162698,1.58855,4.20781,-27.4172,48.9065,0,0,0,0
248012113,248011205,2162698,0.0562637,2.54743,-3.36266,48.9065,0,0,0,0
249013274,249012361,2162698,-2.23379,-5.19422,-1.43652,49.0006,0,0,0,0
250014437,250013526,2162698,0.0837971,7.0617,-21.2509,49.0947,0,0,0,0
251013150,251012234,2162698,0.548272,1.21306,-15.856,49.0947,0,0,0,0
252014319,252013401,2162698,-0.424572,-3.55459,-22.6005,49.0947,0,0,0,0
253015473,253014568,2162698,-0.678357,-6.99027,-10.1291,49.0947,0,0,0,0
254011648,254010746,2162698,-0.3304,-1.35033,-10.0533,49.1888,0,0,0,0
255012798,255011899,2162698,-2.5195,-3.23696,-16.6988,49.1888,0,0,0,0
256013973,256013068,2162698,0.648031,-1.43014,-12.4834,49.0947,0,0,0,0
257015143,257014239,2162698,0.885855,-1.07101,-10.1801,49.0947,0,0,0,0
258013770,258012857,2162698,1.46884,5.54377,-16.3428,49.1888,0,0,0,0
259014929,259014025,2162698,-0.0011971,1.02831,-8.08522,49.1888,0,0,0,0
260013637,260012736,2162698,1.95686,2.86586,-2.45086,49.1888,0,0,0,0
261012271,261011355,2162698,-1.11091,-0.0011971,-10.7643,49.1888,0,0,0,0
262013438,262012522,2162698,-0.873884,6.09444,-9.20092,49.1888,0,0,0,0
263014601,263013689,2162698,-1.47483,2.88262,-15.5623,49.0947,0,0,0,0
264015760,264014854,2162698,-1.53468,-2.11408,0.314838,49.0947,0,0,0,0
265011919,265011013,2162698,1.90459,4.24492,-6.78636,49.0006,0,0,0,0
266013091,266012180,2162698,-0.741005,-2.58813,-15.6677,49.0006,0,0,0,0
267014247,267013341,2162698,-0.677559,0.466869,-20.7242,49.0006,0,0,0,0
268012957,268012046,2162698,-1.04706,-4.94323,-7.58244,48.9065,0,0,0,0
269014129,269013207,2162698,0.791683,4.42688,-7.90486,48.8124,0,0,0,0
270015294,270014366,2162698,0.247401,5.5745,-6.18582,48.7182,0,0,0,0
271016443,271015534,2162698,-2.24097,-1.37906,-18.8735,48.6241,0,0,0,0
272012583,272011675,2162698,0.422976,-3.31358,-10.6893,48.7182,0,0,0,0
273013754,273012835,2162698,1.01434,1.84673,-10.8737,48.6241,0,0,0,0
274014886,274013988,2162698,2.42852,0.73901,-11.7906,48.6241,0,0,0,0
275011049,275010139,2162698,-1.85471,-4.86103,-14.3477,48.53,0,0,0,0
276012196,276011295,2162698,1.50356,6.60321,-10.2336,48.53,0,0,0,0
277013358,277012451,2162698,-1.01035,-2.00794,-13.4275,48.7182,0,0,0,0
278014512,278013608,2162698,-1.24419,1.00876,-0.534705,48.53,0,0,0,0
279013141,279012211,2162698,-0.799663,3.61524,-8.0948,48.53,0,0,0,0
280014300,280013365,2162698,0.804452,5.19422,-8.011,48.4359,0,0,0,0
281015431,281014517,2162698,-0.216675,2.58095,-15.1505,48.4359,0,0,0,0
282011571,282010663,2162698,0.775721,2.40138,-9.10635,48.53,0,0,0,0
283012763,283011850,2162698,-0.760159,-6.19739,-15.3085,48.4359,0,0,0,0
284013871,284012967,2162698,-1.32519,1.66996,-0.859518,48.4359,0,0,0,0
285012579,285011657,2162698,-2.24895,-2.5594,-19.5239,48.3418,0,0,0,0
286013716,286012806,2162698,0.272939,2.2713,1.30484,48.3418,0,0,0,0
287014855,287013954,2162698,0.698309,-1.53069,-10.7316,48.2476,0,0,0,0
288013470,288012565,2162698,-1.94409,0.118513,-18.3336,48.2476,0,0,0,0
289014618,289013702,2162698,-0.387861,-3.2621,-6.04416,48.3418,0,0,0,0
290015755,290014850,2162698,-0.344765,3.00472,-10.4076,48.2476,0,0,0,0
291016913,291016002,2162698,-0.275333,-2.03627,-18.913,48.3418,0,0,0,0
292015592,292014691,2162698,-0.609723,-3.77885,-18.7402,48.3418,0,0,0,0
293011746,293010842,2162698,0.561839,8.82583,-15.5918,48.3418,0,0,0,0
294012883,294011982,2162698,-1.41817,-3.71181,-11.8904,48.3418,0,0,0,0
295014031,295013130,2162698,-0.675963,-5.17227,-21.3116,48.2476,0,0,0,0
296012652,296011732,2162698,-0.808043,-4.32153,-10.1885,48.2476,0,0,0,0
297013790,297012876,2162698,-0.752976,-5.07092,-9.34696,48.2476,0,0,0,0
298014929,298014023,2162698,1.15879,-3.66672,-0.92895,48.3418,0,0,0,0
299016094,299015171,2162698,0.602142,0.9086,-15.3516,48.2476,0,0,0,0
300012228,300011315,2162698,-0.464475,-5.12599,-25.4599,48.2476,0,0,0,0
301013370,301012459,2162698,0.853533,-0.577003,-17.2538,48.2476,0,0,0,0
302014516,302013605,2162698,0.538695,4.54898,-10.9894,48.2476,0,0,0,0
303013200,303012295,2162698,-0.16919,-1.41258,-8.94394,48.2476,0,0,0,0
304014350,304013442,2162698,-0.853134,-2.16835,-14.8991,48.2476,0,0,0,0
305012946,305012038,2162698,0.0826,5.02184,-17.0994,48.2476,0,0,0,0
306014099,306013184,2162698,0.661997,-0.351948,-6.79355,48.2476,0,0,0,0
307012784,307011874,2162698,-0.308054,-6.00226,-12.1075,48.2476,0,0,0,0
