timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
150630392,150629257,0.53828,2.52539e-05,1.75561,4.20143,0.0815109,4.17402,1
150730627,150728578,0.537671,2.50216e-05,0.62325,4.05417,0.0106458,4.00687,1
150829820,150827900,0.53909,2.47877e-05,-3.40494,4.16808,0.309058,4.19838,1
150918485,150917295,0.539719,2.46144e-05,-0.905521,4.17208,0.0218375,4.11317,1
151018790,151016663,0.539365,2.43897e-05,2.17953,3.97539,0.132771,3.97464,1
151132020,151130829,0.540367,2.41214e-05,-1.66193,4.10281,0.0747997,4.07666,1
151232808,151230151,0.540053,2.3902e-05,1.59352,3.96691,0.0711248,3.94749,1
151331838,151329473,0.53873,2.36839e-05,1.84733,4.04749,0.0936828,4.02806,1
151430211,151428833,0.538814,2.34653e-05,-1.5109,3.90213,0.0650022,3.88174,1
151510681,151508250,0.5398,2.32895e-05,-2.66168,3.9117,0.201236,3.9317,1
151630439,151627436,0.540186,2.30343e-05,0.48762,3.82221,0.00691203,3.78068,1
151719059,151716825,0.53937,2.28668e-05,2.12946,3.76298,0.133895,3.76178,1
151817311,151816217,0.539142,2.26616e-05,-2.74151,3.7968,0.219948,3.82871,1
151917743,151915467,0.538742,2.24632e-05,-0.636301,3.84134,0.0117112,3.80179,1
152015999,152014789,0.539119,2.22684e-05,1.06055,3.76943,0.0331546,3.73525,1
152116335,152114253,0.539005,2.20726e-05,-1.28244,3.70225,0.0493592,3.67608,1
152210599,152208466,0.538138,2.18756e-05,0.116157,3.66804,0.000408709,3.62479,1
152319828,152317719,0.539041,2.16808e-05,-2.15874,3.589,0.144273,3.59258,1
152434208,152431942,0.539221,2.14491e-05,0.69141,3.52774,0.0150568,3.49083,1
152532437,152531259,0.538944,2.12531e-05,0.245056,3.38116,0.00197343,3.34138,1
152633306,152630625,0.538874,2.10565e-05,-2.64046,3.32519,0.23297,3.35632,1
152731132,152729905,0.538429,2.08692e-05,-0.35348,3.31631,0.0041863,3.27922,1
152832067,152829247,0.538725,2.06824e-05,1.13386,3.25746,0.0438527,3.23028,1
152929913,152928753,0.538284,2.04945e-05,0.331277,3.1942,0.00381749,3.15652,1
153030668,153027866,0.539225,2.03023e-05,-2.18278,3.12992,0.169139,3.13749,1
153118636,153117257,0.539782,2.01525e-05,-1.27048,3.08256,0.0581812,3.05828,1
153232593,153231475,0.540183,1.99241e-05,2.22927,3.06474,0.180173,3.08566,1
153332962,153330797,0.539498,1.97428e-05,-0.318754,3.101,0.00364056,3.06478,1
153431526,153430134,0.540447,1.95588e-05,-2.2573,3.02241,0.187319,3.02741,1
153515832,153514559,0.540434,1.94191e-05,2.89436,3.11362,0.298948,3.16919,1
153635615,153633726,0.539937,1.92175e-05,0.315971,3.08045,0.00360112,3.04551,1
153714546,153713293,0.540598,1.90792e-05,-1.37073,3.01878,0.069156,2.99685,1
153834208,153832368,0.539721,1.88696e-05,1.66121,3.00169,0.10215,2.99354,1
153934110,153931690,0.540347,1.86962e-05,-3.13311,2.97751,0.366317,3.03108,1
154032681,154031011,0.540978,1.85342e-05,1.05545,3.04258,0.040681,3.0224,1
154132533,154130332,0.539721,1.83756e-05,2.93279,3.11005,0.307291,3.1563,1
154231414,154229683,0.539102,1.82243e-05,-0.495494,3.16877,0.0086088,3.13535,1
154331034,154328975,0.54003,1.80703e-05,-1.69411,3.14557,0.101378,3.13523,1
154420495,154418364,0.540273,1.79504e-05,0.30413,3.07642,0.00334065,3.02748,1
