timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
140980205,0.0719876,0.122618,0.00883654,1
141178842,0.0719876,0.122618,0.00883654,1
141387416,0.0719876,0.122618,0.00883654,1
141576178,0.0719876,0.122618,0.00883654,1
141784701,0.0719876,0.122618,0.00883654,1
141978381,0.0719876,0.122618,0.00883654,1
142177020,0.0719876,0.122618,0.00883654,1
142385591,0.0719876,0.122618,0.00883654,1
142579272,0.0719876,0.122618,0.00883654,1
142777960,0.0719876,0.122618,0.00883654,1
142981522,0.0719876,0.122618,0.00883654,1
143180164,0.0719876,0.122618,0.00883654,1
143383773,0.0719876,0.122618,0.00883654,1
144779236,0.0719876,0.122618,0.00883654,1
144977887,0.0719876,0.122618,0.00883654,1
145181487,0.0719876,0.122618,0.00883654,1
145380257,0.0719876,0.122618,0.00883654,1
483390635,0.0719876,0.122618,0.00883654,1
483579233,0.0719876,0.122618,0.00883654,1
483782841,0.0719876,0.122618,0.00883654,1
483981528,0.0719876,0.122618,0.00883654,1
