timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
198101175,198100341,396825,0.434701,0.00204519,0.399976,nan,0,0
198112335,198111486,396825,0.447126,-0.000947702,0.430142,nan,0,0
199107297,199106454,396825,0.440914,0.474924,0.565888,nan,0,0
200103160,200102334,396825,0.518573,-0.00693351,0.351711,nan,0,0
201108876,201108050,396825,0.534105,0.0469388,0.81928,nan,0,0
202103755,202102929,396825,0.611765,-0.0787632,0.351711,nan,0,0
203110729,203109794,396825,0.515467,0.0469388,0.366794,nan,0,0
204105525,204104698,396825,0.534105,0.447988,-0.251603,nan,0,0
205111319,205110476,396825,0.621084,0.0349671,0.28233,nan,0,0
206107284,206106457,396825,0.689425,0.406087,0.228032,nan,0,0
207113168,207112338,396825,0.552744,-0.132635,0.324562,nan,0,0
208107667,208106839,396825,0.636616,0.364187,0.249148,nan,0,0
209103752,209102904,396825,0.661467,0.0619033,-0.23652,nan,0,0
210109525,210108663,396825,0.59002,0.36718,0.261214,nan,0,0
211105082,211104251,396825,0.549637,0.20257,-0.185238,nan,0,0
212111306,212110419,396825,0.649042,0.465945,0.240098,nan,0,0
213106145,213105249,396825,0.664574,0.439009,0.270264,nan,0,0
214113015,214112165,396825,0.596233,-0.12665,0.330595,nan,0,0
215107856,215107028,396825,0.599339,-0.141614,0.27328,nan,0,0
216102653,216101745,396825,0.686318,0.00204519,-0.146023,nan,0,0
217109659,217108709,396825,0.558956,0.340243,0.285347,nan,0,0
218104465,218103593,396825,0.70185,0.403094,0.200883,nan,0,0
219110274,219109413,396825,0.574488,0.0229955,0.822296,nan,0,0
220106198,220105334,396825,0.689425,0.412073,0.240098,nan,0,0
221111879,221111048,396825,0.558956,0.124754,1.09077,nan,0,0
222106678,222105849,396825,0.636616,0.340243,0.258198,nan,0,0
223102738,223101882,396825,0.673893,0.196584,-0.477846,nan,0,0
224108514,224107605,396825,0.568276,0.400101,0.285347,nan,0,0
225103108,225102273,396825,0.617978,0.349222,-0.115857,nan,0,0
226110243,226109416,396825,0.599339,0.03796,0.864528,nan,0,0
227105029,227104159,396825,0.583807,0.124754,1.02139,nan,0,0
228110700,228109871,396825,0.484403,-0.0578129,0.38791,nan,0,0
229106889,229105956,396825,0.562063,0.10979,1.15714,nan,0,0
230101571,230100699,396825,0.611765,0.205563,-0.616608,nan,0,0
231108250,231107424,396825,0.59002,0.24447,0.662418,nan,0,0
232114376,232113546,396825,0.562063,-0.0787632,0.303446,nan,0,0
233109125,233108297,396825,0.503041,-0.0578129,0.375844,nan,0,0
234104899,234104071,396825,0.630403,0.376158,0.252164,nan,0,0
235110866,235109961,396825,0.540318,-0.0937277,0.324562,nan,0,0
236105660,236104834,396825,0.686318,0.379151,0.240098,nan,0,0
237101715,237100857,396825,0.59002,0.355208,0.0862531,nan,0,0
238107476,238106625,396825,0.425382,0.193591,0.345678,nan,0,0
239113138,239112254,396825,0.381892,0.208556,0.315512,nan,0,0
240109111,240108284,396825,0.363254,0.346229,0.737832,nan,0,0
241103956,241103127,396825,0.0526149,0.298343,0.659401,nan,0,0
242109718,242108777,396825,0.117849,0.154683,0.312496,nan,0,0
243105601,243104744,396825,0.0277638,0.166655,0.231048,nan,0,0
244111554,244110725,396825,-0.0219385,-0.0488342,0.197866,nan,0,0
245106316,245105471,396825,-0.0436832,0.558725,0.179767,nan,0,0
246113219,246112381,396825,-0.0623215,0.142712,0.27328,nan,0,0
247108108,247107251,396825,-0.0157257,0.0828536,0.231048,nan,0,0
248102795,248101930,396825,0.0743596,0.651505,0.110386,nan,0,0
249109791,249108924,396825,0.0246574,0.205563,0.288363,nan,0,0
250104583,250103724,396825,0.0712532,0.208556,0.264231,nan,0,0
251111227,251110356,396825,0.0929979,0.196584,0.270264,nan,0,0
252106401,252105573,396825,0.179977,0.657491,0.203899,nan,0,0
253112088,253111245,396825,0.0495085,0.208556,0.264231,nan,0,0
254108056,254107192,396825,0.077466,0.211548,0.285347,nan,0,0
255102762,255101828,396825,0.195509,0.193591,0.179767,nan,0,0
256108668,256107779,396825,0.133381,0.190598,0.249148,nan,0,0
257104460,257103631,396825,0.226573,0.208556,0.279314,nan,0,0
258110604,258109777,396825,0.189296,0.283378,0.29138,nan,0,0
259105251,259104389,396825,0.29802,0.283378,0.252164,nan,0,0
260112157,260111329,396825,0.310445,0.259435,0.318529,nan,0,0
261106850,261106021,396825,0.304232,0.250456,0.28233,nan,0,0
262101801,262100913,396825,0.388105,0.717349,0.1858,nan,0,0
263108778,263107923,396825,0.344615,0.217534,0.303446,nan,0,0
264103508,264102676,396825,0.425382,0.22352,0.315512,nan,0,0
265109473,265108646,396825,0.537212,0.349222,1.08775,nan,0,0
266105367,266104497,396825,0.540318,0.289364,0.921843,nan,0,0
267111088,267110246,396825,0.562063,0.0978181,0.345678,nan,0,0
268106145,268105289,396825,0.527892,0.0619033,0.312496,nan,0,0
269101863,269100998,396825,0.543424,0.0439459,0.270264,nan,0,0
270107681,270106801,396825,0.599339,0.370172,0.544772,nan,0,0
271102268,271101409,396825,0.642829,0.418059,0.228032,nan,0,0
272109557,272108729,396825,0.52168,-0.0189051,0.327579,nan,0,0
273104245,273103357,396825,0.546531,0.0768678,0.339645,nan,0,0
274110828,274109947,396825,0.369467,0.214541,0.30043,nan,0,0
275105803,275104947,396825,0.307339,0.268414,0.336628,nan,0,0
276111858,276111024,396825,0.378786,0.199577,0.29138,nan,0,0
277107403,277106570,396825,0.369467,0.229506,0.30043,nan,0,0
278113613,278112779,396825,0.350828,0.322286,0.00782222,nan,0,0
279108258,279107431,396825,0.316658,0.232499,0.30043,nan,0,0
280104338,280103487,396825,0.316658,0.22352,0.249148,nan,0,0
281109983,281109153,396825,0.245211,0.271407,0.306463,nan,0,0
282104874,282104022,396825,0.273169,0.196584,0.243115,nan,0,0
283111973,283111135,396825,0.0401893,0.145705,0.27328,nan,0,0
284106607,284105778,396825,0.00291265,0.040953,0.240098,nan,0,0
285112770,285111916,396825,0.00291265,0.0888394,-0.115857,nan,0,0
286108291,286107409,396825,-0.0778535,0.0319742,0.197866,nan,0,0
287103162,287102335,396825,-0.0219385,-0.0757703,0.218982,nan,0,0
288108843,288107960,396825,-0.0840662,-0.0518271,0.258198,nan,0,0
289105018,289104191,396825,0.0339765,-0.102706,0.249148,nan,0,0
290110651,290109823,396825,-0.0312576,-0.05482,0.279314,nan,0,0
291105587,291104739,396825,-0.0530024,-0.0518271,0.218982,nan,0,0
292112608,292111777,396825,-0.0405768,0.214541,-0.571359,nan,0,0
293107177,293106349,396825,-0.00951291,-0.0667916,0.27328,nan,0,0
294103031,294102198,396825,-0.0809599,-0.021898,0.240098,nan,0,0
295109084,295108248,396825,-0.0157257,-0.0189051,0.249148,nan,0,0
296103871,296103042,396825,-0.0592151,-0.0637987,0.243115,nan,0,0
297110891,297110064,396825,-0.00330013,0.0110239,0.0410045,nan,0,0
298105637,298104805,396825,-0.0405768,-0.05482,0.231048,nan,0,0
299111308,299110414,396825,0.0401893,0.0768678,-0.24557,nan,0,0
300107288,300106428,396825,-0.0467896,-0.0697845,0.17675,nan,0,0
301102137,301101249,396825,-0.0871726,-0.0817561,0.231048,nan,0,0
