timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
218177527,218177527,38,0,0,0,1504,1498,1932,1932,1065,1065,1065,1933,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
218192461,218192461,38,0,0,0,1504,1498,1932,1932,1065,1065,1065,1933,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
218678985,218678985,38,0,0,0,1504,1498,1932,1512,1065,1065,1065,1933,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
219193323,219193323,38,0,0,0,1504,1498,1932,1503,1065,1065,1065,1933,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
219675135,219675135,38,0,0,0,1504,1498,1932,1505,1065,1065,1065,1933,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
220184001,220184001,38,0,0,0,1504,1498,1932,1507,1065,1065,1065,1933,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
220675760,220675760,38,0,0,0,1504,1498,1932,1503,1065,1065,1065,1933,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
221187354,221187354,38,0,0,0,1503,1498,1932,1503,1065,1065,1065,1933,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
221677099,221677099,38,0,0,0,1504,1498,1932,1508,1065,1065,1065,1933,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
222190847,222190847,38,0,0,0,1504,1498,1932,1902,1065,1065,1065,1933,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
222677614,222677614,38,0,0,0,1504,1498,1932,1655,1065,1065,1065,1933,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
223186946,223186946,38,0,0,0,1504,1498,1780,1510,1065,1065,1065,1933,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
223676156,223676156,38,0,0,0,1503,1498,1679,1507,1065,1065,1065,1933,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
