timestamp,saturation_status
218178652,1533
218193561,1533
219194484,1533
220185235,1533
221188363,1533
222192203,1533
223187990,1237
224192010,1
225175261,1
226178081,1
227176795,1
228175278,1
229178578,1
230183989,1
231185759,1
232180798,1
233184173,1
234185303,1
235188813,1
236192970,1
237192969,1
238189468,1
239189934,1
240185888,1
241186616,1
242180240,1
243178573,1
244184584,1
245185235,1
246182433,1
247182025,1
248183618,1
249184079,1
250182514,1
251185818,1
252182327,1
253180157,1
254185825,1
255182446,1
256180295,1
257186288,1
258184490,1
259188101,1
260186280,1
261184685,1
262185681,1
263184626,1
264190715,1
265183549,1
266179913,1
267183304,1
268178820,1
269182167,1
270183833,1
271183933,1
272182217,1
273185593,1
274189150,1
275192516,1
276185796,1
277181865,1
278180920,1
279181032,1
280179469,1
282176667,1
283172922,1
284173315,1
285176329,1
286183055,1
287183320,1
288181707,1
289187924,1
290193428,1
291175398,1
292178049,1
293178937,1
294182363,1
295183789,1
296182624,1
297184985,1
298188504,1
299189170,1
300187810,1
301186040,1
302187138,1
303187988,1
304188923,1
305189616,1
306186258,1
307184763,1
308187578,1
309168655,1
310191457,1
311184934,1
312188515,1
313190057,1
314180426,1
315176454,1
316178067,1
317180685,1
318182781,1
319187445,1
320170736,1
321194423,1
322192630,1
323191032,1
324187200,1
325187994,1
326186314,1
327184953,1
328188381,1
329186592,1
330189988,1
331183421,1
332182030,1
333183437,1
334178687,1
335180504,1
336183836,1
337186573,1
338182487,1
339183859,1
340179213,1
341180187,1
342183903,1
343182846,1
344187989,1
345184530,1
346179856,1
347181354,1
348179266,1
349183008,1
350183319,1
351181741,1
352182831,1
353183598,1
354186903,1
355165589,1
356183947,1
357180709,1
358180651,1
359184130,1
360180852,1
361184151,1
362179284,1
363180988,1
364181202,1
365182327,1
366182929,1
367179197,1
368179983,1
369178241,1
370179428,1
371180058,1
372181097,1
373186574,1
374185157,1
375188616,1
376187052,1
377188156,1
378186509,1
379185461,1
380180834,1
381182842,1
382182342,1
383178489,1
384174505,1
385180520,1
386181285,1
387179759,1
388185837,1
389186453,1
390189899,1
391193271,1
392194326,1
393187833,1
394186203,1
395181796,1
396180497,1
397183800,1
398184200,1
399182328,1
400178899,1
401192459,1
402193739,1
403185266,1
404185410,1
405184211,1
406177348,1
407181684,1
408181402,1
409179607,1
410178304,1
411176771,1
412177906,1
413182139,1
414184541,1
415183451,1
416178510,1
417179854,1
418175594,1
419179022,1
420185316,1
421185781,1
422186856,1
423182653,1
424178787,1
425184678,1
426187837,1
427181331,1
428182445,1
429180610,1
430179286,1
431180289,1
432181572,1
433179521,1
434180012,1
435178646,1
436182145,1
437178196,1
438179139,1
439175393,1
440175854,1
441177508,1
442180971,1
443176197,1
444174633,1
445175645,1
446181273,1
447177300,1
448192128,1
449170850,1
450187471,1
451188378,1
452184954,1
458177196,1
459173638,1
460174091,1
461180184,1
462183558,1
463187010,1
464182861,1
465186039,1
466187583,1
467187904,1
468186290,1
469179928,1
470173357,1
471179291,1
472180196,1
473178221,1
474176946,1
475178064,1
476181353,1
477177307,1
478178115,1
479179187,1
480182361,1
481178451,1
482179139,1
483180372,1
484176191,1
485182041,1
486187532,1
487176023,1
488191876,1
489192029,1
490194155,1
491180116,1
492178361,1
493179439,1
494180128,1
495176292,1
496184645,1
497180364,1
498176647,1
499179693,1
500190633,1
501186013,1
502183170,1
503188556,1
504186807,1
505190833,1
506188703,1
507189630,1
508182923,1
509189197,1
510184801,1
511183174,1
512176346,1
513180202,1
514181519,1
515179491,1
516178079,1
517173740,1
518179699,1
519180491,1
520176912,1501
521179930,1533
522178461,1
