timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
42346354,42346125,0.0056076,-0.00361949,-0.00602089
42347611,42347380,-0.00175738,0.00273186,-0.00606738
42368694,42368468,-0.017383,0.00472982,-0.00591777
42389813,42389574,-0.0147281,-0.0143513,-0.00442764
42407186,42406956,-0.0196202,-0.00592468,-0.00125201
42428320,42428096,0.0140226,-0.00560535,0.0095053
42449395,42449165,-0.0414774,-0.0189373,-0.00742808
42508987,42508756,0.0269192,0.0198886,0.0108918
42530210,42529965,-0.0476482,-0.0119089,-0.000460088
42547536,42547305,0.0141694,0.0112847,0.000618011
42568739,42568506,-0.0176349,-0.0402631,-0.00400495
42589701,42589456,-0.00776835,0.0780016,0.0015476
42607060,42606832,0.0226457,-0.0594217,0.00566234
42628179,42627939,-0.0483272,-0.02421,-0.0111186
42648030,42647802,0.0428363,0.0501101,0.0112044
42666661,42666424,-0.0324396,-0.0135309,-0.000863793
42686515,42686288,0.0160913,-0.0431451,-0.0358543
42707623,42707395,-0.00178799,0.0212054,0.0117616
42728734,42728499,0.0200361,0.0408413,0.0563639
42746106,42745879,-0.0266385,-0.0411488,-0.0655894
42767227,42766986,0.0189036,-0.0260007,-0.0346224
42788312,42788084,0.0293373,0.0122675,0.070941
42809516,42809290,-0.00888734,0.0399505,0.0617891
42826910,42826682,-0.00252358,-0.0153923,-0.103293
42847916,42847681,0.0105904,-0.0335371,-0.00551898
42869013,42868785,0.0141735,-0.00956049,0.115471
42886398,42886166,-0.0165595,0.0439922,-0.0602338
42907500,42907272,-0.000946502,0.0140569,-0.113573
42928609,42928379,0.00117131,-0.0325506,0.0149275
42945998,42945769,-0.00199471,0.0111366,0.0877531
42967090,42966863,-0.00352312,0.026227,-0.0625513
42988205,42987970,0.0126312,-0.00390461,-0.103296
43006845,43006613,-0.0128495,-0.0101113,0.0662321
43026685,43026454,-0.00759677,0.0127145,0.0630443
43047803,43047579,0.0231244,-0.015075,-0.0485367
43068889,43068665,0.0299574,-0.0447786,-0.076793
43090076,43089848,-0.0119465,0.00695068,0.0145933
43107541,43107316,-0.0195915,0.0534056,0.0358358
43128548,43128311,0.020664,-0.0352361,-0.035754
43149592,43149360,0.045057,-0.0933039,-0.0334518
43166973,43166741,-0.0467789,0.10403,0.0526789
43188074,43187846,-0.0626662,0.141077,0.0146491
43210430,43210194,-0.0375006,0.0258018,-0.0256281
43229052,43228815,0.0837761,-0.345566,-0.0143537
43247670,43247437,0.20464,-0.278736,0.00495469
43267528,43267301,0.28309,-0.0862067,-0.0536847
43288637,43288406,0.190716,-0.0129136,-0.0779918
43307260,43307030,0.120161,0.0390022,-0.046412
43327164,43326935,0.0563075,-0.00712389,-0.0137776
43352060,43351824,-0.175517,0.114747,0.0327045
43369463,43369235,-0.120202,0.0667788,0.0885426
43386714,43386484,-0.0130423,-0.0280304,0.0442265
43407824,43407596,0.0879823,-0.0137919,0.00946234
43428922,43428693,-0.138232,0.102061,0.011694
43446300,43446074,0.0401923,-0.0298565,-0.0182131
43467411,43467179,-0.0581426,0.129132,0.00699306
43488515,43488285,-0.021638,-0.0513335,0.00299257
43509614,43509389,-0.00696359,0.0626428,0.0145856
43527001,43526770,-0.0376615,0.0230407,0.0545621
43548107,43547876,0.0792934,-0.122586,-0.0433322
43569211,43568981,0.0243102,-0.0231056,-0.00923746
43586596,43586366,-0.0126634,0.000805662,-0.00833835
43607698,43607472,0.13436,-0.113987,-0.0153583
43628896,43628672,-0.0643616,0.0277254,0.026138
43650082,43649859,0.0377948,-0.0745993,0.00501549
43667290,43667060,0.0806367,-0.0305188,-0.0230465
43688390,43688163,-0.0242811,0.0335101,0.00574006
43709505,43709282,0.00124051,-0.0627486,0.0119197
43726880,43726649,0.0171247,-0.0269728,0.00470336
43748001,43747770,-0.00154349,0.0103727,0.0256345
43769084,43768859,-0.0106101,0.0215992,0.000129901
43790205,43789964,-0.0212645,-0.00118259,0.00191977
43807577,43807346,0.0513784,-0.0189386,-0.0139092
43828696,43828450,-0.031449,0.00695822,-0.00468609
43848538,43848314,0.0114882,-0.0237159,0.0129633
43867190,43866957,0.0392894,-0.0746533,0.000695254
43887076,43886850,0.0639857,-0.0677233,-0.000413216
43908272,43908044,0.054903,-0.0436885,-0.0012935
43929264,43929031,-0.000294701,-0.0948071,0.021266
43946619,43946392,0.119925,-0.111758,-0.00607646
43967725,43967497,0.0638876,-0.116326,0.0187117
43988832,43988602,0.0277356,-0.126114,0.0230357
44006216,44005982,0.0316825,-0.0974865,2.91209e-05
44027316,44027089,0.0738171,-0.0769475,-0.00708994
44048429,44048193,0.0685484,-0.0934494,-0.00716212
44069524,44069298,0.0474559,-0.0994699,-0.00547835
44086921,44086697,0.11865,-0.0692862,0.0158435
44108033,44107801,0.065665,-0.0553262,0.0209152
44129115,44128889,0.0911727,-0.0329415,0.0487392
44146503,44146274,-0.0236102,0.00413825,0.0476956
44167699,44167469,-0.0689101,-0.03616,0.0531722
44188896,44188668,0.0370429,0.036516,0.0496304
44209815,44209586,-0.027851,0.0287288,0.0390371
44227194,44226966,0.135168,-0.0737732,-0.00344051
44248303,44248072,0.067551,-0.0327525,-0.00298615
44269405,44269177,0.192056,-0.0821524,0.006784
44286787,44286557,0.14689,-0.132611,-0.00933062
44307889,44307662,0.0727866,-0.133705,-0.0163441
44328991,44328767,0.0889709,-0.0357619,-0.0243723
44346391,44346152,0.0493338,0.0361577,-0.00805488
44367485,44367254,0.0386189,0.110162,-0.0166398
44388583,44388358,-0.0150353,0.0961121,-0.0469192
44409697,44409464,-0.051776,0.0948149,-0.0695196
44427109,44426884,-0.141342,0.0342015,-0.00453782
44447069,44446843,-0.152626,0.0914518,-0.0163215
44468054,44467813,-0.0994658,0.0829493,-0.0205867
44489153,44488927,-0.031931,0.065008,-0.0243389
44506527,44506299,-0.035552,0.0217665,-0.0151137
44527630,44527404,0.0367392,-7.87823e-05,-0.0285367
44548743,44548510,0.0940715,0.0011609,-0.0417329
44566118,44565890,0.104378,-0.02436,-0.06129
44587229,44586996,0.0306014,-0.0342688,-0.0624313
44608335,44608101,0.00221123,-0.0343059,-0.0131794
44629443,44629210,0.00995835,-0.00598573,-0.00261448
44646811,44646586,0.12667,-0.0156727,-0.06645
44667919,44667691,0.0668392,0.0126612,-0.0497279
44689087,44688859,0.0783255,0.0091162,-0.0310882
44706491,44706266,0.10372,-0.00231185,-0.0374573
44727692,44727469,-0.042187,0.0164695,-0.0385916
44748622,44748388,-0.187777,-0.0256825,-0.0148554
44769726,44769494,-0.281571,-0.0724146,0.00446752
44787098,44786874,-0.240464,-0.00433268,-0.045036
44809452,44809223,-0.192691,-0.000995343,-0.0376178
44829319,44829088,-0.110246,-0.0153919,-0.0568237
44846688,44846465,-0.00384422,0.00935023,-0.0272262
44867802,44867570,0.0841275,0.00346578,-0.0244874
44888908,44888677,0.10718,-0.054208,-0.0155229
44910026,44909799,0.0700816,-0.0268142,-0.0231815
44927390,44927162,-0.133769,-0.00341912,0.0178936
44948495,44948267,-0.173879,-0.0762306,0.0228532
44969681,44969446,-0.262846,-0.0471938,0.0133327
44987123,44986891,-0.274431,-0.0713055,-0.0155489
45008084,45007858,-0.175018,-0.0931439,-0.0086575
45029203,45028963,-0.0361034,-0.0477021,-0.0104624
45046578,45046347,0.159799,-0.00804682,-0.0567779
45067685,45067449,0.225743,0.0941488,-0.0648957
45087539,45087314,0.318873,0.0840972,-0.0724927
45108643,45108418,0.175022,0.0907135,-0.0310695
45126047,45125818,0.137978,0.0715207,0.03667
45147145,45146904,-0.039894,-0.0316356,0.0401548
45168241,45168009,-0.173121,-0.0743695,0.034352
45189340,45189115,-0.202939,-0.0797592,0.0143137
45206721,45206495,-0.207045,0.0109005,0.038445
45227837,45227613,-0.0958897,0.0147374,0.0363743
45249040,45248816,-0.00826553,0.0257945,0.0429541
45266501,45266276,-0.0457911,-0.0150043,0.0324016
45287425,45287191,0.0993655,-0.0325015,0.0148242
45308528,45308298,0.0708907,0.0236959,-0.00324571
45325926,45325696,0.172449,0.0386814,-0.0591485
45347019,45346782,0.155927,0.0675294,-0.0492061
45368114,45367888,0.052817,0.126794,-0.0330249
45389227,45388993,-0.0450194,0.133443,-0.00156287
45406599,45406374,0.191149,0.0253146,-0.0682056
45427701,45427479,0.172656,-0.0701211,-0.0714105
45448809,45448580,0.0753708,-0.106419,-0.052766
45469920,45469689,-0.076929,-0.100309,-0.0362072
45487313,45487089,-0.0430809,-0.116924,-0.0268526
45508475,45508245,-0.0592522,-0.109351,-0.0337951
45529675,45529440,0.0186837,-0.00286463,-0.0112596
45546887,45546661,0.00375294,0.0733123,-0.0647308
45567999,45567766,0.00421303,0.0515931,-0.101368
45589096,45588871,-0.0409563,0.0302788,-0.140547
45610216,45609979,-0.112922,-0.0161234,-0.12301
45627591,45627358,0.00588398,-0.0694825,-0.159018
45648699,45648463,0.0389525,-0.0409234,-0.138216
45668566,45668341,0.101788,0.0503807,-0.103362
45687185,45686948,0.104868,0.0498486,-0.090932
45707039,45706812,0.0175862,0.0338689,-0.0520949
45728145,45727918,-0.0738705,-0.017536,-0.0332217
45749249,45749022,-0.0582227,0.0326775,-0.0521272
45766656,45766426,-0.0432089,0.0358831,-0.0504561
45787901,45787676,0.073819,0.0585022,-0.0678315
45808842,45808614,0.0778751,0.0464451,-0.0750086
45826255,45826018,0.0396225,-0.00196421,-0.0262849
45847329,45847099,0.0841793,0.00622551,-0.0363247
45868436,45868210,0.0306833,0.0396893,-0.0190489
45889533,45889310,-0.0141189,0.0143302,0.0222235
45906924,45906691,-0.0542913,-0.0536393,-0.0170688
45928022,45927796,-0.137976,-0.00660631,0.0262226
45949130,45948901,-0.126107,0.0193837,0.0313558
45966508,45966283,-0.0865272,0.0544271,0.00656233
45987617,45987388,-0.0587649,0.0299387,0.0111914
46008716,46008492,0.0858573,-0.0175085,0.00755776
46029839,46029606,0.16157,-0.0194244,-0.00394399
46047309,46047084,0.113416,-0.00712085,0.0194436
46068480,46068254,0.00681293,0.0185861,0.0205227
46089424,46089189,0.020562,0.00894524,0.0366014
46106795,46106570,0.00132288,-0.05659,-0.0132934
46127898,46127676,0.00818598,-0.0142397,0.020466
46149009,46148780,-0.0276394,0.0243442,0.0320053
46170121,46169888,0.00984465,0.0471094,0.0485932
46187490,46187266,0.00720204,0.0735649,0.0369239
46208604,46208375,0.0239237,0.0967313,0.0329959
46229710,46229478,0.0340926,0.100713,0.0267793
46247087,46246857,-0.00125372,0.103504,0.0340327
46268244,46268004,0.0231012,0.0543308,0.022022
46288055,46287826,0.00681799,0.0298912,0.0260842
46309204,46308971,-0.0552069,0.00244143,0.029327
46326663,46326430,-0.0338579,-0.00305983,0.0386393
46347653,46347417,-0.04897,-0.00461061,0.0232951
46368760,46368530,-0.0509886,-0.0120099,0.0223537
46386132,46385903,0.0023061,0.0652494,0.0157338
46408484,46408251,-0.0322906,0.072953,0.02147
46428342,46428114,-0.0264064,0.0620904,0.0209721
46449444,46449219,-0.0437202,0.0278044,0.0390587
46466828,46466599,-0.0519898,-0.118814,0.0489103
46487947,46487716,-0.0951503,-0.190435,0.0514081
46509041,46508810,-0.0815636,-0.309457,0.0443024
46526426,46526190,-0.0492369,-0.383077,0.0424342
46547532,46547298,0.0297856,-0.407218,0.0332029
46568631,46568405,0.0860621,-0.433075,0.017648
46586137,46585902,0.104695,-0.431641,0.0365729
46607295,46607063,0.115764,-0.371331,0.0154679
46628222,46627992,0.0561553,-0.289003,0.014278
46649324,46649097,-0.0152743,-0.243796,0.0234649
46666704,46666479,-0.0193392,-0.248631,0.00923846
46687808,46687583,-0.0680258,-0.187858,0.00671597
46708916,46708688,-0.0987079,-0.145852,0.0240703
46730024,46729794,-0.0849481,-0.147708,0.0463328
46747402,46747175,0.0174297,-0.20314,-0.00730541
46768506,46768280,0.0462685,-0.242913,0.0171395
46789617,46789385,0.0432625,-0.257085,0.0448034
46806993,46806765,0.106597,-0.289404,0.0237382
46828096,46827872,0.0927813,-0.267432,0.0228898
46847989,46847766,0.042878,-0.163486,0.0165604
46866707,46866476,0.0337381,-0.164186,0.0037709
46887695,46887462,-0.0615169,-0.0787688,0.0197242
46907549,46907325,-0.0844872,-0.0262771,0.0229288
46928669,46928432,-0.0999618,-0.0340628,0.0287638
46947282,46947053,-0.0821159,-0.0661511,0.00899711
46967146,46966918,-0.0224086,-0.120388,0.0241371
46988253,46988022,0.0149677,-0.145738,0.0289072
47009354,47009127,0.0235315,-0.185978,0.0335093
47026730,47026508,0.0739798,-0.186505,0.00336274
47047842,47047613,0.0690955,-0.170117,0.00112753
47068947,47068718,0.0522277,-0.150024,0.00436214
47086323,47086099,0.115188,-0.116691,-0.00731212
47107532,47107302,0.122083,-0.0895054,-0.0193422
47128628,47128403,0.0659626,-0.0620996,0.00209614
47149875,47149648,0.0117054,-0.0417151,0.0246835
47167026,47166795,0.0281408,-0.0368694,0.0116275
47188155,47187931,-0.0348533,-0.0278213,0.0367366
47209234,47209006,-0.0655693,-0.0601043,0.0540781
47226617,47226387,-0.0445989,-0.0999971,0.00471765
47247723,47247492,-0.0779932,-0.0829497,0.0182838
47268822,47268597,-0.0709178,-0.0864842,0.0363572
47289928,47289702,-0.0666371,-0.00529916,0.0485013
47307344,47307116,-0.0171227,-0.0364333,-0.00362183
47328418,47328188,-0.018216,-0.00705117,0.0130458
47349519,47349294,-0.0243107,-0.00832801,0.0382265
47366906,47366679,0.0183478,0.020884,0.0105315
47388043,47387820,0.000169439,0.147553,0.00878874
47408039,47407815,0.00196913,0.238909,-0.000442322
47430230,47429989,-0.0260506,0.27262,0.0114372
47447595,47447372,0.0230271,0.343928,-0.00133868
47468711,47468476,-0.0392675,0.387741,0.00587519
47488564,47488339,-0.0738744,0.407513,0.0180638
47507196,47506961,-0.0796468,0.378318,0.00620497
47527088,47526861,-0.0303152,0.298993,0.0144386
47548162,47547931,-0.0316929,0.291656,0.0192083
47569267,47569036,0.0511286,0.279739,0.0284951
47586642,47586416,0.139104,0.273225,-0.0210777
47607745,47607522,0.120037,0.309126,-0.00494897
47628859,47628627,0.124009,0.321607,0.010066
47646233,47646003,0.207597,0.358381,-0.0242108
47667437,47667212,0.325142,0.390768,-0.0277712
47689700,47689466,0.386644,0.392607,-0.0138798
47709555,47709323,0.433303,0.342217,-0.016539
47726936,47726704,0.449309,0.255021,-0.00756586
47748042,47747809,0.47151,0.207017,-0.014176
47769142,47768916,0.565085,0.198375,-0.0333081
47786528,47786296,0.65549,0.221239,0.0003829
47807627,47807400,0.717747,0.147716,-0.0179824
47828732,47828505,0.741159,0.0641921,-0.0397712
47849834,47849611,0.732227,0.00986419,-0.0399055
47867236,47866994,0.641115,0.00138942,0.0160102
47888359,47888130,0.454255,-0.0301242,0.0155886
47909441,47909218,0.2914,0.0432927,-0.00494903
47926861,47926632,0.0971599,0.0693961,0.0029135
47948079,47947851,0.0531836,0.0174726,0.00703285
47969018,47968793,0.129342,0.0180193,-0.0142988
47986403,47986175,0.177888,0.0439415,0.0217105
48007550,48007324,0.285338,0.0909046,0.0233405
48028615,48028390,0.318806,0.074801,0.00633469
48049716,48049489,0.30257,0.0286702,-0.0122358
48067097,48066871,0.106676,0.0645129,0.0242471
48088213,48087977,0.0637924,-0.0179937,0.0110532
48108067,48107839,-0.0188274,-0.0419509,0.0176408
48129169,48128945,-0.110413,-0.0307233,0.00202238
48146553,48146327,-0.214825,-0.0170682,0.0266638
48167655,48167427,-0.188353,-0.00628761,0.024894
48188772,48188548,-0.130576,-0.0193952,0.0236803
48206238,48206007,-0.161464,-0.000904062,0.0172474
48227447,48227222,-0.160524,0.0358658,0.0299067
48248352,48248126,-0.0819461,0.0401917,0.0259775
48269466,48269232,-0.0634682,0.0724991,0.00806283
48286835,48286611,-0.178439,0.0409485,0.0513163
48307943,48307718,-0.197678,0.0347926,0.0374306
48329055,48328823,-0.257635,0.00216853,0.0258503
48346441,48346210,-0.350804,-0.0220531,0.0256743
48367539,48367315,-0.511868,-0.0478633,0.0240181
48388647,48388414,-0.702572,-0.0359316,0.0342615
48409762,48409522,-0.897962,-0.0162435,0.0340804
48427127,48426900,-0.970817,-0.0289049,0.0544594
48448240,48448005,-0.947363,0.0293741,0.0491668
48469477,48469246,-0.765961,0.0620754,0.0345161
48486916,48486690,-0.581309,0.045369,0.0240241
48507825,48507596,-0.36645,0.0657767,0.00827789
48528937,48528703,-0.210253,0.0288174,-0.000948577
48550044,48549807,-0.113116,-0.0530988,-0.00763299
48567417,48567187,-0.0105552,-0.0912415,-0.0159037
48588524,48588294,-0.0243667,-0.0728815,-0.0311751
48609629,48609398,-0.0833758,-0.0652485,-0.02615
48627007,48626779,-0.0980342,-0.0957672,-0.0188347
48648119,48647887,-0.155262,-0.0514656,-0.0241908
48669222,48668989,-0.206587,0.00588001,-0.0229023
48686602,48686372,-0.166331,-0.011406,0.00402786
48707713,48707476,-0.125703,-0.0172343,0.0120179
48727593,48727363,-0.0879538,0.0249403,-0.00214507
48748847,48748619,-0.0466032,0.000911415,-0.00113304
48766090,48765861,0.0251809,-0.0221432,-0.0649192
48787173,48786939,0.0101346,-0.0120414,-0.058237
48808265,48808035,-0.00101114,-0.0308543,-0.0488008
48825647,48825419,-0.0372942,0.0275562,-0.00203221
48846752,48846524,-0.0763211,0.0373798,-0.00333525
48867855,48867626,-0.103543,-0.0106397,0.000141702
48888956,48888731,-0.0858181,-0.0463097,0.00111665
48906346,48906117,-0.0244183,-0.0202818,-0.0420494
48927448,48927220,-0.0110753,-0.0515318,-0.0549187
48948552,48948323,0.0352442,-0.0593942,-0.0311724
48969658,48969428,0.0132358,-0.0354811,-0.0342681
48987038,48986812,0.0208407,-0.0173457,-0.038184
49008219,49007988,-0.0363064,0.000615473,-0.0365075
49029413,49029183,-0.0379708,0.0144633,-0.0437176
49046628,49046400,-0.122417,0.042965,-0.0164713
49067728,49067505,-0.0850505,0.0717579,-0.00469775
49088839,49088612,-0.0402422,0.0366836,-0.00597255
49109946,49109716,-0.0183987,0.0337955,-0.00282483
49127321,49127096,0.0480777,-0.0264299,-0.0767209
49148441,49148208,0.0570233,-0.0342409,-0.0609937
49169612,49169385,0.0347395,-0.0330468,-0.0566554
49186916,49186688,0.0264069,-0.0673068,-0.0118849
49208022,49207793,0.0300633,-0.0546852,-0.00242902
49229134,49228901,0.0144621,-0.0233282,-0.0098086
49250240,49250006,0.0193071,-0.0317203,-0.00720196
49267635,49267408,0.0493406,-0.0265401,-0.0554771
49287590,49287361,0.024983,0.00297226,-0.0713803
49308578,49308353,-0.0053751,0.0213701,-0.0553074
49327245,49327007,0.0184757,0.00331134,-0.0430214
49347076,49346842,-0.0117452,-0.0108774,-0.0484556
49368174,49367946,-0.0280504,-0.00664257,-0.0403599
49389273,49389049,0.00526785,-0.036427,-0.0346937
49406660,49406430,0.00193087,-0.00586269,-0.00474404
49427761,49427535,0.00745599,-0.00619315,-0.00927505
49448869,49448645,-0.000801733,0.0183267,-0.0120797
49466253,49466022,-0.011451,0.0214092,-0.0435728
49487356,49487126,0.002841,0.0477574,-0.0503603
49508472,49508248,-0.00477586,0.0391828,-0.0585599
49529571,49529343,0.0137341,0.0243346,-0.055219
49547072,49546843,0.00834733,0.0082842,-0.00736966
49568282,49568053,0.0403906,-0.00124059,-0.0143278
49589155,49588928,0.0347822,-0.0043659,-0.0148048
49606531,49606305,0.0444928,0.00361098,-0.0338861
49627639,49627415,0.0265943,-0.000870216,-0.0243105
49648743,49648519,0.0180257,0.00360454,-0.021282
49669852,49669624,0.0165288,0.0177648,-0.0189781
49687257,49687033,8.25332e-05,0.01029,-0.0276092
49708336,49708112,0.0305511,0.00875145,-0.0253184
49729448,49729216,0.0703858,0.0125556,-0.0230317
49746824,49746596,0.0381803,0.0220487,0.00522212
49767939,49767701,0.0252098,0.0165376,0.0353804
49789056,49788824,-0.0428982,0.0476453,0.144363
49810196,49809959,-0.139283,0.116244,0.199868
49827646,49827413,-0.16111,0.165597,0.177076
49848625,49848398,-0.261815,0.239588,0.106982
49869734,49869505,-0.164728,0.218701,0.216596
49887112,49886884,-0.0320207,0.180943,0.257591
49908227,49907989,0.080623,0.0708544,0.321926
49928084,49927853,0.191266,-0.0364367,0.377987
49946708,49946475,0.188666,-0.100853,0.387448
49966571,49966339,0.134137,-0.235237,0.421692
49987675,49987445,0.0211537,-0.255003,0.507273
50008777,50008550,-0.051702,-0.290413,0.523836
50026156,50025930,-0.0832332,-0.36342,0.535656
50047267,50047035,-0.0785156,-0.392951,0.550667
50068420,50068190,-0.0519742,-0.437239,0.542314
50089559,50089332,0.0388834,-0.453714,0.559789
50107027,50106800,0.0693832,-0.454013,0.608902
50127958,50127732,0.116312,-0.436525,0.604441
50149067,50148840,0.121573,-0.473565,0.61877
50166447,50166219,0.143432,-0.451794,0.640244
50187554,50187323,0.0625139,-0.431885,0.545524
50208654,50208428,0.0609986,-0.519294,0.417384
50229757,50229533,0.0449012,-0.506557,0.33981
50247151,50246919,0.0577575,-0.472508,0.258253
50268258,50268028,0.0970614,-0.343436,0.19794
50289355,50289129,0.0475945,-0.18031,0.160282
50306729,50306505,0.0172397,-0.0432044,0.15695
50327851,50327627,-0.0397446,0.0637332,0.12805
50348984,50348757,-0.0491344,0.148745,0.115693
50371448,50371219,0.0238448,0.215384,0.0909427
50387473,50387249,-0.00858496,0.279284,0.0971395
50408585,50408360,0.022124,0.273341,0.0783726
50425925,50425689,0.113444,0.255356,0.0401681
50447028,50446793,0.143068,0.252072,0.0141068
50468129,50467898,0.148689,0.278634,0.00819693
50489244,50489005,0.135489,0.295365,0.00704221
50509102,50508872,0.118816,0.33458,0.0140418
50527719,50527489,0.0707494,0.354912,0.0180887
50547578,50547353,0.0406031,0.388926,0.0187316
50568687,50568458,0.0383081,0.353246,0.00168526
50586071,50585842,0.0289111,0.291073,-0.0251595
50607172,50606945,0.0135817,0.295967,-0.035895
50628416,50628187,0.0497606,0.218099,-0.0456535
50649577,50649348,0.0514101,0.19541,-0.0434421
50666784,50666562,0.0438896,0.15095,-0.0250714
50687868,50687641,0.0294521,0.098645,-0.0252259
50708972,50708746,0.0096957,0.103934,-0.00586446
50726355,50726126,-0.0310157,0.0771056,-0.0243292
50747471,50747232,-0.0502048,0.0667322,-0.0087922
50768566,50768339,-0.0321241,0.056769,-0.0333071
50789666,50789442,0.0086382,0.0445175,-0.0427205
50807059,50806823,0.106342,0.0501932,-0.0760054
50828158,50827928,0.161144,0.0241369,-0.0897637
50849280,50849053,0.159732,-0.00236981,-0.0793467
50866646,50866416,0.0920419,0.00483755,-0.0594691
50887788,50887564,0.055335,-0.0219054,-0.0576121
50908992,50908767,0.0377929,-0.0143242,-0.0554871
50929961,50929730,-0.00312562,-0.0203159,-0.0751462
50947344,50947113,-0.114974,0.0288632,-0.00288459
50968445,50968216,-0.0956372,0.0220749,-0.0152963
50989545,50989321,-0.0528872,0.00256889,-0.0382128
51006938,51006709,-0.00679478,0.0404935,-0.0459144
51028036,51027809,-0.00651844,0.0611053,-0.0479043
51049152,51048916,0.0143903,0.0362129,-0.0437856
51069003,51068776,-0.00474554,0.0360463,-0.0269136
51087700,51087457,-0.0286408,-0.000456128,-0.0638113
51108731,51108505,-0.0660888,-0.00522253,-0.0324545
51128595,51128367,-0.0412715,-0.0172671,-0.0376122
51147230,51146996,0.0791736,-0.030373,-0.0830312
51167174,51166947,0.103395,-0.0265165,-0.0905886
51188186,51187961,0.0758276,-0.043107,-0.0818599
51209301,51209065,0.0823192,-0.0659783,-0.0894304
51226675,51226444,0.0392818,0.00920645,-0.0292902
51247778,51247550,0.0093635,0.00170985,-0.0536093
51270130,51269899,-0.0629567,0.0644391,-0.0747561
51286267,51286036,-0.138491,0.0665456,-0.0268698
51307369,51307141,-0.0782498,0.0508474,-0.0366629
51328474,51328246,-0.0439578,0.0741479,-0.0611828
51349580,51349351,0.0685891,0.0445247,-0.0573254
51366965,51366736,-0.00956367,0.0459608,-0.0216536
51388066,51387837,0.0140573,0.0185381,-0.0185451
51409178,51408943,0.0528452,0.0152763,-0.0132313
51426610,51426386,0.0279461,-0.017675,-0.027699
51449054,51448826,0.0164821,-0.031812,0.0100119
51468802,51468571,-0.0216543,-0.0287931,0.0132692
51489866,51489639,-0.0116083,-0.00632064,0.0134852
51508498,51508263,-0.0924537,-0.00516782,-0.00334058
51528359,51528126,-0.0950344,0.00727598,-0.00270929
51549496,51549269,-0.0628003,0.0580441,-0.000462428
51566842,51566611,-0.0357852,0.0109639,-0.0289533
51587951,51587717,0.0226206,-0.0348983,-0.0148882
51609069,51608825,0.034791,0.0427067,-0.0350715
51627673,51627445,0.0559103,0.00509437,-0.0491452
51647538,51647310,0.0599335,-0.0101897,-0.0434891
51668649,51668413,0.0148328,0.00444946,-0.0578273
51686027,51685799,-0.0203326,0.029254,-0.00905264
51705982,51705751,-0.0570265,0.0498281,-0.00734182
51728238,51728006,-0.0243984,0.0211701,-0.0260126
