timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
40748774,0.00827594,0.0797029,-0.000889248,0.0,0.0,-0.0
40753785,0.00886962,0.0785091,-0.00131226,0.0,0.0,-0.0
40768594,0.00773289,0.0797423,-0.00171183,0.0,0.0,-0.0
40793396,0.00816918,0.0690686,-0.00121713,0.0,0.0,-0.0
40813253,0.00855383,0.0786757,-0.00137121,0.0,0.0,-0.0
40833180,0.00960489,0.0807658,0.00010749,0.0,0.0,-0.0
40853062,0.00698893,0.0787421,-0.00185615,0.0,0.0,-0.0
40872882,0.0100442,0.0677541,-0.001347,0.0,0.0,-0.0
40892728,0.00868887,0.0778966,-0.00124889,0.0,0.0,-0.0
40907701,0.0120975,0.0785461,-0.000162774,0.0,0.0,-0.0
40932600,0.00402476,0.0786515,-0.00208557,0.0,0.0,-0.0
40952343,0.00976776,0.0720401,-0.00296543,0.0,0.0,-0.0
40972399,0.0122135,0.0683704,9.24985e-05,0.0,0.0,-0.0
40992243,-0.00319552,0.0676063,-0.00216842,0.0,0.0,-0.0
41012092,0.0187769,0.0821256,-0.00238525,0.0,0.0,-0.0
41031962,0.00759331,0.0659682,0.0010357,0.0,0.0,-0.0
41051832,0.00256647,0.0675084,-0.00269027,0.0,0.0,-0.0
41071571,0.0132889,0.0743504,-0.00270092,0.0,0.0,-0.0
41091351,0.0116479,0.0672669,9.48769e-06,0.0,0.0,-0.0
41111220,0.00341816,0.0657539,-0.000510408,0.0,0.0,-0.0
41131137,0.0075368,0.0716176,-0.00293476,0.0,0.0,-0.0
41151017,0.0105001,0.0710455,-0.00206133,0.0,0.0,-0.0
41170950,0.00739277,0.0660528,0.000706904,0.0,0.0,-0.0
41190928,0.00624897,0.0795721,-0.00142863,0.0,0.0,-0.0
41210755,0.00754119,0.0725807,-0.00302524,0.0,0.0,-0.0
41230543,0.00836266,0.0694634,-0.00096163,0.0,0.0,-0.0
41255355,0.00880561,0.0769746,-0.000384105,0.0,0.0,-0.0
41270258,0.00753368,0.0699452,-0.00175686,0.0,0.0,-0.0
41290063,0.00556531,0.0728762,-0.00311722,0.0,0.0,-0.0
41314994,0.00604214,0.0823776,-0.00214683,0.0,0.0,-0.0
41329860,0.00997798,0.0751928,0.000123294,0.0,0.0,-0.0
41349730,0.00542003,0.0678473,-0.00175413,0.0,0.0,-0.0
41369591,0.00502619,0.072278,-0.00244124,0.0,0.0,-0.0
41394404,0.00502329,0.073764,-0.00166062,0.0,0.0,-0.0
41409348,0.0112707,0.0741011,-0.000273248,0.0,0.0,-0.0
41429161,0.00487932,0.0781399,-0.00226038,0.0,0.0,-0.0
41454227,0.0031079,0.0704786,-0.00250391,0.0,0.0,-0.0
41469139,0.0112806,0.0717971,-0.00055608,0.0,0.0,-0.0
41488877,0.0128325,0.0704591,-0.000505785,0.0,0.0,-0.0
41513657,0.0112292,0.0697619,-0.00131733,0.0,0.0,-0.0
41533572,0.0024506,0.0702975,-0.00192671,0.0,0.0,-0.0
41548457,0.0115425,0.0830238,-0.000918534,0.0,0.0,-0.0
41573230,0.013336,0.0700276,-0.000762086,0.0,0.0,-0.0
41593073,0.0114438,0.0692027,-0.00156285,0.0,0.0,-0.0
41607964,0.00198778,0.0843972,-0.000946315,0.0,0.0,-0.0
41633005,0.00373797,0.0851846,-0.00064437,0.0,0.0,-0.0
41652738,0.0145486,0.0802275,-0.00106678,0.0,0.0,-0.0
41672604,0.0111276,0.0606694,-0.00135364,0.0,0.0,-0.0124847
41692427,0.000421995,0.065807,-0.00158442,0.0,0.0,-0.0124847
41712393,0.002818,0.0759323,-0.00077114,0.0,0.0,-0.021224
41732256,0.014506,0.0709646,-0.001164,0.0,0.0,-0.0299633
41752069,0.0117195,0.0691761,-0.00140677,0.0,0.0,-0.0337087
41771950,0.000215563,0.06253,-0.00208103,0.0,0.0,-0.0337087
41791812,0.000290294,0.0853805,-0.000719937,0.0,0.0,-0.0349572
41811735,0.0118644,0.0755016,-0.000416683,0.0,0.0,-0.0362056
41831520,0.0161986,0.0728304,-0.00120584,0.0,0.0,-0.0362056
41851400,0.00594463,0.0569093,-0.00222246,0.0,0.0,-0.0362056
41871253,-0.00303281,0.0663411,-0.00148681,0.0,0.0,-0.0362056
41891161,0.00265813,0.0776529,-0.0010046,0.0,0.0,-0.0362056
41910917,0.013884,0.0762934,-0.000240943,0.0,0.0,-0.0362056
41930788,0.0176428,0.0649055,-0.000844788,0.0,0.0,-0.0362056
41950718,0.00709252,0.0660218,-0.00222605,0.0,0.0,-0.0349572
41970585,-0.00324469,0.0714698,-0.00214971,0.0,0.0,-0.0349572
41990584,-0.00238825,0.083941,-0.00207728,0.0,0.0,-0.0349572
42010361,0.0105576,0.0795318,-0.000232031,0.0,0.0,-0.0349572
42030225,0.0193645,0.0822655,-0.000458143,0.0,0.0,-0.0374541
42050112,0.0158135,0.070424,-0.000525871,0.0,0.0,-0.0374541
42070007,0.00302594,0.0553765,-0.0017124,0.0,0.0,-0.0449449
42094779,0.00500284,0.0646687,-0.0015559,0.0,0.0,-0.0674174
42109807,-0.0014498,0.0858344,-0.00309454,0.0,0.0,-0.0786536
42129613,0.0128812,0.0813699,-0.00052881,0.0,0.0,-0.102375
