timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
40750877,0.0,0.0,0.0,0.0
40752142,0.0,0.0,0.0,0.0
40953286,0.0,0.0,0.0,0.0
41153230,0.0,0.0,0.0,0.0
41353147,0.0,0.0,0.0,0.0
41551815,0.0,0.0,0.0,0.0
41751742,0.0,0.0,0.0,0.0
41951676,0.0,0.0,0.0,0.0
42154083,0.000372977,6.91111e-05,2.94562e-05,0.0
42354010,-0.00029085,0.00104918,0.000152943,0.0
42552690,0.000191441,0.0028256,0.000150058,0.0
42752612,0.00029614,0.00493608,0.00013419,0.0
42952535,0.000429021,0.00703785,0.000154478,0.0
43151219,0.000413485,0.00881806,0.000144583,0.0
43352586,0.000579959,0.0107288,0.000144901,0.0
43553549,0.000711441,0.0124759,5.33957e-05,0.0
43753480,0.000859909,0.0137084,9.04149e-05,0.0
43953401,0.000643254,0.0144427,2.84318e-05,0.0
44152244,0.000554991,0.0155426,0.000134038,0.0
44352016,0.00032741,0.0168975,0.000169679,0.0
44551939,0.000335279,0.018809,0.00013997,0.0
44754388,0.000350639,0.0202039,0.000104169,0.0
44954405,0.000265033,0.0216501,6.80281e-05,0.0
45154211,0.000111452,0.022628,-0.000165009,0.0
45352883,-4.36935e-05,0.0237085,-0.000600169,0.0
45552808,-0.000252335,0.0248072,-0.00101739,0.0
45751583,-0.000625601,0.0256573,-0.00155073,0.0
45951415,-0.000814107,0.0267115,-0.00214478,0.0
46151337,-0.00112571,0.0274561,-0.00298758,0.0
46353747,-0.00169009,0.0278674,-0.00379682,0.0
46553744,-0.0020836,0.0284369,-0.00471303,0.0
46754855,-0.00347868,0.0274558,-0.00566749,0.0
46952285,-0.00667574,0.025338,-0.00715006,0.0
47152218,-0.00799034,0.0201951,-0.00838822,0.0
47352218,-0.00729572,0.01558,-0.00947373,0.0
47554566,-0.00943361,0.0165902,-0.0105404,0.0
47754466,-0.0112871,0.0168944,-0.0118424,0.0
47953154,-0.0104523,0.0173619,-0.0126073,0.0
48153076,-0.0115905,0.0109647,-0.0128899,0.0
48353001,-0.00843613,0.00551591,-0.0144803,0.0
48551682,-0.0103848,0.00382928,-0.0160204,0.0
48751607,-0.0105372,0.00408812,-0.016923,0.0
48951534,-0.0107906,0.00540396,-0.0167869,0.0
49153947,-0.0109856,-0.00100007,-0.0139005,0.0
49353866,-0.0132585,-0.00544423,-0.0119424,0.0
49552546,-0.0149194,-0.0129864,-0.0117385,0.0
49752513,-0.0165023,-0.0109457,-0.0145585,0.0
49953655,-0.0151451,-0.0129846,-0.0197397,0.0
50151085,-0.0158289,-0.0137448,-0.0316324,0.0
50354794,-0.0197645,-0.0150723,-0.0355551,0.0
50554668,-0.0173622,-0.020094,-0.0316881,0.0
50753351,-0.0170694,-0.0197238,-0.0271331,0.0
50953318,-0.0160559,-0.0213969,-0.023933,0.0
51152139,-0.0152586,-0.0251124,-0.0226645,0.0
51351876,-0.0159807,-0.025869,-0.0220283,0.0
51551812,-0.0141176,-0.02578,-0.0208886,0.0
51751730,-0.0129751,-0.0251865,-0.0205595,0.0
51954304,-0.0135033,-0.0267867,-0.0217356,0.0
52154062,-0.0157014,-0.0262344,-0.0233941,0.0
52352748,-0.0155576,-0.0281881,-0.0252034,0.0
52552669,-0.0186888,-0.0257113,-0.0267091,0.0
52752760,-0.0163329,-0.0270451,-0.0278701,0.0
52951277,-0.0186919,-0.0254619,-0.0280023,0.0
53151211,-0.015257,-0.0251371,-0.0289205,0.0
53353615,-0.0195855,-0.0237645,-0.0300532,0.0
53553683,-0.0178019,-0.02396,-0.0315987,0.0
53753467,-0.0173827,-0.0246613,-0.0418789,0.0
53952150,-0.0188075,-0.022519,-0.0411749,0.0
54152081,-0.0180639,-0.02553,-0.0364036,0.0
54352048,-0.0167684,-0.0207608,-0.0318541,0.0
54554409,-0.0150668,-0.0197146,-0.0295259,0.0
54754334,-0.0152524,-0.0195122,-0.0282203,0.0
54954261,-0.0183277,-0.0185454,-0.0275613,0.0
