timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
20841866,20841818,4325386,0.0213053,-0.00213053,-0.0804275,nan,0
20842985,20842939,4325386,0.0330232,-0.0117179,-0.117712,nan,0
21842343,21842295,4325386,-0.129962,0.103331,-0.102265,nan,0
22843285,22843236,4325386,-0.0436758,0.143278,0.04048,nan,0
23844742,23844696,4325386,-0.160855,-0.0836233,0.0394148,nan,0
24843057,24843011,4325386,0.0569916,0.225836,-0.458064,nan,0
25844174,25844126,4325386,0.0990696,-0.286556,-0.386158,nan,0
26844134,26844088,4325386,0.152333,0.106526,-0.412257,nan,0
27841603,27841557,4325386,-0.520382,-0.388289,0.45327,nan,0
28843065,28843018,4325386,0.138484,0.622114,-0.0495348,nan,0
29844034,29843979,4325386,-0.21252,-0.107592,-0.00479369,nan,0
30844552,30844506,4325386,-0.224771,-0.0229032,0.52198,nan,0
31843716,31843668,4325386,-0.0383495,-0.605603,0.509729,nan,0
32842950,32842900,4325386,0.593885,0.0649811,0.162453,nan,0
33844377,33844334,4325386,0.0937433,0.0410127,0.315318,nan,0
34843347,34843301,4325386,-0.645018,-0.54222,-0.186421,nan,0
35842819,35842769,4325386,0.349939,0.256729,0.3542,nan,0
36843776,36843730,4325386,-1.04662,0.495348,-0.00639159,nan,0
37843243,37843195,4325386,-0.189084,-0.138484,0.21039,nan,0
38842720,38842661,4325386,-0.348874,-0.35207,-0.442617,nan,0
39843175,39843125,4325386,0.0511327,0.0974717,0.046339,nan,0
40844281,40844236,4325386,0.6839,-0.601342,0.0617853,nan,0
41841610,41841559,4325386,-0.227967,0.447411,-0.593352,nan,0
42843278,42843230,4325386,0.528371,0.120375,0.34408,nan,0
43843694,43843648,4325386,-0.227434,-0.0910801,-0.152865,nan,0
44844543,44844494,4325386,-0.121973,0.411725,-0.0149137,nan,0
45842010,45841965,4325386,-0.182693,-0.257794,0.16192,nan,0
46843433,46843379,4325386,-0.0974717,0.2024,-0.153931,nan,0
47843888,47843842,4325386,-0.344613,0.241815,-0.36219,nan,0
48841975,48841928,4325386,0.109722,0.203465,0.298274,nan,0
49842833,49842782,4325386,-0.400539,-0.216781,-0.0165116,nan,0
50844487,50844443,4325386,0.0255663,0.191748,-0.225303,nan,0
51844749,51844701,4325386,0.238087,-0.482032,0.0740359,nan,0
52842225,52842173,4325386,0.796285,0.0580569,-0.0442085,nan,0
53843927,53843875,4325386,0.463923,-0.0186421,0.0687096,nan,0
54844193,54844147,4325386,0.275903,-0.202933,0.424508,nan,0
55841725,55841677,4325386,-0.193878,-0.092678,0.284958,nan,0
56842582,56842534,4325386,-0.314786,0.54435,0.0383495,nan,0
57844094,57844048,4325386,-0.660464,-0.056459,-0.144876,nan,0
58844618,58844573,4325386,-0.384028,0.142745,-0.459662,nan,0
59841985,59841935,4325386,-0.00639159,-0.309992,-0.352602,nan,0
60843445,60843396,4325386,0.338221,-0.0388821,0.176301,nan,0
61844405,61844358,4325386,-0.647681,-0.837298,-0.654072,nan,0
62841878,62841833,4325386,0.701477,-0.49375,0.0692422,nan,0
63843339,63843293,4325386,-0.468716,-0.358461,-0.207194,nan,0
64843851,64843805,4325386,0.290285,0.066579,-0.304666,nan,0
65844772,65844720,4325386,0.15979,-0.572047,-0.0330232,nan,0
66843476,66843429,4325386,0.792557,0.0191748,-0.437291,nan,0
67843926,67843881,4325386,-0.283893,-0.237021,-0.105461,nan,0
68844211,68844162,4325386,-0.411192,0.151268,0.0660464,nan,0
69842909,69842861,4325386,0.166714,0.407996,-0.0133158,nan,0
70843106,70843057,4325386,-0.274306,0.216249,0.0340885,nan,0
71844190,71844144,4325386,0.422377,0.0617853,-0.015979,nan,0
72841626,72841579,4325386,0.238619,0.193878,0.289752,nan,0
73842009,73841957,4325386,0.0516653,0.23063,0.462325,nan,0
74843732,74843681,4325386,0.133158,0.388821,-0.015979,nan,0
75842494,75842438,4325386,0.066579,-0.241815,-0.0830906,nan,0
