timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
24851561,inf,0,1,1,1,0
25860236,inf,0,1,1,1,0
26829102,inf,0,1,0,0,0
27310335,inf,0,0,0,0,0
28313823,inf,0,0,0,0,0
29317028,inf,0,0,0,0,0
30320518,inf,0,0,0,0,0
31328945,inf,0,0,0,0,0
32332266,inf,0,0,0,0,0
33340435,inf,0,0,0,0,0
34344014,inf,0,0,0,0,0
35352393,inf,0,0,0,0,0
36356048,inf,0,0,0,0,0
37359071,inf,0,0,0,0,0
38362698,inf,0,0,0,0,0
39370852,inf,0,0,0,0,0
40379530,inf,0,0,0,0,0
41382641,inf,0,0,0,0,0
42385945,inf,0,0,0,0,0
43389544,inf,0,0,0,0,0
44397629,inf,0,0,0,0,0
45400994,inf,0,0,0,0,0
46410308,inf,0,0,0,0,0
47412690,inf,0,0,0,0,0
48421188,inf,0,0,0,0,0
49429427,inf,0,0,0,0,0
50433552,inf,0,0,0,0,0
51441157,inf,0,0,0,0,0
52444635,inf,0,0,0,0,0
53452894,inf,0,0,0,0,0
54461348,inf,0,0,0,0,0
55469574,inf,0,0,0,0,0
56472811,inf,0,0,0,0,0
57476402,inf,0,0,0,0,0
58479585,inf,0,0,0,0,0
59483056,inf,0,0,0,0,0
60491196,inf,0,0,0,0,0
61499630,inf,0,0,0,0,0
62508079,inf,0,0,0,0,0
63511386,inf,0,0,0,0,0
64519662,inf,0,0,0,0,0
65529091,inf,0,0,0,0,0
66531354,inf,0,0,0,0,0
67539991,inf,0,0,0,0,0
68548319,inf,0,0,0,0,0
69551712,inf,0,0,0,0,0
70560107,inf,0,0,0,0,0
71569221,inf,0,0,0,0,0
72576703,inf,0,0,0,0,0
73579972,inf,0,0,0,0,0
74583347,inf,0,0,0,0,0
75586531,inf,0,0,0,0,0
76589984,inf,0,0,0,0,0
77598375,inf,0,0,0,0,0
78606693,inf,0,0,0,0,0
79609964,inf,0,0,0,0,0
80618353,inf,0,0,0,0,0
81621807,inf,0,0,0,0,0
82630649,inf,0,0,0,0,0
83638533,inf,0,0,0,0,0
84641942,inf,0,0,0,0,0
85650216,inf,0,0,0,0,0
86663761,inf,0,0,0,0,0
87672060,inf,0,0,0,0,0
88681210,inf,0,0,0,0,0
89689748,inf,0,0,0,0,0
90692896,inf,0,0,0,0,0
91701371,inf,0,0,0,0,0
92704606,inf,0,0,0,0,0
93708075,inf,0,0,0,0,0
94716585,inf,0,0,0,0,0
95723716,inf,0,0,0,0,0
96727337,inf,0,0,0,0,0
97730633,inf,0,0,0,0,0
98733903,inf,0,0,0,0,0
99737177,inf,0,0,0,0,0
100740665,inf,0,0,0,0,0
101749001,inf,0,0,0,0,0
102757431,inf,0,0,0,0,0
103760663,inf,0,0,0,0,0
104769152,inf,0,0,0,0,0
105773431,inf,0,0,0,0,0
106780644,inf,0,0,0,0,0
107789051,inf,0,0,0,0,0
108792427,inf,0,0,0,0,0
109800854,inf,0,0,0,0,0
110809099,inf,0,0,0,0,0
111812564,inf,0,0,0,0,0
112820874,inf,0,0,0,0,0
113834770,inf,0,0,0,0,0
114843601,inf,0,0,0,0,0
115851158,inf,0,0,0,0,0
116854359,inf,0,0,0,0,0
117857819,inf,0,0,0,0,0
118861179,inf,0,0,0,0,0
119869548,inf,0,0,0,0,0
120877847,inf,0,0,0,0,0
121881582,inf,0,0,0,0,0
122890327,inf,0,0,0,0,0
123898697,inf,0,0,0,0,0
124901291,inf,0,0,0,0,0
125910613,inf,0,0,0,0,0
126918823,inf,0,0,0,0,0
127922280,inf,0,0,0,0,0
128929555,inf,0,0,0,0,0
129933121,inf,0,0,0,0,0
130942272,inf,0,0,0,0,0
131950814,inf,0,0,0,0,0
132954025,inf,0,0,0,0,0
133962533,inf,0,0,0,0,0
134970679,inf,0,0,0,0,0
135974248,inf,0,0,0,0,0
136977570,inf,0,0,0,0,0
137980102,inf,0,0,0,0,0
138983275,inf,0,0,0,0,0
139986713,inf,0,0,0,0,0
140990112,inf,0,0,0,0,0
141998256,inf,0,0,0,0,0
143006661,inf,0,0,0,0,0
144009997,inf,0,0,0,0,0
145018445,inf,0,0,0,0,0
146021705,inf,0,0,0,0,0
147030734,inf,0,0,0,0,0
148038621,inf,0,0,0,0,0
149042034,inf,0,0,0,0,0
150050164,inf,0,0,0,0,0
151058521,inf,0,0,0,0,0
152061984,inf,0,0,0,0,0
153070208,inf,0,0,0,0,0
154078542,inf,0,0,0,0,0
155081976,inf,0,0,0,0,0
156090415,inf,0,0,0,0,0
157098704,inf,0,0,0,0,0
158107319,inf,0,0,0,0,0
159110455,inf,0,0,0,0,0
160113738,inf,0,0,0,0,0
161117128,inf,0,0,0,0,0
162121895,inf,0,0,0,0,0
163124950,inf,0,0,0,0,0
164128282,inf,0,0,0,0,0
165131605,inf,0,0,0,0,0
166139165,inf,0,0,0,0,0
167147689,inf,0,0,0,0,0
167723650,inf,0,1,0,0,0
168607865,inf,0,1,1,0,0
168910847,inf,0,1,1,1,0
169919262,inf,0,1,1,1,0
170922800,inf,0,1,1,1,0
