timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping
45375282,45374944,3932170,3932170,-0.00139403,0.000723038,0.000235152,-0.00638499,0.00616551,-0.0586044,4990,4990,0
45874917,45873909,3932170,3932170,0.00066303,-0.000337616,-0.00103535,0.00193423,-0.0136622,-0.045002,4960,4960,0
46373250,46372909,3932170,3932170,-9.65535e-06,0.000433005,0.000741257,-0.000384426,0.011512,-0.0508572,4973,4973,0
46876962,46876697,3932170,3932170,-0.00042456,0.00114177,0.000627086,0.000763167,-0.0178694,-0.0462358,4992,4992,0
47375886,47375631,3932170,3932170,0.000837194,-0.000339788,-0.00110451,-0.000479583,-0.0291354,-0.0461396,4980,4980,0
47874786,47874541,3932170,3932170,0.00096565,0.000509071,-2.41858e-05,0.00198152,0.00940143,-0.0476416,4995,4995,0
48373713,48373464,3932170,3932170,0.00124467,-0.000445822,-0.00106681,0.00134578,-0.0125505,-0.0455778,4997,4997,0
48872624,48872377,3932170,3932170,-0.000304705,-0.00022372,-0.000572327,0.000252225,-0.0144208,-0.0441607,4989,4989,0
49371551,49371300,3932170,3932170,0.000373686,-0.000265577,-0.000211939,0.00275759,-0.00110948,-0.0457501,4990,4990,0
49875651,49875348,3932170,3932170,0.000354895,3.2276e-05,0.000736423,-0.00133987,0.0149487,-0.0544222,4951,4951,0
50374396,50374134,3932170,3932170,0.000859479,-0.000321955,-0.000653422,0.00322977,-0.00903038,-0.0460206,4987,4987,0
50873322,50873052,3932170,3932170,0.000262602,-0.000273458,-0.000364896,-0.00132436,-0.0152985,-0.04775,4992,4992,0
51377209,51376960,3932170,3932170,0.000507784,0.000269369,0.000287097,-0.00374836,0.00600694,-0.0475597,4987,4987,0
51876171,51875881,3932170,3932170,-0.00231415,0.000601954,0.00148274,-0.0064569,0.0180031,-0.055576,4989,4989,0
52375483,52374813,3932170,3932170,-0.000950483,0.000620551,0.000188293,-0.00521279,0.00721397,-0.0566698,4998,4998,0
52874054,52873724,3932170,3932170,-0.000958515,-0.000199085,-0.000259225,-0.00406565,-0.0114851,-0.0522596,4990,4990,0
53373139,53372788,3932170,3932170,0.000555963,6.71758e-05,0.00047273,-0.00135168,0.018006,-0.0576373,4962,4962,0
53877097,53876804,3932170,3932170,-0.00110427,0.000752054,0.000913236,-0.00678327,0.0271296,-0.0610199,5234,5234,0
54375755,54375476,3932170,3932170,7.32927e-05,0.000166875,0.000360497,-0.00165996,0.0115293,-0.0453547,4989,4989,0
54874694,54874399,3932170,3932170,-0.00189673,0.000212947,5.00426e-05,-0.00543165,-0.00798967,-0.0520487,4991,4991,0
55378558,55378308,3932170,3932170,0.00133756,-0.000333317,-0.000753558,0.00408193,-0.0162399,-0.0438106,4989,4989,0
55872536,55872243,3932170,3932170,0.000688021,0.000204229,-0.000922989,0.00023798,-0.0384681,-0.0490852,4983,4983,0
56371407,56371163,3932170,3932170,-0.00153693,0.000955059,0.000365188,-0.00518036,-0.0117154,-0.047813,4987,4987,0
56875428,56875173,3932170,3932170,-0.000673356,2.51708e-05,0.000500306,-0.00154772,0.00344505,-0.0461853,4968,4968,0
57374509,57374259,3932170,3932170,-0.000100819,0.00024243,-2.99853e-05,-0.00326756,-0.0134062,-0.0508221,5250,5250,0
57873223,57872960,3932170,3932170,0.000328363,0.000657371,-0.000141426,0.00280235,0.0057559,-0.0503696,4985,4985,0
58377118,58376827,3932170,3932170,0.00151471,-0.000909729,-0.00109565,0.00648377,-0.012443,-0.0465638,4989,4989,0
58875996,58875749,3932170,3932170,0.000501908,0.000375117,0.000253121,-0.00119784,0.0128089,-0.0442628,4987,4987,0
