timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
21838473,inf,0,1,1,1,0
22841740,inf,0,1,1,1,0
23844829,inf,0,1,1,1,0
24172534,inf,0,1,0,0,0
25180523,inf,0,1,0,0,0
25731939,inf,0,0,0,0,0
26735095,inf,0,0,0,0,0
27738229,inf,0,0,0,0,0
28741468,inf,0,0,0,0,0
29749706,inf,0,0,0,0,0
30752760,inf,0,0,0,0,0
31761042,inf,0,0,0,0,0
32763961,inf,0,0,0,0,0
33772064,inf,0,0,0,0,0
34775239,inf,0,0,0,0,0
35778355,inf,0,0,0,0,0
36786466,inf,0,0,0,0,0
37794633,inf,0,0,0,0,0
38803086,inf,0,0,0,0,0
39811026,inf,0,0,0,0,0
40819310,inf,0,0,0,0,0
41827310,inf,0,0,0,0,0
42831585,inf,0,0,0,0,0
43833797,inf,0,0,0,0,0
44841758,inf,0,0,0,0,0
45845106,inf,0,0,0,0,0
46853238,inf,0,0,0,0,0
47856037,inf,0,0,0,0,0
48864394,inf,0,0,0,0,0
49872448,inf,0,0,0,0,0
50880760,inf,0,0,0,0,0
51888689,inf,0,0,0,0,0
52892119,inf,0,0,0,0,0
53900850,inf,0,0,0,0,0
54904157,inf,0,0,0,0,0
55906340,inf,0,0,0,0,0
56910037,inf,0,0,0,0,0
57912612,inf,0,0,0,0,0
58920745,inf,0,0,0,0,0
59924243,inf,0,0,0,0,0
60927338,inf,0,0,0,0,0
61930738,inf,0,0,0,0,0
62933550,inf,0,0,0,0,0
63941647,inf,0,0,0,0,0
64949791,inf,0,0,0,0,0
65953091,inf,0,0,0,0,0
66961151,inf,0,0,0,0,0
67964244,inf,0,0,0,0,0
68972441,inf,0,0,0,0,0
69980551,inf,0,0,0,0,0
70983676,inf,0,0,0,0,0
71991868,inf,0,0,0,0,0
73000286,inf,0,0,0,0,0
74003197,inf,0,0,0,0,0
75011406,inf,0,0,0,0,0
76019692,inf,0,0,0,0,0
77022815,inf,0,0,0,0,0
78030933,inf,0,0,0,0,0
79034150,inf,0,0,0,0,0
80042286,inf,0,0,0,0,0
81050388,inf,0,0,0,0,0
82058361,inf,0,0,0,0,0
83061767,inf,0,0,0,0,0
84069920,inf,0,0,0,0,0
85078010,inf,0,0,0,0,0
86081244,inf,0,0,0,0,0
87084288,inf,0,0,0,0,0
88092403,inf,0,0,0,0,0
89096355,inf,0,0,0,0,0
90104486,inf,0,0,0,0,0
91112297,inf,0,0,0,0,0
92120212,inf,0,0,0,0,0
93127998,inf,0,0,0,0,0
94136204,inf,0,0,0,0,0
95139315,inf,0,0,0,0,0
96147459,inf,0,0,0,0,0
97150762,inf,0,0,0,0,0
98158767,inf,0,0,0,0,0
99162310,inf,0,0,0,0,0
100165301,inf,0,0,0,0,0
101168411,inf,0,0,0,0,0
102176576,inf,0,0,0,0,0
103184935,inf,0,0,0,0,0
104193023,inf,0,0,0,0,0
105196509,inf,0,0,0,0,0
106204435,inf,0,0,0,0,0
107207441,inf,0,0,0,0,0
108210916,inf,0,0,0,0,0
109213780,inf,0,0,0,0,0
110216957,inf,0,0,0,0,0
111225244,inf,0,0,0,0,0
112233277,inf,0,0,0,0,0
113241436,inf,0,0,0,0,0
114249549,inf,0,0,0,0,0
115257818,inf,0,0,0,0,0
116261145,inf,0,0,0,0,0
117264175,inf,0,0,0,0,0
118272166,inf,0,0,0,0,0
119280450,inf,0,0,0,0,0
120289198,inf,0,0,0,0,0
121291720,inf,0,0,0,0,0
122300733,inf,0,0,0,0,0
123303037,inf,0,0,0,0,0
124311179,inf,0,0,0,0,0
125319542,inf,0,0,0,0,0
126322546,inf,0,0,0,0,0
127325533,inf,0,0,0,0,0
128329032,inf,0,0,0,0,0
129332022,inf,0,0,0,0,0
130340386,inf,0,0,0,0,0
131348386,inf,0,0,0,0,0
132351445,inf,0,0,0,0,0
133359820,inf,0,0,0,0,0
134362833,inf,0,0,0,0,0
135371058,inf,0,0,0,0,0
136379180,inf,0,0,0,0,0
137382340,inf,0,0,0,0,0
138385468,inf,0,0,0,0,0
139388650,inf,0,0,0,0,0
140396605,inf,0,0,0,0,0
141404963,inf,0,0,0,0,0
142408052,inf,0,0,0,0,0
143416281,inf,0,0,0,0,0
144424481,inf,0,0,0,0,0
145432525,inf,0,0,0,0,0
146440680,inf,0,0,0,0,0
147443903,inf,0,0,0,0,0
148447177,inf,0,0,0,0,0
149455334,inf,0,0,0,0,0
150463374,inf,0,0,0,0,0
151466602,inf,0,0,0,0,0
152469802,inf,0,0,0,0,0
153473042,inf,0,0,0,0,0
154481156,inf,0,0,0,0,0
155489134,inf,0,0,0,0,0
156492398,inf,0,0,0,0,0
157501409,inf,0,0,0,0,0
158508980,inf,0,0,0,0,0
159511912,inf,0,0,0,0,0
160520124,inf,0,0,0,0,0
161523240,inf,0,0,0,0,0
162531448,inf,0,0,0,0,0
163539665,inf,0,0,0,0,0
164542756,inf,0,0,0,0,0
165546071,inf,0,0,0,0,0
166549276,inf,0,0,0,0,0
167552607,inf,0,0,0,0,0
168560762,inf,0,0,0,0,0
169563953,inf,0,0,0,0,0
170571871,inf,0,0,0,0,0
171576203,inf,0,0,0,0,0
172584366,inf,0,0,0,0,0
173591403,inf,0,0,0,0,0
174599410,inf,0,0,0,0,0
175603055,inf,0,0,0,0,0
176610876,inf,0,0,0,0,0
177624232,inf,0,0,0,0,0
178632211,inf,0,0,0,0,0
179635329,inf,0,0,0,0,0
180643645,inf,0,0,0,0,0
181651822,inf,0,0,0,0,0
182654813,inf,0,0,0,0,0
183663293,inf,0,0,0,0,0
184672183,inf,0,0,0,0,0
185674617,inf,0,0,0,0,0
186677478,inf,0,0,0,0,0
187680895,inf,0,0,0,0,0
188683920,inf,0,0,0,0,0
189687507,inf,0,0,0,0,0
190690674,inf,0,0,0,0,0
191693646,inf,0,0,0,0,0
192701657,inf,0,0,0,0,0
193711323,inf,0,0,0,0,0
194714023,inf,0,0,0,0,0
195721317,inf,0,0,0,0,0
196725265,inf,0,0,0,0,0
197732668,inf,0,0,0,0,0
198740873,inf,0,0,0,0,0
199744089,inf,0,0,0,0,0
200752390,inf,0,0,0,0,0
201760548,inf,0,0,0,0,0
202763712,inf,0,0,0,0,0
203771917,inf,0,0,0,0,0
204774840,inf,0,0,0,0,0
205778153,inf,0,0,0,0,0
206781270,inf,0,0,0,0,0
207789459,inf,0,0,0,0,0
208797779,inf,0,0,0,0,0
209800863,inf,0,0,0,0,0
210808976,inf,0,0,0,0,0
211812413,inf,0,0,0,0,0
212815215,inf,0,0,0,0,0
213823678,inf,0,0,0,0,0
214831671,inf,0,0,0,0,0
215834797,inf,0,0,0,0,0
216843369,inf,0,0,0,0,0
217851080,inf,0,0,0,0,0
218859418,inf,0,0,0,0,0
219862701,inf,0,0,0,0,0
220865759,inf,0,0,0,0,0
221873886,inf,0,0,0,0,0
222882115,inf,0,0,0,0,0
223890173,inf,0,0,0,0,0
224893607,inf,0,0,0,0,0
225902436,inf,0,0,0,0,0
226909890,inf,0,0,0,0,0
227913152,inf,0,0,0,0,0
228921186,inf,0,0,0,0,0
229929359,inf,0,0,0,0,0
230932567,inf,0,0,0,0,0
231940996,inf,0,0,0,0,0
232943919,inf,0,0,0,0,0
233952132,inf,0,0,0,0,0
234960318,inf,0,0,0,0,0
235968462,inf,0,0,0,0,0
236971799,inf,0,0,0,0,0
237974650,inf,0,0,0,0,0
238982788,inf,0,0,0,0,0
239986324,inf,0,0,0,0,0
240989336,inf,0,0,0,0,0
241992403,inf,0,0,0,0,0
242995537,inf,0,0,0,0,0
243998970,inf,0,0,0,0,0
245002244,inf,0,0,0,0,0
246005478,inf,0,0,0,0,0
247008693,inf,0,0,0,0,0
248011917,inf,0,0,0,0,0
249014864,inf,0,0,0,0,0
250017962,inf,0,0,0,0,0
251021123,inf,0,0,0,0,0
252024735,inf,0,0,0,0,0
253027940,inf,0,0,0,0,0
254030952,inf,0,0,0,0,0
255039322,inf,0,0,0,0,0
256047254,inf,0,0,0,0,0
257050457,inf,0,0,0,0,0
258053794,inf,0,0,0,0,0
259057266,inf,0,0,0,0,0
260060029,inf,0,0,0,0,0
261063137,inf,0,0,0,0,0
262066453,inf,0,0,0,0,0
263074554,inf,0,0,0,0,0
264082612,inf,0,0,0,0,0
265090843,inf,0,0,0,0,0
266099637,inf,0,0,0,0,0
267102368,inf,0,0,0,0,0
268111190,inf,0,0,0,0,0
269113554,inf,0,0,0,0,0
270121787,inf,0,0,0,0,0
271130268,inf,0,0,0,0,0
272133143,inf,0,0,0,0,0
273141523,inf,0,0,0,0,0
274149698,inf,0,0,0,0,0
275152779,inf,0,0,0,0,0
276161042,inf,0,0,0,0,0
277164226,inf,0,0,0,0,0
278172761,inf,0,0,0,0,0
279180491,inf,0,0,0,0,0
