timestamp,voltage_v,rssi_v,free_memory_bytes,actuators[0],actuators[1],actuators[2],actuators[3],actuators[4],actuators[5],actuators[6],actuators[7],servos[0],servos[1],servos[2],servos[3],servos[4],servos[5],servos[6],servos[7],raw_inputs[0],raw_inputs[1],raw_inputs[2],raw_inputs[3],raw_inputs[4],raw_inputs[5],raw_inputs[6],raw_inputs[7],raw_inputs[8],raw_inputs[9],raw_inputs[10],raw_inputs[11],raw_inputs[12],raw_inputs[13],raw_inputs[14],raw_inputs[15],raw_inputs[16],raw_inputs[17],status_outputs_armed,status_override,status_rc_ok,status_rc_ppm,status_rc_dsm,status_rc_sbus,status_fmu_ok,status_raw_pwm,status_mixer_ok,status_arm_sync,status_init_ok,status_failsafe,status_safety_off,status_fmu_initialized,status_rc_st24,status_rc_sumd,alarm_vbatt_low,alarm_temperature,alarm_servo_current,alarm_acc_current,alarm_fmu_lost,alarm_rc_lost,alarm_pwm_error,alarm_vservo_fault,arming_io_arm_ok,arming_fmu_armed,arming_fmu_prearmed,arming_manual_override_ok,arming_failsafe_custom,arming_inair_restart_ok,arming_always_pwm_enable,arming_rc_handling_disabled,arming_lockdown,arming_force_failsafe,arming_termination_failsafe,arming_override_immediate
30915330,4.688,1.735,536,-5734,2338,2356,-6656,0,0,0,0,1261,1614,1615,1220,1500,1500,0,0,1482,1499,1400,1495,1504,1086,1087,1088,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
31930835,4.705,1.632,536,3063,-6947,-6276,2296,0,0,0,0,1646,1208,1237,1661,1500,1500,0,0,1490,1501,1398,1499,1504,1087,1087,1088,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
32948245,4.701,1.691,536,-6468,2400,2776,-6324,0,0,0,0,1229,1616,1633,1257,1500,1500,0,0,1534,1480,1401,1496,1504,1087,1087,1088,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
33969656,4.667,1.663,536,1082,-5126,-4204,-3537,0,0,0,0,1559,1287,1494,1357,1500,1500,0,0,1539,1445,1376,1504,1504,1087,1087,1088,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
34978541,4.742,1.648,536,-10000,-6392,-10000,-6674,0,0,0,0,1075,1232,1075,1220,1500,1500,0,0,1498,1501,1093,1458,1505,1087,1087,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
35999878,4.715,1.718,536,-6352,-10000,-6352,-10000,0,0,0,0,1234,1075,1234,1234,1500,1500,0,0,1498,1502,1092,1458,1505,1087,1087,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
37013471,4.746,1.743,536,-6392,-10000,-6392,-10000,0,0,0,0,1232,1075,1232,1163,1500,1500,0,0,1499,1501,1092,1459,1504,1087,1087,1088,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
38034693,4.742,1.764,536,-8306,-6963,-10000,-7355,0,0,0,0,1148,1207,1075,1190,1500,1500,0,0,1498,1502,1093,1459,1504,1087,1087,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
39046104,4.744,1.74,536,-10000,-6352,-10000,-6352,0,0,0,0,1075,1234,1075,1234,1500,1500,0,0,1499,1501,1094,1458,1505,1087,1087,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
40065023,4.722,1.707,536,-6483,-8833,-7465,-9843,0,0,0,0,1228,1125,1185,1081,1500,1500,0,0,1499,1501,1094,1458,1505,1086,1088,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
