timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
17288347,-0.212498,-0.296172,-0.120729,5006,0,-3.49281,-2.36587,-11.8797,5006,0
17293353,-0.199972,-0.104384,0.0396831,5006,0,-1.38257,2.75613,-13.7962,5006,0
17298360,0.238988,0.244756,0.124258,5007,0,3.5918,2.00895,-12.2249,5007,0
17303369,0.29808,0.299093,0.017405,5009,0,2.82975,-1.12723,-6.77881,5009,0
17308373,0.0242541,-0.269063,-0.169514,5004,0,-2.21365,-3.03516,-5.78742,5004,0
17313379,-0.204453,-0.435736,-0.110173,5006,0,-3.28737,0.387828,-12.8436,5006,0
17318386,0.0337682,0.0542325,0.186441,5007,0,1.19119,2.4981,-16.0672,5007,0
17323392,0.256876,0.452643,0.108783,5006,0,4.2576,-0.048512,-9.76582,5006,0
17328402,0.134758,0.115873,-0.151211,5010,0,0.413708,-2.40131,-3.97596,5010,0
17333405,-0.0798405,-0.501698,-0.221243,5003,0,-3.62366,-1.10092,-8.71319,5003,0
17338411,-0.091945,-0.408413,0.120625,5006,0,-1.07041,3.38386,-16.6988,5006,0
17343421,0.174762,0.361589,0.225577,5010,0,3.311,0.663197,-13.7254,5010,0
17348424,0.281894,0.499471,-0.0819511,5003,0,1.34193,-1.83895,-5.59381,5003,0
17353430,0.101066,-0.256353,-0.296743,5006,0,-2.29411,-2.17072,-4.8519,5006,0
17358437,-0.233312,-0.758757,0.025409,5007,0,-0.689856,1.94217,-14.164,5007,0
17363443,0.0985077,0.132524,0.275512,5006,0,1.95472,1.51519,-17.9806,5006,0
17368450,0.157042,0.660424,-0.00722296,5007,0,0.630031,-0.986516,-6.45196,5007,0
17373456,0.270271,0.0977775,-0.30231,5006,0,-1.67558,-2.93532,-2.84032,5006,0
17378462,-0.0735082,-0.799822,-0.0239141,5006,0,-0.0880278,0.336753,-11.4932,5006,0
17383469,-0.100609,-0.196572,0.283526,5007,0,1.33007,1.95487,-20.8463,5007,0
17388475,0.0100873,0.684522,-0.00759979,5006,0,0.297523,0.521282,-8.12983,5006,0
17393482,0.300557,0.373115,-0.277376,5007,0,-1.45763,-1.7253,-1.89537,5007,0
17398488,0.226359,-0.70159,-0.0528157,5006,0,0.147469,-1.83311,-8.61756,5006,0
17403495,-0.217524,-0.470091,0.298429,5007,0,1.05699,0.17057,-21.5065,5007,0
17408501,-0.163312,0.696072,0.0376332,5006,0,0.0818356,1.79319,-11.118,5006,0
17413507,0.173646,0.599128,-0.256881,5006,0,-1.1045,1.1629,-1.55442,5006,0
17418514,0.373316,-0.57064,-0.12441,5007,0,0.679449,-2.3737,-6.17275,5007,0
17423531,-0.0672606,-0.68255,0.277058,5017,0,1.02033,-2.17387,-21.3908,5017,0
17428527,-0.218808,0.61457,0.141545,4996,0,-0.228714,1.55893,-14.0142,4996,0
17433533,0.011959,0.647973,-0.206249,5006,0,-1.05247,3.10425,-2.34162,5006,0
17438542,0.470168,-0.401966,-0.212873,5009,0,0.513797,-1.66563,-5.54704,5009,0
17443546,0.0293492,-0.685174,0.181924,5004,0,0.914658,-2.83588,-19.9432,5004,0
17448552,-0.248361,0.522049,0.203179,5006,0,0.00336812,0.791383,-13.785,5006,0
17453559,0.0450067,0.581095,-0.082964,5007,0,-0.666196,2.79489,-1.69609,5007,0
17458569,0.423252,-0.410579,-0.194666,5010,0,0.595195,-1.73482,-5.65639,5010,0
17463574,-0.117626,-0.586088,0.0670691,5005,0,0.699391,-2.90735,-21.3546,5005,0
17468578,-0.181663,0.609335,0.159192,5004,0,-0.113453,1.58651,-13.5745,5004,0
17473585,0.0988808,0.498093,-0.0159766,5007,0,-0.571397,2.67165,-0.296116,5007,0
17478591,0.443765,-0.537837,-0.124468,5006,0,0.707436,-2.7197,-5.51835,5006,0
17483597,-0.14023,-0.452107,-0.000456373,5006,0,0.19695,-3.65209,-22.9681,5006,0
17488604,-0.298163,0.717762,0.0793697,5007,0,-0.689959,2.68318,-12.9975,5007,0
17493614,0.0227705,0.338105,-0.00264934,5010,0,-0.275298,2.93065,-0.465798,5010,0
17498617,0.608528,-0.616007,-0.0897893,5003,0,1.52775,-3.2498,-6.87333,5003,0
17503623,-0.0825597,-0.287634,-0.0155255,5006,0,0.237343,-3.62129,-22.2423,5006,0
17508629,-0.530077,0.726083,0.0440572,5006,0,-1.09852,3.22314,-10.2382,5006,0
17513637,-0.0097556,0.204606,-0.0215215,5008,0,-0.179553,2.78859,-0.087788,5008,0
17518643,0.753749,-0.628252,-0.058151,5006,0,1.80661,-3.68125,-9.70117,5006,0
17523649,-0.193234,-0.0527185,-0.0213481,5006,0,0.165505,-3.60743,-22.9138,5006,0
17528655,-0.553589,0.664481,0.0130502,5006,0,-1.07482,3.83782,-8.15847,5006,0
17533663,0.0193491,-0.011014,-0.055056,5008,0,0.091365,2.89104,-0.362469,5008,0
17538668,0.839057,-0.584428,-0.0531338,5005,0,1.61445,-4.27814,-11.9471,5005,0
17543674,-0.273962,0.20538,-0.0292857,5006,0,-0.573518,-3.73021,-21.39,5006,0
17548681,-0.648696,0.572016,0.0161774,5007,0,-1.40455,4.14355,-5.55919,5007,0
17553688,0.0772885,-0.223828,-0.0665849,5007,0,0.758114,2.76215,-1.55603,5007,0
17558694,0.828248,-0.512935,-0.0633623,5006,0,2.13093,-4.36784,-15.1783,5006,0
17563700,-0.349064,0.46594,-0.0312213,5006,0,-0.645354,-2.91897,-19.7379,5006,0
17568707,-0.619171,0.437457,0.0161775,5007,0,-1.56708,4.02901,-2.7777,5007,0
17573713,0.163691,-0.478326,-0.0627216,5006,0,1.25673,2.42436,-2.14321,5006,0
17578719,0.743224,-0.457021,-0.0471015,5006,0,2.62342,-4.79493,-18.1639,5006,0
17583726,-0.440917,0.648089,-0.032976,5007,0,-0.590384,-2.02852,-18.384,5007,0
17588732,-0.593399,0.309632,-0.0137667,5006,0,-1.71381,4.21995,-1.1395,5006,0
17593739,0.353091,-0.753758,-0.0615908,5007,0,1.70573,2.05407,-2.58473,5007,0
17598745,0.627031,-0.430238,-0.0227538,5006,0,2.45826,-5.3319,-20.8862,5006,0
17603752,-0.592604,0.80538,-0.0423726,5007,0,-1.24526,-1.34065,-16.1087,5007,0
17608758,-0.479856,0.16465,-0.0227073,5006,0,-1.79895,4.27842,0.303206,5006,0
17613766,0.45035,-0.974165,-0.0234123,5008,0,2.66642,0.860094,-3.67818,5008,0
17618771,0.384633,-0.316218,-0.0366278,5005,0,2.4518,-6.04212,-22.9093,5005,0
17623781,-0.611169,0.924339,-0.0832549,5010,0,-2.32549,0.00560602,-13.8037,5010,0
17628784,-0.44116,0.00576013,-0.0116043,5003,0,-1.972,4.60847,1.09442,5003,0
