timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
16969318,16968430,73225,0.310964,-0.0571112,0.399543,51.0,0,1
16977300,16976433,73225,0.304908,-0.0559279,0.399543,51.0,0,1
17971078,17970206,73225,0.315809,-0.0535613,0.394507,51.0,0,1
18966613,18965687,73225,0.309753,-0.0618445,0.397025,51.0,0,1
19969301,19968434,73225,0.315809,-0.0582945,0.394507,51.0,0,1
20963224,20961854,73225,0.335188,-0.0594778,0.388212,50.75,0,1
21965374,21964508,73225,0.318231,-0.0582945,0.398284,51.0,0,1
22967431,22966564,73225,0.315809,-0.0535613,0.39073,50.75,0,1
23971599,23970732,73225,0.33761,-0.0701276,0.381917,51.25,0,1
24966227,24965356,73225,0.346089,-0.00267889,0.380658,51.0,0,1
25968003,25967117,73225,0.327921,-0.0227952,0.400802,51.5,0,1
26969032,26968162,73225,0.315809,-0.0287117,0.397025,51.0,0,1
27972238,27971373,73225,0.313386,-0.0582945,0.399543,51.0,0,1
28965953,28965069,73225,0.327921,-0.00504551,0.389471,51.5,0,1
29968549,29967682,73225,0.314598,-0.00149557,0.393248,51.0,0,1
30970594,30969728,73225,0.321865,-0.0204286,0.39073,51.25,0,1
31973235,31972368,73225,0.32671,-0.0204286,0.394507,50.75,0,1
32967842,32966974,73225,0.313386,-0.0180619,0.402061,51.0,0,1
33969159,33968282,73225,0.290374,0.00678761,0.418427,51.0,0,1
34972091,34971225,73225,0.300063,0.0138875,0.410873,51.0,0,1
35966692,35965825,73225,0.300063,0.0269039,0.405838,51.0,0,1
36968400,36967532,73225,0.304908,0.0103375,0.408355,51.0,0,1
37970681,37969816,73225,0.327921,0.0056043,0.386953,51.25,0,1
38964415,38963548,73225,0.308542,0.00678761,0.40332,51.25,0,1
39967215,39966345,73225,0.309753,0.00323767,0.402061,51.25,0,1
40969232,40968365,73225,0.315809,-0.00622882,0.398284,51.25,0,1
41971608,41970736,73225,0.321865,-0.0109621,0.393248,51.0,0,1
42966788,42965922,73225,0.320654,-0.0263451,0.39073,51.25,0,1
43969429,43968559,73225,0.320654,-0.00741213,0.395766,51.25,0,1
44971432,44970565,73225,0.307331,-0.00977875,0.407096,51.25,0,1
45966258,45965392,73225,0.320654,-0.00504551,0.39073,51.25,0,1
46968672,46967808,73225,0.32671,-0.0168786,0.402061,51.25,0,1
47971238,47970361,73225,0.335188,-0.00267889,0.383176,51.0,0,1
48965467,48963943,73225,0.331554,-0.0156953,0.388212,51.5,0,1
49967108,49966239,73225,0.333977,0.00323767,0.381917,51.25,0,1
50968828,50967944,73225,0.307331,0.00442098,0.409614,51.25,0,1
51971755,51970884,73225,0.321865,-0.00149557,0.394507,51.25,0,1
52965935,52965067,73225,0.330343,0.00678761,0.388212,51.25,0,1
53968910,53968038,73225,0.320654,0.00797092,0.398284,51.25,0,1
54971365,54970498,73225,0.313386,-0.00622882,0.398284,51.75,0,1
55967287,55965912,73225,0.315809,0.0209873,0.398284,51.25,0,1
56968588,56967722,73225,0.314598,-0.00267889,0.397025,51.25,0,1
57969869,57969002,73225,0.330343,-0.0180619,0.391989,51.5,0,1
58972257,58971389,73225,0.318231,-0.0227952,0.393248,51.25,0,1
59966295,59965413,73225,0.309753,-0.0440948,0.399543,51.25,0,1
60969098,60968221,73225,0.297641,-0.0393615,0.407096,51.5,0,1
61970785,61969916,73225,0.314598,-0.00859544,0.389471,51.25,0,1
62972942,62972072,73225,0.315809,-0.0298951,0.389471,51.75,0,1
63967828,63966963,73225,0.325498,-0.0476447,0.381917,51.25,0,1
64969507,64968641,73225,0.338822,-0.0440948,0.380658,51.25,0,1
65964589,65963721,73225,0.318231,-0.00977875,0.397025,51.25,0,1
66967128,66966263,73225,0.332766,-0.00504551,0.388212,51.25,0,1
67969289,67968415,73225,0.332766,-0.00267889,0.391989,51.25,0,1
68970527,68969462,73225,0.315809,0.0174374,0.402061,51.25,0,1
69972415,69971548,73225,0.325498,0.00323767,0.393248,51.5,0,1
70967214,70966348,73225,0.318231,0.0103375,0.395766,51.75,0,1
71968455,71967585,73225,0.313386,-0.00504551,0.40332,51.75,0,1
72970611,72969745,73225,0.319442,0.00442098,0.404579,51.5,0,1
73972672,73971795,73225,0.318231,0.0138875,0.407096,51.5,0,1
74966591,74965727,73225,0.319442,0.023354,0.40332,51.75,0,1
75967715,75966848,73225,0.314598,0.0375537,0.407096,51.25,0,1
76969805,76968941,73225,0.314598,0.0150708,0.402061,51.25,0,1
77964007,77963138,73225,0.321865,0.0292705,0.395766,51.25,0,1
78966078,78965204,73225,0.318231,0.019804,0.399543,51.5,0,1
79968065,79967199,73225,0.304908,0.0257206,0.400802,51.5,0,1
80970666,80969800,73225,0.314598,0.0340038,0.399543,51.5,0,1
81965250,81964373,73225,0.314598,0.0280872,0.399543,51.5,0,1
82966486,82965619,73225,0.298852,0.042287,0.410873,51.5,0,1
83969409,83968543,73225,0.29643,0.0328205,0.413391,51.25,0,1
84962687,84961822,73225,0.300063,0.0340038,0.405838,51.0,0,1
85964101,85963233,73225,0.280684,0.073053,0.418427,51.75,0,1
86967325,86966460,73225,0.187422,0.220967,0.408355,51.25,0,1
87969762,87968886,73225,0.0650916,0.288416,0.397025,51.5,0,1
88964296,88963418,73225,-0.0100024,0.265933,0.422204,50.75,0,1
89966336,89965464,73225,-0.221961,0.220967,0.400802,51.5,0,1
90969296,90968429,73225,-0.333391,0.109736,0.386953,51.25,0,1
91970606,91969730,73225,-0.316435,0.0600366,0.410873,51.25,0,1
92964991,92964123,73225,-0.340658,0.0138875,0.400802,51.25,0,1
93968059,93967191,73225,-0.355193,-0.0121454,0.395766,51.75,0,1
94970291,94969425,73225,-0.355193,0.000871049,0.397025,51.5,0,1
95965141,95964271,73225,-0.346714,0.0245373,0.39073,51.5,0,1
96967480,96966616,73225,-0.329758,0.0860695,0.400802,51.0,0,1
97968836,97967972,73225,-0.320068,0.122752,0.388212,51.5,0,1
98970285,98969410,73225,-0.243763,0.2186,0.393248,51.5,0,1
99963657,99962790,73225,-0.229229,0.22215,0.39073,51.5,0,1
100966742,100965877,73225,-0.184414,0.25765,0.393248,51.5,0,1
101968969,101968095,73225,-0.137178,0.287232,0.385694,51.5,0,1
102963786,102962916,73225,-0.0463382,0.312082,0.39073,51.5,0,1
103966435,103965570,73225,0.0408678,0.338115,0.373105,51.25,0,1
104968291,104967424,73225,0.0408678,0.304982,0.389471,51.5,0,1
105962888,105962014,73225,0.168043,0.263566,0.394507,51.25,0,1
106964406,106963540,73225,0.189845,0.23635,0.397025,51.5,0,1
107967473,107966606,73225,0.261305,0.174818,0.398284,51.5,0,1
108969806,108968942,73225,0.26615,0.149968,0.409614,51.0,0,1
109964062,109963182,73225,0.304908,0.0801529,0.402061,51.0,0,1
110966862,110965994,73225,0.298852,0.0351871,0.413391,51.25,0,1
111969062,111968194,73225,0.324287,-0.0358116,0.399543,51.25,0,1
112963609,112962742,73225,0.304908,-0.0689443,0.404579,51.0,0,1
113965926,113965062,73225,0.275839,-0.0251618,0.432276,51.5,0,1
114968530,114967646,73225,0.277051,0.127485,0.400802,51.5,0,1
115970848,115969980,73225,0.181366,0.252916,0.395766,51.25,0,1
116965961,116965088,73225,0.0917379,0.273033,0.405838,51.25,0,1
117968351,117967483,73225,-0.0378599,0.284866,0.404579,51.5,0,1
118971067,118970201,73225,-0.212272,0.223334,0.399543,51.25,0,1
119965316,119964448,73225,-0.278888,0.180734,0.389471,51.25,0,1
120967538,120966648,73225,-0.350348,0.0505701,0.39073,51.25,0,1
121971612,121970737,73225,-0.369727,-0.0642111,0.381917,51.0,0,1
122966172,122965306,73225,-0.351559,-0.0275284,0.39073,51.0,0,1
123968729,123967862,73225,-0.360038,-0.0298951,0.383176,50.75,0,1
124970708,124969838,73225,-0.360038,-0.052378,0.388212,51.25,0,1
125966074,125964697,73225,-0.35277,-0.067761,0.383176,50.75,0,1
126967716,126966852,73225,-0.340658,-0.0724943,0.395766,51.25,0,1
127969339,127968471,73225,-0.355193,-0.0298951,0.394507,51.0,0,1
128964775,128963909,73225,-0.353982,-0.0168786,0.395766,51.0,0,1
129966773,129965905,73225,-0.353982,-0.0476447,0.39073,51.0,0,1
130969223,130968333,73225,-0.330969,-0.00859544,0.405838,51.25,0,1
131971722,131970849,73225,-0.343081,-0.0452781,0.405838,51.0,0,1
132966586,132965212,73225,-0.349137,-0.0322617,0.391989,50.75,0,1
133969134,133968260,73225,-0.357615,-0.0606612,0.389471,50.75,0,1
134963495,134962625,73225,-0.330969,-0.0275284,0.40332,51.0,0,1
135965670,135964794,73225,-0.35277,-0.0381782,0.395766,51.0,0,1
136968038,136967174,73225,-0.350348,-0.0322617,0.391989,51.0,0,1
137969625,137968719,73225,-0.349137,-0.0322617,0.39073,51.0,0,1
138971872,138970996,73225,-0.329758,-0.0642111,0.413391,51.0,0,1
139965719,139964333,73225,-0.343081,-0.0547446,0.394507,51.0,0,1
140968602,140967737,73225,-0.349137,-0.071311,0.389471,51.25,0,1
141970691,141969825,73225,-0.346714,-0.0760442,0.388212,51.25,0,1
142972721,142971852,73225,-0.356404,-0.0594778,0.380658,51.25,0,1
143967198,143966334,73225,-0.347926,-0.048828,0.39073,50.75,0,1
144968923,144968050,73225,-0.346714,-0.0772275,0.384435,51.25,0,1
145970202,145969332,73225,-0.34187,-0.125743,0.380658,51.25,0,1
146965475,146964099,73225,-0.314012,-0.187275,0.380658,51.0,0,1
147967457,147966582,73225,-0.217117,-0.257091,0.397025,50.75,0,1
148969795,148968927,73225,-0.152923,-0.300873,0.383176,51.0,0,1
149965611,149964737,73225,0.0117991,-0.332823,0.375623,50.75,0,1
150968739,150967868,73225,0.14503,-0.254724,0.399543,51.25,0,1
151964201,151963333,73225,0.277051,-0.12811,0.398284,50.75,0,1
152966243,152965352,73225,0.300063,-0.0724943,0.400802,50.75,0,1
153968317,153966947,73225,0.323076,-0.0878773,0.384435,50.75,0,1
154970097,154969229,73225,0.284318,-0.0665777,0.410873,51.25,0,1
155964859,155963931,73225,0.263727,-0.12101,0.418427,51.0,0,1
156967998,156967130,73225,0.22618,-0.174259,0.415909,51.0,0,1
157969974,157969080,73225,0.224969,-0.177809,0.415909,51.0,0,1
158966118,158965249,73225,0.197112,-0.212125,0.417168,51.0,0,1
159967995,159967131,73225,0.138974,-0.248808,0.415909,50.5,0,1
160970942,160969559,73225,0.07357,-0.27839,0.417168,51.0,0,1
161965797,161964920,73225,0.0117991,-0.31034,0.408355,51.0,0,1
162966874,162966009,73225,-0.0487606,-0.30679,0.412132,50.5,0,1
163968997,163968133,73225,-0.0826741,-0.294957,0.412132,50.75,0,1
164970243,164969370,73225,-0.167458,-0.276024,0.404579,50.5,0,1
165964606,165963739,73225,-0.218328,-0.253541,0.399543,50.5,0,1
166967360,166966489,73225,-0.223173,-0.264191,0.39073,51.0,0,1
167970393,167969020,73225,-0.255875,-0.216858,0.40332,50.75,0,1
168963376,168962510,73225,-0.288577,-0.174259,0.402061,51.0,0,1
169964966,169964095,73225,-0.337025,-0.14231,0.389471,50.75,0,1
170968407,170967537,73225,-0.345503,-0.0843274,0.395766,50.5,0,1
171971517,171970653,73225,-0.353982,-0.0440948,0.383176,51.0,0,1
172967251,172966382,73225,-0.335814,-0.0500113,0.398284,50.75,0,1
173969508,173968640,73225,-0.358826,-0.0689443,0.379399,50.75,0,1
174971730,174970344,73225,-0.310379,-0.178992,0.384435,50.75,0,1
175966090,175965223,73225,-0.172302,-0.31034,0.373105,50.5,0,1
176969062,176968196,73225,-0.0596614,-0.31744,0.384435,50.5,0,1
177971385,177970520,73225,0.0917379,-0.31389,0.380658,51.0,0,1
178974098,178973226,73225,0.232236,-0.14941,0.413391,50.5,0,1
179969759,179968885,73225,0.294007,-0.0156953,0.407096,50.5,0,1
