timestamp,load,ram_usage
18112101,0.46359384,0.41316664
18612021,0.5548302,0.54999495
19112280,0.48529756,0.5401401
19612024,0.482399,0.5401401
20112085,0.47861648,0.5401401
20612093,0.49195224,0.5402742
21112364,0.48649478,0.5402742
21612107,0.49117547,0.5402742
22112088,0.48548323,0.5402742
22612075,0.49257553,0.5402742
23112025,0.4879977,0.5402742
23612344,0.4939469,0.5428552
24112029,0.48495156,0.5428552
24612027,0.48830193,0.5428552
25112176,0.48926812,0.5428552
25612025,0.49268985,0.5428552
26112072,0.49344862,0.5428552
26612023,0.49028307,0.5428552
27112409,0.49134165,0.5428552
27612241,0.49098408,0.5428552
28112021,0.49302,0.5428552
28612117,0.49192357,0.5428552
29112028,0.4917385,0.5428552
29612165,0.4898879,0.5428552
30112109,0.494147,0.5428552
30612021,0.49057835,0.5428552
31112111,0.4907846,0.5428552
31612400,0.49115562,0.5428552
32112084,0.49395984,0.5428552
32612021,0.48919272,0.5428552
33112122,0.49118602,0.5428552
33612391,0.49386114,0.5437938
34112176,0.49277437,0.5437938
34612025,0.4957623,0.5437938
35112582,0.49260825,0.5437938
35612332,0.49453026,0.5437938
36112097,0.49199867,0.5437938
36612023,0.49480557,0.5437938
37112099,0.49234402,0.5437938
37612059,0.49683022,0.5437938
38112024,0.49336255,0.5437938
38612046,0.5108076,0.5437938
39112084,0.51502883,0.5437938
39612746,0.5161946,0.5437938
40112055,0.515938,0.5437938
40612154,0.5169866,0.5437938
41112141,0.51336133,0.5437938
41612435,0.49841696,0.5455703
42112069,0.49812448,0.5455703
42612117,0.5009958,0.5455703
43112103,0.49823976,0.5455703
43612159,0.49857634,0.5455703
44112089,0.49870163,0.5455703
44612025,0.49434394,0.5455703
45112184,0.4984374,0.5455703
45612032,0.49730235,0.5455703
46112139,0.49826318,0.5455703
46612072,0.49972296,0.5455703
47112023,0.49548984,0.5455703
47612044,0.49933302,0.5455703
48112036,0.49575198,0.5455703
48612021,0.49968296,0.5455703
49112025,0.49723202,0.5455703
49612535,0.50055146,0.5455703
50112027,0.4972602,0.5455703
50612061,0.49816298,0.5455703
51112096,0.49297494,0.5455703
51612244,0.49912804,0.5455703
52112100,0.4946798,0.5455703
52612770,0.5005194,0.5455703
53112146,0.4940241,0.5455703
53612023,0.5001631,0.5455703
54112030,0.4949481,0.5455703
54612023,0.501613,0.5455703
55112051,0.49690014,0.5455703
55612075,0.49692112,0.5455703
56112026,0.49810082,0.5455703
56612065,0.49886507,0.5455703
57112024,0.49671972,0.5455703
57612206,0.4997381,0.5455703
58112024,0.4968229,0.5455703
58612022,0.49892002,0.5455703
59112138,0.49938112,0.5455703
59612073,0.49908787,0.5455703
60112208,0.49457437,0.5455703
60612059,0.49932474,0.5455703
61112027,0.496997,0.5455703
61612077,0.49859005,0.5455703
62112024,0.4947477,0.5455703
62612036,0.49824506,0.5455703
63112026,0.49762297,0.5455703
63612309,0.5003788,0.5455703
64112026,0.4951012,0.5455703
64612171,0.5029807,0.5455703
65112100,0.49587613,0.5455703
65612148,0.49931604,0.5455703
66112029,0.49659145,0.5455703
66612057,0.500209,0.5455703
67112312,0.49544632,0.5455703
67612024,0.49933064,0.5455703
68112026,0.496836,0.5455703
68612023,0.49879003,0.5455703
69112072,0.49860507,0.5455703
69612022,0.49732488,0.5455703
70112024,0.49864,0.5455703
70612118,0.4980684,0.5455703
71112024,0.49734348,0.5455703
71612042,0.49853808,0.5455703
72112030,0.49808693,0.5455703
72612023,0.49631494,0.5455703
73112053,0.49554026,0.5455703
73612300,0.4975202,0.5455703
74112236,0.4964903,0.5455703
74612080,0.4973958,0.5455703
75112025,0.49814898,0.5455703
75612050,0.49884105,0.5455703
76112044,0.49725097,0.5455703
76612022,0.49921596,0.5455703
77112021,0.493424,0.5455703
77612199,0.49462783,0.5455703
78112085,0.49671227,0.5455703
78612030,0.49974895,0.5455703
79112125,0.49573314,0.5455703
79612026,0.49918598,0.5455703
80112027,0.498298,0.5455703
80612026,0.500023,0.5455703
81112107,0.49914414,0.5455703
81612397,0.49779624,0.5455703
82112022,0.49825168,0.5455703
82612033,0.50037503,0.5455703
83112027,0.49604595,0.5455703
83612046,0.49987298,0.5455703
84112022,0.4972539,0.5455703
84612526,0.49907464,0.5455703
85112146,0.49769044,0.5455703
85612067,0.49562418,0.5455703
86112023,0.49860096,0.5455703
86612026,0.49804997,0.5455703
87112203,0.499247,0.5455703
87612023,0.49805188,0.5455703
88113201,0.50059557,0.5455703
88612025,0.4956237,0.5455703
89112022,0.501021,0.5455703
89612195,0.4993592,0.5455703
90112216,0.4978463,0.5455703
90612024,0.499824,0.5455703
91112638,0.49874353,0.5455703
91612199,0.49728358,0.5455703
92112147,0.49661982,0.5455703
92612055,0.49821103,0.5455703
93112023,0.497194,0.5455703
93612022,0.501707,0.5455703
94112289,0.4935791,0.5455703
94612021,0.500184,0.5455703
95112167,0.49387008,0.5455703
95612208,0.49992102,0.5455703
96112032,0.4950763,0.5455703
96612121,0.499322,0.5455703
97112086,0.49661714,0.5455703
97613005,0.5009881,0.5455703
98112025,0.49585986,0.5455703
98612118,0.49956208,0.5455703
99112024,0.5114752,0.5455703
99612127,0.52275133,0.5455703
100112021,0.5172315,0.5455703
100612021,0.52301,0.5455703
101112158,0.5194587,0.5455703
101612101,0.5230826,0.5455703
102112227,0.51283014,0.5455703
102612060,0.49805993,0.5455703
103112021,0.5038241,0.5455703
103612025,0.5203219,0.5455703
104112023,0.51860106,0.5455703
104612042,0.52229714,0.5455703
105112104,0.51603746,0.5455703
105614187,0.5153198,0.5455703
106112023,0.5070967,0.5455703
106612097,0.5243641,0.5455703
107112022,0.52001697,0.5455703
107612021,0.522696,0.5455703
108112023,0.51519096,0.5455703
108612022,0.52559996,0.5455703
109112304,0.51620185,0.5455703
109612142,0.5210707,0.5455703
110112071,0.5193281,0.5455703
110612023,0.5214511,0.5455703
111112076,0.5208951,0.5455703
111612339,0.52190536,0.5455703
112112021,0.5164,0.5455703
112612113,0.5254984,0.5455703
113112021,0.516646,0.5455703
113612377,0.52306664,0.5455703
114112024,0.51677287,0.5455703
114612087,0.51983654,0.5455703
115112029,0.5173232,0.5455703
115612065,0.5221342,0.5455703
116112235,0.51691014,0.5455703
116613485,0.522154,0.5455703
117112058,0.5195442,0.5455703
117612023,0.5208299,0.5455703
118112021,0.52227116,0.5455703
118612027,0.52029985,0.5455703
119112024,0.519544,0.5455703
119612773,0.52337205,0.5455703
120112027,0.5190053,0.5455703
120612032,0.5249913,0.5455703
121112044,0.5186322,0.5455703
121614430,0.5231395,0.5455703
122112029,0.5166482,0.5455703
122612021,0.5200131,0.5455703
123112089,0.51528895,0.5455703
123612022,0.52281004,0.5455703
124112074,0.51750696,0.5455703
124612030,0.5208436,0.5455703
125112023,0.51715523,0.5455703
125612024,0.521081,0.5455703
126112028,0.51920503,0.5455703
126612053,0.51942986,0.5455703
127112072,0.51907456,0.5455703
127612177,0.5203494,0.5455703
128112131,0.5199218,0.5455703
128612052,0.51772785,0.5455703
129112021,0.52173424,0.5455703
