timestamp,safety_switch_available,safety_off,override_available,override_enabled
17571878,1,1,0,0
18592370,1,1,0,0
19598147,1,1,0,0
20601079,1,1,0,0
21604194,1,1,0,0
22624713,1,1,0,0
23642593,1,1,0,0
24643302,1,1,0,0
25646349,1,1,0,0
26651976,1,1,0,0
27657593,1,1,0,0
28658057,1,1,0,0
29658681,1,1,0,0
30664379,1,1,0,0
31669920,1,1,0,0
32673136,1,1,0,0
33690967,1,1,0,0
34691495,1,1,0,0
35694914,1,1,0,0
36712822,1,1,0,0
37713226,1,1,0,0
38716329,1,1,0,0
39722662,1,1,0,0
40742501,1,1,0,0
41747952,1,1,0,0
42748589,1,1,0,0
43751685,1,1,0,0
44764864,1,1,0,0
45785273,1,1,0,0
46788178,1,1,0,0
47789129,1,1,0,0
48794458,1,1,0,0
49815024,1,1,0,0
50818202,1,1,0,0
51821131,1,1,0,0
52841774,1,1,0,0
53842203,1,1,0,0
54845397,1,1,0,0
55860852,1,1,0,0
56864115,1,1,0,0
57884496,1,1,0,0
58887636,1,1,0,0
59888243,1,1,0,0
60888833,1,1,0,0
61889472,1,1,0,0
62890049,1,1,0,0
63910590,1,1,0,0
64911117,1,1,0,0
65911719,1,1,0,0
66914817,1,1,0,0
67932803,1,1,0,0
68950815,1,1,0,0
69971511,1,1,0,0
70971947,1,1,0,0
71977470,1,1,0,0
72982992,1,1,0,0
73998597,1,1,0,0
74999275,1,1,0,0
75999824,1,1,0,0
77005475,1,1,0,0
78023419,1,1,0,0
79026667,1,1,0,0
80047021,1,1,0,0
81067588,1,1,0,0
82068236,1,1,0,0
83088577,1,1,0,0
84109181,1,1,0,0
85124690,1,1,0,0
86127697,1,1,0,0
87128363,1,1,0,0
88146347,1,1,0,0
89147128,1,1,0,0
90147718,1,1,0,0
91163101,1,1,0,0
92166205,1,1,0,0
93166897,1,1,0,0
94184870,1,1,0,0
95187871,1,1,0,0
96208448,1,1,0,0
97226314,1,1,0,0
98227021,1,1,0,0
99227640,1,1,0,0
100248232,1,1,0,0
101269304,1,1,0,0
102271760,1,1,0,0
103287368,1,1,0,0
104288246,1,1,0,0
105288712,1,1,0,0
106308313,1,1,0,0
107310940,1,1,0,0
108310948,1,1,0,0
109310984,1,1,0,0
110326325,1,1,0,0
111346892,1,1,0,0
112358362,1,1,0,0
113360730,1,1,0,0
114378805,1,1,0,0
115399044,1,1,0,0
116404486,1,1,0,0
117407625,1,1,0,0
118425148,1,1,0,0
119446138,1,1,0,0
120467853,1,1,0,0
121468882,1,1,0,0
122490501,1,1,0,0
123490750,1,1,0,0
124503885,1,1,0,0
125524461,1,1,0,0
126530107,1,1,0,0
127550454,1,1,0,0
128566646,1,1,0,0
129569074,1,1,0,0
130583045,1,1,0,0
131602689,1,1,0,0
132620623,1,1,0,0
133625333,1,1,0,0
134646816,1,1,0,0
135664887,1,1,0,0
136668130,1,1,0,0
137688876,1,1,0,0
138708762,1,1,0,0
