timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
304435578,304435,1,1,1,0,0,0,0,0
304945312,304435,1,1,1,0,0,0,0,0
305455346,304435,1,1,1,0,0,0,0,0
305959355,304435,1,1,1,0,0,0,0,0
306468312,304435,1,1,1,0,0,0,0,0
306977309,304435,1,1,1,0,0,0,0,0
307480307,304435,1,1,1,0,0,0,0,0
307990310,304435,1,1,1,0,0,0,0,0
308490400,304435,1,1,1,0,0,0,0,0
308990654,304435,1,1,1,0,0,0,0,0
309492348,304435,1,1,1,0,0,0,0,0
309999407,304435,1,1,1,0,0,0,0,0
310508407,304435,1,1,1,0,0,0,0,0
311018318,304435,1,1,1,0,0,0,0,0
311527950,304435,1,1,1,0,0,0,0,0
312030356,304435,1,1,1,0,0,0,0,0
312540362,304435,1,1,1,0,0,0,0,0
313051311,304435,1,1,1,0,0,0,0,0
313559321,304435,1,1,1,0,0,0,0,0
314070305,304435,1,1,1,0,0,0,0,0
314576396,304435,1,1,1,0,0,0,0,0
315085309,304435,1,1,1,0,0,0,0,0
315592309,304435,1,1,1,0,0,0,0,0
316101317,304435,1,1,1,0,0,0,0,0
316609405,304435,1,1,1,0,0,0,0,0
317118308,304435,1,1,1,0,0,0,0,0
317618355,304435,1,1,1,0,0,0,0,0
318124309,304435,1,1,1,0,0,0,0,0
318634381,304435,1,1,1,0,0,0,0,0
319144309,304435,1,1,1,0,0,0,0,0
319646392,304435,1,1,1,0,0,0,0,0
320146518,304435,1,1,1,0,0,0,0,0
320647360,304435,1,1,1,0,0,0,0,0
321148350,304435,1,1,1,0,0,0,0,0
321658307,304435,1,1,1,0,0,0,0,0
322166447,304435,1,1,1,0,0,0,0,0
322676504,304435,1,1,1,0,0,0,0,0
323184351,304435,1,1,1,0,0,0,0,0
323694306,304435,1,1,1,0,0,0,0,0
324194460,304435,1,1,1,0,0,0,0,0
324703310,304435,1,1,1,0,0,0,0,0
325211359,304435,1,1,1,0,0,0,0,0
325719291,304435,1,1,1,0,0,0,0,0
326219590,304435,1,1,1,0,0,0,0,0
326725373,304435,1,1,1,0,0,0,0,0
327235353,304435,1,1,1,0,0,0,0,0
327743308,304435,1,1,1,0,0,0,0,0
328253310,304435,1,1,1,0,0,0,0,0
328761891,304435,1,1,1,0,0,0,0,0
329268309,304435,1,1,1,0,0,0,0,0
329777586,304435,1,1,1,0,0,0,0,0
330287706,304435,1,1,1,0,0,0,0,0
330788309,304435,1,1,1,0,0,0,0,0
331296405,304435,1,1,1,0,0,0,0,0
331807305,304435,1,1,1,0,0,0,0,0
332315343,304435,1,1,1,0,0,0,0,0
332823346,304435,1,1,1,0,0,0,0,0
333331307,304435,1,1,1,0,0,0,0,0
333742373,304435,1,1,1,0,0,0,0,0
333764394,304435,1,1,1,0,0,0,0,0
334273375,304435,1,1,1,0,0,0,0,0
334782306,304435,1,1,1,0,0,0,0,0
335283309,304435,1,1,1,0,0,0,0,0
335791307,304435,1,1,1,0,0,0,0,0
336291349,304435,1,1,1,0,0,0,0,0
336799370,304435,1,1,1,0,0,0,0,0
337309896,304435,1,1,1,0,0,0,0,0
337815308,304435,1,1,1,0,0,0,0,0
338323308,304435,1,1,1,0,0,0,0,0
338830860,304435,1,1,1,0,0,0,0,0
339331864,304435,1,1,1,0,0,0,0,0
339842027,304435,1,1,1,0,0,0,0,0
340347349,304435,1,1,1,0,0,0,0,0
340857308,304435,1,1,1,0,0,0,0,0
341365307,304435,1,1,1,0,0,0,0,0
341865313,304435,1,1,1,0,0,0,0,0
342372314,304435,1,1,1,0,0,0,0,0
342882310,304435,1,1,1,0,0,0,0,0
