timestamp,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2]
304828207,2162698,0.00186824,-0.00141613,-0.0132182,2162698,-0.224524,0.151048,-0.40196,73225,0.0,0.0,0.0
304838215,2162698,0.00186824,-0.00141613,-0.0132183,2162698,-0.224524,0.151048,-0.4,73225,0.0,0.0,0.0
305829107,2162698,0.00187867,-0.00142274,-0.0132319,2162698,-0.224741,0.151492,-0.401879,73225,0.0,0.0,0.0
306830008,2162698,0.00188561,-0.00142109,-0.0132453,2162698,-0.225216,0.151804,-0.401949,73225,0.0,0.0,0.0
307830909,2162698,0.00190635,-0.00141723,-0.0132525,2162698,-0.225822,0.152526,-0.40172,73225,0.0,0.0,0.0
308821803,2162698,0.00192013,-0.00141087,-0.0132661,2162698,-0.226542,0.152687,-0.402043,73225,0.0,0.0,0.0
309832715,2162698,0.00193068,-0.00140732,-0.0132916,2162698,-0.226941,0.152679,-0.401656,73225,0.0,0.0,0.0
310833619,2162698,0.00194024,-0.00141499,-0.0133223,2162698,-0.226806,0.152807,-0.400001,73225,0.0,0.0,0.0
311834529,2162698,0.00195155,-0.00142057,-0.0133565,2162698,-0.226737,0.15295,-0.4,73225,0.0,0.0,0.0
312825415,2162698,0.00197041,-0.00148256,-0.013389,2162698,-0.226326,0.15329,-0.401128,73225,0.0,0.0,0.0
313826329,2162698,0.00190036,-0.00152437,-0.0134116,2162698,-0.226044,0.153238,-0.401539,73225,0.0,0.0,0.0
314827222,2162698,0.00194171,-0.00152443,-0.0134391,2162698,-0.226101,0.153166,-0.402281,73225,0.0,0.0,0.0
315828123,2162698,0.0019197,-0.00155274,-0.0134617,2162698,-0.226259,0.153339,-0.398851,73225,0.0,0.0,0.0
316829026,2162698,0.00188938,-0.00156229,-0.0134814,2162698,-0.226276,0.153618,-0.401306,73225,0.0,0.0,0.0
317829928,2162698,0.00188976,-0.00154135,-0.013495,2162698,-0.226102,0.153848,-0.400129,73225,0.0,0.0,0.0
318830831,2162698,0.00189748,-0.00153329,-0.013513,2162698,-0.226104,0.153883,-0.401646,73225,0.0,0.0,0.0
319831733,2162698,0.00194132,-0.00148401,-0.0135307,2162698,-0.225599,0.153563,-0.402286,73225,0.0,0.0,0.0
320832635,2162698,0.00196236,-0.00149474,-0.0135292,2162698,-0.225801,0.153434,-0.400119,73225,0.0,0.0,0.0
321833538,2162698,0.00198339,-0.00150216,-0.0135273,2162698,-0.225462,0.153733,-0.401669,73225,0.0,0.0,0.0
322824431,2162698,0.0019969,-0.00150401,-0.0135263,2162698,-0.224675,0.154461,-0.399998,73225,0.0,0.0,0.0
