timestamp,main_state
304435581,0
304945314,0
305455348,0
305959358,0
306468314,0
306977311,0
307480309,0
307990312,0
308490402,0
308990656,0
309492351,0
309999410,0
310508410,0
311018320,0
311527952,0
312030359,0
312540364,0
313051314,0
313559324,0
314070308,0
314576399,0
315085312,0
315592312,0
316101319,0
316609408,0
317118311,0
317618357,0
318124312,0
318634384,0
319144312,0
319646394,0
320146521,0
320647363,0
321148352,0
321658310,0
322166453,0
322676507,0
323184353,0
323694309,0
324194463,0
324703313,0
325211361,0
325719294,0
326219593,0
326725375,0
327235355,0
327743310,0
328253312,0
328761893,0
329268312,0
329777589,0
330287708,0
330788312,0
331296408,0
331807308,0
332315346,0
332823349,0
333331310,0
333742376,1
333764396,0
334273377,0
334782308,0
335283311,0
335791310,0
336291351,0
336799373,0
337309898,0
337815311,0
338323310,0
338830863,0
339331866,0
339842030,0
340347351,0
340857311,0
341365309,0
341865315,0
342372316,0
342882312,0
343386764,0
343889737,0
344394362,0
344897965,0
345401315,0
345903312,0
346411353,0
346913353,0
347421310,0
347923422,0
348425348,0
348929825,0
349433445,0
349937439,0
350439387,0
350940311,0
351448313,0
351958320,0
352468310,0
352968450,0
353468540,0
353969514,0
354479409,0
354988310,0
355498307,0
356000615,0
356502366,0
357004312,0
357512354,0
358014753,0
358520307,0
359023336,0
359525316,0
360027313,0
360532012,0
361033464,0
361536396,0
362038314,0
362540310,0
363046884,0
363548311,0
364050327,0
364559313,0
365068778,0
365579319,0
366079640,0
366580394,0
367081409,0
367592310,0
368093715,0
368181727,1
368225350,0
368726397,0
369234312,0
369744313,0
370250728,0
370761382,0
371268312,0
371776882,0
371876627,0
372385315,0
372894317,0
373402362,0
373910363,0
374420308,0
374928311,0
375438310,0
375946393,0
376446402,0
376952312,0
377455306,0
377958314,0
378014020,0
378518354,0
379020312,0
379522310,0
380032308,0
380534310,0
381040308,0
381543406,0
382045360,0
382551720,0
383053311,0
383562434,0
384071582,0
384573455,0
385075353,0
385580356,0
386084836,0
386586399,0
387092308,0
387601310,0
388111557,0
388619663,0
389127380,0
389637966,0
390147310,0
390654405,0
391165307,0
391673416,0
392184309,0
392692356,0
393201318,0
393709998,0
394218365,0
394719309,0
395225622,0
395734370,0
396240312,0
396749440,0
397256396,0
397756449,0
398257307,0
398757441,0
399268309,0
399779587,0
400280311,0
400786775,0
401297310,0
401804403,0
402315311,0
402825368,0
403334310,0
403843311,0
404351404,0
404861318,0
405368428,0
405879307,0
406386441,0
406891463,0
407393613,0
407895309,0
408397358,0
408905315,0
409414354,0
409922316,0
410423309,0
410932309,0
411440420,0
411950332,0
412453311,0
412960319,0
413464369,0
413970312,0
414473321,0
414976400,0
415479125,0
415981313,0
416487311,0
416997334,0
417507456,0
418017310,0
418526410,0
419033310,0
419542631,0
420049355,0
420560361,0
421068341,0
421568833,0
422079313,0
422589809,0
423093356,0
423598016,0
424100309,0
424603311,0
425109382,0
425613316,0
426116612,0
426617307,0
427125311,0
427633391,0
428143367,0
428652366,0
429162346,0
429673312,0
430180374,0
430691310,0
431199729,0
431700357,0
432200712,0
432701312,0
433206726,0
433710311,0
434210352,0
434713311,0
435219311,0
435721397,0
436221893,0
436728309,0
437228749,0
437736438,0
438245310,0
438755410,0
439256441,0
439763321,0
440267355,0
440771567,0
441274316,0
441779317,0
442280386,0
442791458,0
443296395,0
443798631,0
444306365,0
444808353,0
445310312,0
445819312,0
446330779,0
446838547,0
447348312,0
447859058,0
448365352,0
448874362,0
449382413,0
449893320,0
450402315,0
450912340,0
451418313,0
451928344,0
452436428,0
452936810,0
453444412,0
453955310,0
454464410,0
454974517,0
455483314,0
455992311,0
456502410,0
457011311,0
457512311,0
457832450,0
458339309,0
