timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,accel_rate_hz,gyro_rate_hz
38887871,2162698,2162698,0,0,0,0,0,0.00826354,0.000635249,7.0104e-07,400,400
38987939,2162698,2162698,0,0,0,0,0,0.0127593,0.00100821,1.08114e-06,400,400
39888741,2162698,2162698,0,0,0,0,0,0.0413918,0.00498683,8.96552e-06,400,400
40889575,2162698,2162698,0,0,0,0,0,0.0577784,0.00674632,1.08045e-05,400,400
41890444,2162698,2162698,0,0,0,0,0,0.0602029,0.00541641,8.7174e-06,400,400
42891313,2162698,2162698,0,0,0,0,0,0.049868,0.00379786,4.2824e-06,400,400
43897166,2162698,2162698,0,0,0,0,0,0.0453418,0.00312576,2.60261e-06,400,400
44898029,2162698,2162698,0,0,0,0,0,0.0444907,0.00293951,2.15069e-06,400,400
45898908,2162698,2162698,0,0,0,0,0,0.0454613,0.00383728,2.9301e-06,400,400
46899759,2162698,2162698,0,0,0,0,0,0.0393198,0.0044217,3.98848e-06,400,400
47805549,2162698,2162698,0,0,0,0,0,0.0352842,0.00455652,5.6038e-06,400,400
48806418,2162698,2162698,0,0,0,0,0,0.0347427,0.00492798,4.31433e-06,400,400
49807299,2162698,2162698,0,0,0,0,0,0.0284814,0.00458797,4.27632e-06,400,400
50808151,2162698,2162698,0,0,0,0,0,0.0344176,0.00484191,1.2599e-05,400,400
51809018,2162698,2162698,0,0,0,0,0,0.0303827,0.00545943,6.44371e-06,400,400
52809899,2162698,2162698,0,0,0,0,0,0.0373123,0.00575381,6.57868e-06,400,400
53810765,2162698,2162698,0,0,0,0,0,0.04042,0.0041637,5.98194e-06,400,400
54811632,2162698,2162698,0,0,0,0,0,0.0407936,0.003956,5.24097e-06,400,400
55812495,2162698,2162698,0,0,0,0,0,0.0350968,0.00530917,5.0728e-06,400,400
56813375,2162698,2162698,0,0,0,0,0,0.0387463,0.00474324,5.2827e-06,400,400
57814256,2162698,2162698,0,0,0,0,0,0.0326657,0.00422431,3.54866e-06,400,400
58815110,2162698,2162698,0,0,0,0,0,0.0292224,0.00423211,4.39487e-06,400,400
59815987,2162698,2162698,0,0,0,0,0,0.043483,0.00395394,6.17508e-06,400,400
60816860,2162698,2162698,0,0,0,0,0,0.0329037,0.00440632,5.71464e-06,400,400
61817740,2162698,2162698,0,0,0,0,0,0.0357689,0.00469789,5.42926e-06,400,400
62818604,2162698,2162698,0,0,0,0,0,0.0342945,0.00410098,5.05779e-06,400,400
63819477,2162698,2162698,0,0,0,0,0,0.0346412,0.00517769,4.68262e-06,400,400
64820424,2162698,2162698,0,0,0,0,0,0.0357137,0.00396522,3.40011e-06,400,400
65821233,2162698,2162698,0,0,0,0,0,0.049742,0.00409181,6.10141e-06,400,400
66822099,2162698,2162698,0,0,0,0,0,0.0367573,0.00514357,5.19808e-06,400,400
67822996,2162698,2162698,0,0,0,0,0,0.0351969,0.00487626,4.22358e-06,400,400
68823852,2162698,2162698,0,0,0,0,0,0.0422609,0.00403803,5.5702e-06,400,400
69824720,2162698,2162698,0,0,0,0,0,0.0451973,0.00465959,5.9216e-06,400,400
70825652,2162698,2162698,0,0,0,0,0,0.0341384,0.00499614,4.65509e-06,400,400
71826479,2162698,2162698,0,0,0,0,0,0.0271292,0.00531632,4.06341e-06,400,400
72827427,2162698,2162698,0,0,0,0,0,0.0365679,0.00492441,5.55569e-06,400,400
73828302,2162698,2162698,0,0,0,0,0,0.0322373,0.00408507,3.57327e-06,400,400
74829105,2162698,2162698,0,0,0,0,0,0.043059,0.0039867,2.92689e-06,400,400
75829970,2162698,2162698,0,0,0,0,0,0.0333281,0.0048366,4.71962e-06,400,400
76830857,2162698,2162698,0,0,0,0,0,0.0344411,0.0047533,4.63209e-06,400,400
77831722,2162698,2162698,0,0,0,0,0,0.0392578,0.00455831,1.01458e-05,400,400
78832596,2162698,2162698,0,0,0,0,0,0.0373027,0.00425594,5.77838e-06,400,400
79833533,2162698,2162698,0,0,0,0,0,0.0284823,0.00431084,4.84294e-06,400,400
80834377,2162698,2162698,0,0,0,0,0,0.0391425,0.00465011,7.65756e-06,400,400
81835256,2162698,2162698,0,0,0,0,0,0.0416764,0.00353011,8.78359e-06,400,400
82836101,2162698,2162698,0,0,0,0,0,0.0305117,0.00467962,7.40287e-06,400,400
83836986,2162698,2162698,0,0,0,0,0,0.0286822,0.00563716,5.09773e-06,400,400
84837866,2162698,2162698,0,0,0,0,0,0.0423568,0.00323931,4.28826e-06,400,400
85838729,2162698,2162698,0,0,0,0,0,0.0368966,0.00390843,1.1038e-05,400,400
86839601,2162698,2162698,0,0,0,0,0,0.0282222,0.00552458,8.16163e-06,400,400
87840479,2162698,2162698,0,0,0,0,0,0.0346463,0.00524859,1.4717e-05,400,400
88841416,2162698,2162698,0,0,0,0,0,0.0338188,0.00528796,7.0555e-06,400,400
89842243,2162698,2162698,0,0,0,0,0,0.0399575,0.00280458,2.04755e-06,400,400
90843106,2162698,2162698,0,0,0,0,0,0.0431475,0.00272006,2.01478e-06,400,400
91843988,2162698,2162698,0,0,0,0,0,0.0314232,0.0053856,9.89091e-06,400,400
92844868,2162698,2162698,0,0,0,0,0,0.0307361,0.00465567,7.09738e-06,400,400
93845738,2162698,2162698,0,0,0,0,0,0.03981,0.00403803,4.05146e-06,400,400
94846654,2162698,2162698,0,0,0,0,0,0.035294,0.00505378,5.44796e-06,400,400
95847496,2162698,2162698,0,0,0,0,0,0.0401546,0.00465887,1.00157e-05,400,400
96848381,2162698,2162698,0,0,0,0,0,0.0431895,0.00436846,2.10091e-05,400,400
97849272,2162698,2162698,0,0,0,0,0,0.0329992,0.00575845,1.26424e-05,400,400
98850168,2162698,2162698,0,0,0,0,0,0.0322771,0.00464102,5.25014e-06,400,400
99851007,2162698,2162698,0,0,0,0,0,0.0369791,0.00340305,2.59423e-06,400,400
100851886,2162698,2162698,0,0,0,0,0,0.0337547,0.00275208,2.23468e-06,400,400
101852808,2162698,2162698,0,0,0,0,0,0.03019,0.00371971,4.30692e-06,400,400
102888689,2162698,2162698,0,0,29,0,0,0.103419,0.00696086,4.33303e-05,400,400
103889551,2162698,2162698,0,0,29,0,0,0.0421129,0.00474119,1.08332e-05,400,400
104890436,2162698,2162698,0,0,29,0,0,0.032707,0.00454876,4.75209e-06,400,400
105891325,2162698,2162698,0,0,29,0,0,0.0434603,0.00343066,3.84066e-06,400,400
106892187,2162698,2162698,0,0,29,0,0,0.0309243,0.00302145,3.03851e-06,400,400
107893066,2162698,2162698,0,0,29,0,0,0.0304731,0.00478064,3.81515e-06,400,400
108893964,2162698,2162698,0,0,29,0,0,0.0356433,0.00487503,3.74485e-06,400,400
109894822,2162698,2162698,0,0,29,0,0,0.039831,0.00325872,3.37434e-06,400,400
110895678,2162698,2162698,0,0,29,0,0,0.0368074,0.00478838,4.12511e-06,400,400
111896564,2162698,2162698,0,0,29,0,0,0.0315883,0.0046199,3.67532e-06,400,400
112897433,2162698,2162698,0,0,29,0,0,0.0361501,0.00405417,2.76604e-06,400,400
113898297,2162698,2162698,0,0,29,0,0,0.0367658,0.003989,3.44817e-06,400,400
114899192,2162698,2162698,0,0,29,0,0,0.0435198,0.0041751,6.07885e-06,400,400
