timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
38900244,38899405,0.241499,0.0486847,0.0348828
38902749,38901907,0.169491,-0.0494684,-0.0591046
38925276,38924424,0.333588,0.176358,0.151037
38942787,38941937,-0.261762,-0.139266,-0.091326
38962793,38961955,-0.0272581,-0.0597986,-0.109637
38982811,38981972,0.237988,0.194333,0.147575
39000329,38999487,-0.197278,-0.117621,-0.0609012
39022845,39022006,-0.145779,-0.121944,-0.15473
39042862,39042023,0.055517,0.0748963,0.044421
39062880,39062041,0.0715114,0.0800232,0.127142
39080405,39079556,-0.204245,-0.107898,-0.142636
39102914,39102075,-0.15207,-0.0293434,-0.125126
39122931,39122092,0.0980704,0.0748855,0.0561694
39140446,39139614,0.018491,0.044401,0.0399861
39162966,39162127,0.0449319,0.0319844,0.0573214
39182992,39182144,-0.088611,-0.0711967,-0.0209539
39203001,39202161,-0.0829531,-0.00175643,-0.0312925
39220511,39219676,-0.180524,0.13623,0.0786789
39243036,39242195,0.0547373,0.0662381,0.0923089
39263057,39262214,0.256922,0.0664871,0.110845
39280560,39279728,0.17452,-0.0511787,0.0796943
39303098,39302249,0.345012,-0.156691,0.0736487
39323113,39322271,0.438876,-0.245187,0.0682524
39343121,39342282,0.452367,-0.274636,0.0278038
39360639,39359797,0.523079,-0.414495,-0.0162919
39383156,39382316,0.125103,-0.297001,0.0389232
39403174,39402334,0.0197283,-0.231855,0.0284866
39420688,39419848,0.0563519,-0.134872,-0.0330357
39443207,39442368,-0.0725521,-0.208484,-0.023526
39463234,39462385,-0.00311839,-0.278703,-0.0250878
39483245,39482402,0.302532,-0.354656,-0.0644472
39500749,39499917,0.332791,-0.327122,-0.0973973
39523289,39522438,0.285443,-0.235686,-0.0363548
39543308,39542463,0.00640877,-0.145159,0.0319131
39560803,39559968,0.00506585,-0.204125,0.000941337
39583358,39582488,-0.0918366,0.0460398,0.0843
39603346,39602505,-0.0195116,0.0351547,0.0659537
39623361,39622522,0.114573,0.0296068,0.0327425
39640869,39640037,0.0987077,-0.0745488,0.0260789
39663406,39662568,0.0189795,0.20061,0.0201944
39683413,39682574,-0.207798,0.335692,0.0310052
39700932,39700089,-0.0850443,0.186167,0.0584099
39720938,39720106,-0.290707,0.204313,0.107126
39743464,39742625,-0.370993,0.233086,0.129598
39763485,39762643,-0.0371756,0.140011,0.04325
39780990,39780158,0.0140303,0.00784366,0.0372961
39803516,39802677,-0.0210057,0.15003,-0.075989
39823533,39822694,-0.240631,0.187997,-0.0853716
39841054,39840209,-0.284365,0.307492,-0.0230413
39861068,39860226,-0.415064,0.28981,0.0188347
39883600,39882746,-0.122151,0.0420555,0.00782251
39903613,39902763,0.18813,-0.0192641,-0.0271057
39921114,39920282,0.191377,0.0740574,0.00811717
39943647,39942797,0.042098,0.0195535,-0.0737839
39963663,39962815,-0.154198,0.0511772,-0.0845559
