timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2]
37320259,37320209,4259850,1.6663644,-0.5554548,-9.998186,33.0,0,0,0,0
37321250,37321201,4259850,1.4173675,-0.21068975,-10.01734,33.0,0,0,0,0
38320467,38320420,4259850,0.2681506,-0.019153614,-10.362105,33.0,0,0,0,0
39322525,39322476,4259850,1.0534488,-0.93852705,-12.0093155,33.0,0,0,0,0
40322372,40322325,4259850,1.5131354,-0.9768343,-11.990162,33.0,0,0,0,0
41323584,41323538,4259850,-0.78529817,-2.3558946,-10.611102,33.0,0,0,0,0
42320967,42320920,4259850,-0.5363012,-0.36391866,-9.136273,33.0,0,0,0,0
43321819,43321775,4259850,3.3518825,0.9768343,-10.860099,33.0,0,0,0,0
44323238,44323185,4259850,0.2681506,2.9113493,-10.0748005,33.0,0,0,0,0
45321142,45321093,4259850,0.24899697,-3.9456444,-11.434708,33.0,0,0,0,0
46321603,46321551,4259850,1.8770541,-4.213795,-8.925584,33.0,0,0,0,0
47322591,47322543,4259850,5.305551,-0.49799395,-9.940725,33.0,0,0,0,0
48323074,48323027,4259850,3.217807,0.9959879,-7.795521,33.0,0,0,0,0
49321556,49321512,4259850,-1.685518,-1.0726024,-8.963891,33.0,0,0,0,0
50322456,50322409,4259850,4.673482,2.7389667,-11.070788,33.0,0,0,0,0
51323438,51323391,4259850,-0.63206923,-1.2066777,-11.951855,33.0,0,0,0,0
52320938,52320887,4259850,-0.40222588,-2.1452048,-11.013328,33.0,0,0,0,0
53321440,53321392,4259850,3.2944214,4.807557,-9.193734,33.0,0,0,0,0
54322426,54322381,4259850,6.033388,4.2521024,-10.113108,33.0,0,0,0,0
55323937,55323888,4259850,1.3982137,-5.133168,-9.844957,33.0,0,0,0,0
56320977,56320932,4259850,3.0071173,1.9536686,-8.00621,33.0,0,0,0,0
57322478,57322430,4259850,3.5817258,-0.5746084,-8.0445175,33.0,0,0,0,0
58322979,58322931,4259850,2.0111294,-0.5363012,-10.572795,33.0,0,0,0,0
59320472,59320424,4259850,4.8841715,5.3438582,-8.504205,33.0,0,0,0,0
60321876,60321819,4259850,2.5091233,-3.1411927,-10.170568,33.0,0,0,0,0
61322175,61322127,4259850,1.9536686,0.9576807,-12.373235,33.5,0,0,0,0
62320598,62320551,4259850,1.9536686,1.4556746,-9.864111,33.0,0,0,0,0
63321472,63321428,4259850,3.5051112,-3.2944214,-10.553641,33.0,0,0,0,0
64322370,64322323,4259850,-2.3750482,-0.24899697,-11.722012,33.0,0,0,0,0
65323252,65323203,4259850,5.267244,3.4476504,-9.251195,33.0,0,0,0,0
66320809,66320760,4259850,3.3518825,0.91937345,-8.963891,33.0,0,0,0,0
67321883,67321833,4259850,-2.6240451,-7.776367,-11.051635,33.0,0,0,0,0
68321832,68321786,4259850,1.283292,2.7964275,-10.362105,33.0,0,0,0,0
69323562,69323516,4259850,-1.8770541,-2.930503,-8.772355,33.0,0,0,0,0
70321330,70321285,4259850,4.367024,2.1260512,-8.350976,33.0,0,0,0,0
71321825,71321776,4259850,-1.7238252,-7.0485296,-8.791509,33.0,0,0,0,0
72323467,72323421,4259850,-0.4213795,-5.4204726,-6.6271505,33.0,0,0,0,0
73320337,73320291,4259850,-0.40222588,-2.27928,-8.236053,33.0,0,0,0,0
74321460,74321413,4259850,1.9153614,6.493075,-12.258312,33.0,0,0,0,0
75322730,75322682,4259850,4.0222588,5.2480903,-7.1826053,33.0,0,0,0,0
76323607,76323549,4259850,1.685518,-0.34476504,-11.932701,33.0,0,0,0,0
77321137,77321090,4259850,3.0454245,3.715801,-10.726024,33.0,0,0,0,0
78321656,78321608,4259850,-1.7812861,-2.719813,-8.90643,33.0,0,0,0,0
79322549,79322503,4259850,2.2026656,0.90021986,-11.798626,33.5,0,0,0,0
80320499,80320453,4259850,2.7389667,5.2289367,-9.097966,33.0,0,0,0,0
81321927,81321881,4259850,0.4213795,1.934515,-10.898406,33.0,0,0,0,0
82322454,82322407,4259850,2.6048915,0.47884035,-8.485051,33.0,0,0,0,0
83323244,83323187,4259850,1.6663644,-0.82360536,-9.5385,33.0,0,0,0,0
84320648,84320600,4259850,3.3518825,6.033388,-11.128249,33.0,0,0,0,0
85322261,85322213,4259850,1.9536686,-2.5474305,-8.734048,33.0,0,0,0,0
