timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
37326693,0.78472394,0.017767169,-0.026097585,-0.6190409,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
37331658,0.78473485,0.01773833,-0.026075335,-0.61902887,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
37376403,0.7836807,0.017610447,-0.026305132,-0.6203569,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
37426032,0.7839306,0.017805254,-0.026039323,-0.6200466,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
37475748,0.7841628,0.01805131,-0.02583339,-0.6197544,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
37525372,0.78351974,0.017798569,-0.026375853,-0.62055176,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
37575165,0.7840746,0.018305838,-0.025687521,-0.6198647,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
37624714,0.78370005,0.018355045,-0.026028952,-0.6203224,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
37679350,0.78392226,0.018434286,-0.025774732,-0.62004995,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
37729021,0.78370255,0.018346617,-0.025961062,-0.62032235,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
37773723,0.7836864,0.018305317,-0.025753098,-0.62035275,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
37828464,0.7837023,0.018592613,-0.025717393,-0.6203255,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
37878045,0.78369236,0.018484952,-0.025474014,-0.62035125,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
37927700,0.7838786,0.018250156,-0.025199719,-0.620134,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
37977371,0.78388005,0.01807824,-0.025116945,-0.6201408,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
38027041,0.783975,0.018126542,-0.0252127,-0.6200152,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
38076720,0.7839852,0.018240957,-0.02550608,-0.61998713,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
38126565,0.7839317,0.01835147,-0.025625518,-0.6200467,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
38176051,0.7838974,0.018332487,-0.025415225,-0.62009925,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
38225725,0.78376937,0.018249722,-0.025116729,-0.6202756,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
38275392,0.78374845,0.018109798,-0.024706144,-0.62032247,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
38325065,0.7838261,0.018211389,-0.024481867,-0.6202303,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
38379805,0.78381664,0.017800836,-0.0244194,-0.6202567,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
38424404,0.7840728,0.018905843,-0.024765894,-0.6198864,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
38474073,0.7841378,0.019150412,-0.025120445,-0.6197824,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
38528710,0.7840866,0.018708192,-0.02459162,-0.61988187,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
38578380,0.78414154,0.018904064,-0.024875354,-0.6197951,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
38628066,0.7841764,0.019006357,-0.024908328,-0.61974657,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
38672764,0.78412986,0.01869634,-0.024873262,-0.6198162,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
38727391,0.78414416,0.018935898,-0.02481252,-0.6197933,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
38777061,0.7841881,0.018683653,-0.02461051,-0.6197535,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
38826744,0.7841119,0.018613214,-0.024471087,-0.61985743,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
38876401,0.78406507,0.018742975,-0.024393292,-0.6199159,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
38926226,0.7840822,0.018826155,-0.024305321,-0.61989534,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
38975742,0.78404415,0.018928505,-0.024366228,-0.61993784,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
39025412,0.78415376,0.019044178,-0.02420749,-0.6198018,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
39075082,0.78412676,0.01897892,-0.024077721,-0.61984307,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
39124754,0.7841901,0.018798536,-0.023879763,-0.619776,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
39174489,0.78433555,0.018517954,-0.023737144,-0.61960584,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
39229063,0.7842204,0.018573936,-0.023778597,-0.61974835,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
39278727,0.7843274,0.01865184,-0.02359765,-0.6196176,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
39328400,0.78443104,0.018788913,-0.0236259,-0.619481,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
39373104,0.78461134,0.018894786,-0.024317631,-0.6192228,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
39427741,0.7846219,0.019127883,-0.024192926,-0.61920696,0.9976394,-7.4248403e-09,-3.607882e-08,0.068670236,2
