timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
25969531,0.057867803,0.09869434,0.0017725065,0
26168120,0.057867803,0.09869434,0.0017725065,1
26366738,0.057867803,0.09869434,0.0017725065,1
26560441,0.057867803,0.09869434,0.0017725065,1
26768944,0.057867803,0.09869434,0.0017725065,1
26962600,0.057867803,0.09869434,0.0017725065,1
27171150,0.057867803,0.09869434,0.0017725065,1
27360023,0.057867803,0.09869434,0.0017725065,1
366359788,0.057867803,0.09869434,0.0017725065,1
366558410,0.057867803,0.09869434,0.0017725065,1
366761999,0.057867803,0.09869434,0.0017725065,1
366960740,0.057867803,0.09869434,0.0017725065,1
367159247,0.057867803,0.09869434,0.0017725065,1
367357871,0.057867803,0.09869434,0.0017725065,1
367566426,0.057867803,0.09869434,0.0017725065,1
367765202,0.057867803,0.09869434,0.0017725065,1
367968639,0.057867803,0.09869434,0.0017725065,1
368162298,0.057867803,0.09869434,0.0017725065,1
368360920,0.057867803,0.09869434,0.0017725065,1
368559629,0.057867803,0.09869434,0.0017725065,1
368763139,0.057867803,0.09869434,0.0017725065,1
368961757,0.001842941,0.0010994482,0.0012393872,0
369170360,0.0036483558,0.003977876,0.0013760421,0
369369019,0.005418818,0.0059974454,0.0015473105,0
369562595,0.0062326947,0.0067773466,0.0022970303,0
369761225,0.007951835,0.008141444,0.001613449,0
369969773,0.008711419,0.008676001,0.0016414649,0
370168417,0.010381335,0.007905129,0.0021367033,0
