timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
17935402,5.231982,3.2919433,1,0,1,0,1,0,0
17945345,5.21748,3.2919433,1,0,1,0,1,0,0
18435567,5.1884766,3.290332,1,0,1,0,1,0,0
18935334,5.225537,3.2887206,1,0,1,0,1,0,0
19435307,5.1933103,3.290332,1,0,1,0,1,0,0
19945427,5.231982,3.2871094,1,0,1,0,1,0,0
20435343,5.191699,3.285498,1,0,1,0,1,0,0
20935349,5.240039,3.2919433,1,0,1,0,1,0,0
21435330,5.240039,3.2919433,1,0,1,0,1,0,0
21936040,5.2368164,3.2871094,1,0,1,0,1,0,0
22435519,5.2368164,3.2919433,1,0,1,0,1,0,0
22935357,5.240039,3.2919433,1,0,1,0,1,0,0
23435500,5.219092,3.2887206,1,0,1,0,1,0,0
23935424,5.231982,3.290332,1,0,1,0,1,0,0
24435376,5.2335935,3.2919433,1,0,1,0,1,0,0
24935315,5.231982,3.2887206,1,0,1,0,1,0,0
25436179,5.22876,3.2887206,1,0,1,0,1,0,0
25935305,5.2335935,3.2935545,1,0,1,0,1,0,0
26435305,5.22876,3.2887206,1,0,1,0,1,0,0
26935397,5.2271485,3.2887206,1,0,1,0,1,0,0
27435308,5.2239256,3.2919433,1,0,1,0,1,0,0
27935339,5.225537,3.2919433,1,0,1,0,1,0,0
28435313,5.2126465,3.290332,1,0,1,0,1,0,0
28936230,5.219092,3.2919433,1,0,1,0,1,0,0
29435304,5.220703,3.2919433,1,0,1,0,1,0,0
29935334,5.220703,3.2887206,1,0,1,0,1,0,0
30435337,5.2142577,3.285498,1,0,1,0,1,0,0
30935380,5.219092,3.2919433,1,0,1,0,1,0,0
31435343,5.2142577,3.2887206,1,0,1,0,1,0,0
31935378,5.215869,3.2887206,1,0,1,0,1,0,0
32436297,5.2142577,3.2919433,1,0,1,0,1,0,0
32935330,5.219092,3.2919433,1,0,1,0,1,0,0
33435310,5.215869,3.290332,1,0,1,0,1,0,0
33935779,5.2110353,3.2871094,1,0,1,0,1,0,0
34435327,5.2126465,3.2919433,1,0,1,0,1,0,0
34935308,5.2110353,3.2887206,1,0,1,0,1,0,0
35435359,5.2110353,3.2887206,1,0,1,0,1,0,0
35935305,5.2126465,3.2919433,1,0,1,0,1,0,0
36435337,5.219092,3.2919433,1,0,1,0,1,0,0
36935315,5.219092,3.2887206,1,0,1,0,1,0,0
37436078,5.2078123,3.2871094,1,0,1,0,1,0,0
37935365,5.2126465,3.290332,1,0,1,0,1,0,0
38435304,5.2110353,3.2887206,1,0,1,0,1,0,0
38935857,5.2126465,3.2871094,1,0,1,0,1,0,0
39435332,5.2126465,3.2919433,1,0,1,0,1,0,0
39935304,5.2142577,3.2871094,1,0,1,0,1,0,0
40435304,5.2126465,3.2887206,1,0,1,0,1,0,0
40935647,5.2142577,3.2919433,1,0,1,0,1,0,0
41435307,5.2110353,3.2919433,1,0,1,0,1,0,0
41935369,5.2142577,3.2871094,1,0,1,0,1,0,0
42435312,5.2110353,3.2871094,1,0,1,0,1,0,0
42935305,5.2126465,3.2919433,1,0,1,0,1,0,0
