timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
17941835,0.0,0.0,0,10,59186,65536,0,3,122
18943811,80.44629,79.31525,0,10,8501,65536,0,3,122
19945956,108.4668,53.792164,0,10,5841,65536,0,3,122
20948916,136.00977,45.045803,0,10,3904,65536,0,3,122
21949878,159.26367,39.614597,0,10,6075,65536,0,3,122
22950881,184.91504,36.82591,0,10,5841,65536,0,3,122
23952192,210.91992,35.02116,0,10,6108,65536,0,3,122
24953023,236.9375,33.735096,0,10,6080,65536,0,3,122
25953888,264.21582,32.926807,0,10,4789,65536,0,3,122
26955556,289.15234,32.03547,0,10,6130,65536,0,3,122
27955880,320.0,31.915968,0,10,1134,65536,0,3,122
28956886,346.96777,31.46434,0,10,161,65536,0,3,122
29957965,367.38477,30.543074,0,10,6080,65536,0,3,122
30958919,393.3047,30.186014,0,10,6180,65536,0,3,122
31959904,425.15137,30.302258,0,10,211,65536,0,3,122
32960879,448.0,29.804419,0,10,3640,65536,0,3,122
33961893,477.66016,29.793533,0,10,303,65536,0,3,122
34962922,503.90723,29.583527,0,10,353,65536,0,3,122
35963889,530.43164,29.412315,0,10,303,65536,0,3,122
36964989,556.72754,29.246899,0,10,303,65536,0,3,122
37965877,580.0205,28.948446,0,10,3295,65536,0,3,122
38966923,609.4502,28.969881,0,10,320,65536,0,3,122
39967894,635.7461,28.847273,0,10,320,65536,0,3,122
40968931,661.99316,28.733116,0,10,320,65536,0,3,122
41970115,688.46875,28.637796,0,10,370,65536,0,3,122
42971283,714.76465,28.542938,0,10,370,65536,0,3,122
43971876,741.06055,28.456007,0,10,320,65536,0,3,122
44972885,767.53613,28.381714,0,10,370,65536,0,3,122
45974830,793.7832,28.303629,0,10,370,65536,0,3,122
46975054,820.0791,28.234287,0,10,370,65536,0,3,122
47976491,846.5547,28.174406,0,10,420,65536,0,3,122
48976917,872.80176,28.11194,0,10,420,65536,0,3,122
49977989,896.0,27.95768,0,10,3592,65536,0,3,122
50979136,925.6221,28.007072,0,10,420,65536,0,3,122
51980238,951.86914,27.954475,0,10,420,65536,0,3,122
52981026,978.1162,27.905136,0,10,470,65536,0,3,122
53982790,1004.6406,27.865473,0,10,591,65536,0,3,122
54982895,1028.0332,27.74468,0,10,3564,65536,0,3,122
55984084,1057.3301,27.78474,0,10,491,65536,0,3,122
56984983,1083.4951,27.742495,0,10,809,65536,0,3,122
57986014,1109.791,27.705666,0,10,809,65536,0,3,122
58986884,1136.0381,27.669556,0,10,691,65536,0,3,122
59987879,1162.5137,27.640512,0,10,691,65536,0,3,122
60989061,1188.8096,27.608522,0,10,691,65536,0,3,122
61989933,1214.9326,27.574266,0,10,818,65536,0,3,122
62990930,1241.4082,27.549273,0,10,868,65536,0,3,122
63992687,1267.7041,27.521011,0,10,787,65536,0,3,122
64992887,1293.9512,27.493826,0,10,787,65536,0,3,122
65993898,1320.4756,27.47308,0,10,787,65536,0,3,122
66994922,1344.0,27.392027,0,10,3625,65536,0,3,122
67995880,1373.0186,27.423992,0,10,787,65536,0,3,122
68996912,1399.4941,27.404865,0,10,837,65536,0,3,122
69997874,1425.7412,27.382122,0,10,837,65536,0,3,122
70999076,1452.0371,27.361036,0,10,837,65536,0,3,122
71999883,1478.5127,27.34425,0,10,887,65536,0,3,122
73000876,1504.8086,27.32472,0,10,837,65536,0,3,122
74001904,1531.0557,27.305,0,10,957,65536,0,3,122
75003371,1557.5801,27.290623,0,10,957,65536,0,3,122
76003887,1583.8271,27.27241,0,10,957,65536,0,3,122
77004896,1610.0742,27.25459,0,10,1007,65536,0,3,122
78005880,1636.5986,27.24199,0,10,957,65536,0,3,122
79006888,1662.8457,27.22525,0,10,1007,65536,0,3,122
80007882,1689.1416,27.209843,0,10,1007,65536,0,3,122
81008877,1715.6172,27.197773,0,10,1007,65536,0,3,122
82009886,1741.9131,27.18327,0,10,1007,65536,0,3,122
83011397,1765.6357,27.129465,0,10,3642,65536,0,3,122
84011976,1792.0,27.117651,0,10,3756,65536,0,3,122
85012967,1820.9316,27.14429,0,10,1057,65536,0,3,122
86013880,1830.8555,26.890997,0,10,17772,65536,0,3,122
87014885,1873.7031,27.121576,0,10,1057,65536,0,3,122
88015888,1899.9502,27.108711,0,10,1107,65536,0,3,122
89016897,1926.2461,27.096893,0,10,1057,65536,0,3,122
90017883,1952.7217,27.087902,0,10,1107,65536,0,3,122
91019033,1978.9688,27.075974,0,10,1157,65536,0,3,122
92019931,2005.2646,27.065113,0,10,1107,65536,0,3,122
93020916,2031.7402,27.056908,0,10,1157,65536,0,3,122
94021889,2056.6562,27.028427,0,10,2590,65536,0,3,122
95023023,2084.1191,27.033665,0,10,1395,65536,0,3,122
96023897,2110.6436,27.026842,0,10,1395,65536,0,3,122
