timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
26844575,0.7297744,-0.005276289,-0.0126355495,-0.68355083,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
26849539,0.7297545,-0.0052262796,-0.012601189,-0.6835732,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
26894225,0.7298063,-0.0051565263,-0.012617206,-0.6835182,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
26943877,0.7295238,-0.005206079,-0.012658814,-0.6838185,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
26998640,0.7294861,-0.005258216,-0.012561179,-0.68386006,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
27048145,0.72949666,-0.005047116,-0.012728562,-0.68384737,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
27097799,0.7293639,-0.005089801,-0.01275457,-0.68398815,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
27147449,0.72911227,-0.005016924,-0.012789402,-0.68425626,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
27197102,0.72948396,-0.0050866795,-0.01257733,-0.68386346,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
27246798,0.7293722,-0.0050790845,-0.012694079,-0.68398046,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
27296404,0.7292256,-0.0049544894,-0.012803515,-0.6841357,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
27346077,0.72943264,-0.0049936264,-0.012731977,-0.683916,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
27395708,0.7297141,-0.0050006937,-0.012664632,-0.6836169,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
27445359,0.7297443,-0.0048002987,-0.01276846,-0.68358403,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
27499978,0.7298689,-0.004775061,-0.012803464,-0.68345064,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
27549628,0.7299309,-0.0048921807,-0.012733894,-0.68338495,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
27594315,0.73005545,-0.004906873,-0.012745777,-0.68325144,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
27643966,0.73021156,-0.0046773097,-0.012753422,-0.6830861,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
27698583,0.730317,-0.0046501392,-0.012805271,-0.6829726,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
27748239,0.73050904,-0.004715684,-0.012853702,-0.6827658,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
27798048,0.73068094,-0.0048408704,-0.01279774,-0.6825821,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
27847541,0.7307464,-0.0048028543,-0.012721757,-0.6825137,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
27897196,0.7307371,-0.004583322,-0.012678081,-0.68252593,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
27946849,0.73079914,-0.0044893892,-0.012901338,-0.682456,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
27996493,0.730973,-0.0046093226,-0.012936602,-0.68226826,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
28046221,0.7312007,-0.0047873314,-0.01284746,-0.6820247,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
28095799,0.73136204,-0.0047361534,-0.012829924,-0.6818523,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
28145449,0.7314149,-0.0045420774,-0.01283774,-0.6817968,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
28200066,0.7315148,-0.004531786,-0.012827086,-0.68168986,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
28244765,0.73129946,-0.004465738,-0.013077455,-0.6819166,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
28294404,0.7314651,-0.0046290583,-0.013000685,-0.6817393,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
28344206,0.73173434,-0.004701028,-0.0127798375,-0.681454,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
28398673,0.731781,-0.0046331044,-0.01284014,-0.68140316,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
28448324,0.73198456,-0.0046007284,-0.012706309,-0.6811873,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
28497976,0.7320717,-0.004506212,-0.012677468,-0.6810947,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
28547628,0.73213845,-0.004379359,-0.012735216,-0.6810227,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
28597393,0.7322127,-0.004252974,-0.012843927,-0.6809416,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
28646931,0.7323483,-0.00445428,-0.012966583,-0.6807922,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
28696583,0.7320027,-0.004125186,-0.012924411,-0.6811667,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
28746235,0.73241925,-0.004183292,-0.013364222,-0.68070996,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
28795903,0.73265576,-0.0042586834,-0.013429024,-0.68045366,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
28845539,0.73276234,-0.004178156,-0.013761383,-0.68033266,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
28900156,0.7327109,-0.0040556537,-0.012646655,-0.6804105,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
28944842,0.7327392,-0.004182643,-0.012809575,-0.6803761,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
28994506,0.7328806,-0.004616998,-0.012945792,-0.6802185,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
29044145,0.73300207,-0.004451203,-0.013402345,-0.6800798,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
29098762,0.7330022,-0.0042703026,-0.01288818,-0.6800908,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
29148650,0.7332259,-0.004305998,-0.013946523,-0.6798286,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
29198066,0.73312587,-0.003888926,-0.013339009,-0.679951,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
29247729,0.733016,-0.0043537836,-0.013719377,-0.68005913,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
29297369,0.73290014,-0.0041253595,-0.013047191,-0.68019867,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
29347051,0.7330121,-0.0042479555,-0.012918548,-0.6800797,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
29396718,0.7328417,-0.0039143153,-0.013476287,-0.6802546,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
29446368,0.73297495,-0.0037837275,-0.013855167,-0.680104,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
29495976,0.73319125,-0.0041968254,-0.013272008,-0.67988,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
29545628,0.7329096,-0.004030726,-0.0130712725,-0.68018854,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
29600250,0.7332227,-0.003956135,-0.013378895,-0.6798455,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
29644933,0.7335378,-0.004109657,-0.01313663,-0.6795094,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
29694756,0.7331818,-0.00443043,-0.0130636385,-0.67989284,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
29744235,0.7318524,-0.0040708003,-0.01318724,-0.68132347,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
29798852,0.73195696,-0.0042422176,-0.013531232,-0.6812033,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
29848504,0.732262,-0.0040543857,-0.012742145,-0.68089175,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
29893203,0.73180556,-0.0038958243,-0.013461679,-0.6813695,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
29947911,0.7315345,-0.0038176824,-0.014640088,-0.68163663,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
29997459,0.7316038,-0.0042146733,-0.015090426,-0.68155,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
30047110,0.7318505,-0.0035989357,-0.014488878,-0.6813017,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
30096763,0.73149294,-0.0037206055,-0.013584211,-0.68170357,0.99928236,-3.417793e-10,-4.7400445e-10,-0.037880573,3
