timestamp,saturation_status
66705249,1533
66728061,1533
67696227,1533
68691537,1
69697781,1
70701750,1
71707081,1
72687814,1
73691512,1
74695092,1
75693411,1
76698379,1
77699778,1
78700369,1
79698429,1
80701706,1
81707606,1
82688394,1
83689897,1
84687820,1
85688544,1
86692427,1
87687602,1
91701690,1
92696867,1
93693059,1
94698250,1
95699288,1
96699867,1
97695886,1
98699143,1
99702663,1
100705941,1
101686749,1
102693608,1
103693011,1
104689678,1
105695047,1
106691453,1
107694054,1
108695069,1
109691351,1
110689916,1
111692376,1
112686093,1
113689337,1
114690070,1
115691423,1
116694795,1
117687696,1
118688232,1
119691262,1
120693015,1
121691418,1
122696210,1
123694861,1
124687468,1
125690609,1
126687536,1
127691259,1
128689940,1
129687475,1
130691523,1
131691705,1
132693084,1
133695761,1
134701746,1
135707495,1
136688377,1
137704609,1
138699789,1
139701260,1
140706647,1
141707498,1
142707977,1
143689831,1
144689943,1
145688225,1
146689899,1
147694822,1
148693185,1
149696646,1
150697549,1
151695639,1
152696738,1
153693036,1
154691549,1
155694974,1
156700580,1
157696616,1
158701477,1
159697543,1
160701485,1
161700485,1
162697610,1
163696063,1
164696603,1
165699914,1
166700960,1
167701641,1
168703026,1
169693333,1
170691875,1
171693068,1
172693493,1
173699303,1
174699980,1
175705858,1
176686775,1
177707665,1
178691419,1
179696636,1
180697641,1
181690313,1
182690707,1
183694958,1
184699175,1
185701884,1
186705117,1
187701013,1
188705211,1
189687766,1
190694084,1
191694816,1
192700022,1
193694093,1
194696789,1
195697766,1
196703542,1
197686973,1
198707753,1
199691662,1
200703203,1
201700056,1
202702513,1
203701688,1
204703152,1
205698514,1
206701864,1
207703476,1
208706496,1
209684667,1
210685173,1
211688633,1
212686866,1
213685476,1
214686258,1
215686892,1
216699340,1
217695947,1
218695049,1
219692957,1
220693663,1
221697039,1
222697790,1
223696227,1
224699517,1
225705133,1
226706302,1
227690028,1
228690259,1
229697070,1
230694688,1
231698320,1
232688667,1
233692592,1
234695461,1
235696324,1
236696930,1
237690608,1
238686377,1
239687016,1
240690099,1
241704072,1
242706909,1
243698227,1
244696375,1
245699808,1
246680499,1
247706389,1
248704675,1
249685599,1
250691376,1
251690389,1
252690595,1
253688799,1
254690289,1
255685877,1
256686578,1
257687226,1
258690493,1
259691944,1
260694625,1
263689957,1
265688906,1
266687279,1
267690729,1
268693712,1
269690057,1
270693670,1
271706442,1
272685057,1
273685822,1
274692043,1
275687313,1
276693799,1
277692149,1
278687420,1
279690450,1
280687209,1
281687423,1
282690680,1
283686872,1
284705344,1
285704450,1
286702175,1
287695115,1
288700433,1
289702754,1
290685219,1
291703872,1
292681698,1
293687542,1357
294688663,1
