timestamp,saturation_status
271160560,1533
271182815,1533
272163524,1501
273174463,1333
274165307,1
275176046,1
276156721,1
277175256,1
278175987,1
279159231,1
280169867,1
281170553,1
282159376,1
283165891,1
284172946,1
285167406,1
286172232,1
287175293,1
288169850,1
289176829,1
290165418,1
291168401,1
292166958,1
293165261,1
294158752,1
295171519,1
296166056,1
297173137,1
298161940,1
299164695,1
300173219,1
301156390,1
302167034,1
303171604,1
304158572,1
305153124,1
306174539,1
307165318,1
308155441,1
309170226,1
310171038,1
311161789,1
312154948,1
313175657,1
314154158,1
315174966,1
316167964,1
317166759,1
318157594,1
319158057,1
320161014,1
321161858,1
322162661,1
323173374,1
324164150,1
325164935,1
326175710,1
327166489,1
328155012,1
329151881,1
330168820,1
331167351,1
332160365,1
333168924,1
334175604,1
335162679,1
336173477,1
337174243,1
338163050,1
339165849,1
340160269,1
341157352,1
342168131,1
343157092,1
344159700,1
345160505,1
346175038,1
347162008,1
348162735,1
349171294,1
350174314,1
351165055,1
352175886,1
353170575,1
354170716,1
355155986,1
356156972,1
357169694,1
358170481,1
359169040,1
360172112,1
361162759,1
362163628,1
363174356,1
364165163,1
365159737,1
366170328,1
367160771,1
368161868,1
369166708,1
370169689,1
371168278,1
372161261,1
373172047,1
374162793,1
375163597,1
376158159,1
377155171,1
378165879,1
379174444,1
380161127,1
381166021,1
382172687,1
383163008,1
384168299,1
385171465,1
386175776,1
387172867,1
388171721,1
389174414,1
390162999,1
391165985,1
392170451,1
393157505,1
394176079,1
395162716,1
396159839,1
397160623,1469
398161391,1501
399172128,1
