timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
61876391,61876149,-0.08249496,-0.0026543208,0.00092035794,0.0,0.0,0.0,0.0,-1.0
61877601,61877350,-0.08754133,-0.0027218687,0.00051820814,0.0,0.0,0.0,0.0,-1.0
61979424,61979169,-0.07382021,0.0028810503,0.005829952,0.0,0.0,0.0,0.0,-1.0
62077525,62077270,-0.064473115,0.0032045306,0.008822723,0.0,0.0,0.0,0.0,-1.0
62178096,62177844,-0.07831179,-0.023818826,6.339842e-05,0.0,0.0,0.0,0.0,-1.0
62276196,62275943,-0.088533044,0.057764374,0.009050881,0.0,0.0,0.0,0.0,-1.0
62378013,62377761,-0.104210496,-0.08341914,-0.0028940884,0.0,0.0,0.0,0.0,-1.0
62479826,62479582,-0.11341806,-0.10254052,-0.017532378,0.0,0.0,0.0,0.0,-1.0
62578011,62577753,-0.03157112,0.051584497,0.0025743772,0.0,0.0,0.0,0.0,-1.0
62678504,62678258,-0.0010520892,0.09523563,0.012214863,0.0,0.0,0.0,0.0,-1.0
62776602,62776355,-0.06944289,0.09279523,0.0062955283,0.0,0.0,0.0,0.0,-1.0
62878585,62878343,-0.10115863,0.032607824,0.0050537954,0.0,0.0,0.0,0.0,-1.0
62976518,62976270,-0.028762009,-0.08563589,-0.00045149072,0.0,0.0,0.0,0.0,-1.0
63078335,63078092,0.010566868,-0.073541485,-0.00606659,0.0,0.0,0.0,0.0,-1.0
63178918,63178670,-0.039930414,-0.01820418,0.00021530302,0.0,0.0,0.0,0.0,-1.0
63277009,63276766,-0.12584734,0.10639329,0.010021567,0.0,0.0,0.0,0.0,-1.0
63378883,63378638,-0.15534474,0.09277647,0.0040080934,0.0,0.0,0.0,0.0,-1.0
63476934,63476684,-0.06489118,-0.044408984,0.008586151,0.0,0.0,0.0,0.0,-1.0
63578748,63578504,-0.076056235,-0.09963091,0.0014133725,0.0,0.0,0.0,0.0,-1.0
63676974,63676724,-0.10709542,-0.06774831,-0.0067428425,0.02052071,0.0,0.0,0.0,-1.0
63777439,63777180,-0.16546504,-0.046052247,-0.0073817037,0.026556212,0.0,0.0,0.0,-1.0
