timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2]
66918943,66918745,3932170,0.701022,-0.480277,-10.094,29.5532,0,0,0,0
66920185,66919992,3932170,0.735499,-0.317471,-10.1035,29.5532,0,0,0,0
67922973,67922783,3932170,1.4777,1.25456,-8.17811,29.5043,0,0,0,0
68920758,68920566,3932170,4.00885,-4.70509,-8.39072,29.3574,0,0,0,0
69921043,69920852,3932170,1.25456,5.32087,-11.4189,29.4064,0,0,0,0
70922579,70922387,3932170,0.728316,-0.125935,-8.37204,29.3574,0,0,0,0
71920563,71920375,3932170,1.13677,-3.52522,-9.5725,29.5043,0,0,0,0
72920655,72920467,3932170,2.23666,-0.657927,-9.22055,29.5043,0,0,0,0
73922212,73922022,3932170,-2.28024,-6.19572,-7.17351,29.3574,0,0,0,0
74920004,74919815,3932170,-1.79374,-1.15209,-10.0413,29.5532,0,0,0,0
75920278,75920082,3932170,-0.303106,-6.47584,-10.8783,29.6022,0,0,0,0
76921803,76921617,3932170,0.481713,8.05601,-13.2289,29.4064,0,0,0,0
77923346,77923153,3932170,0.739808,-1.69797,-9.9503,29.3574,0,0,0,0
78920169,78919945,3932170,-1.08417,4.09169,-9.24521,29.5043,0,0,0,0
79921424,79921235,3932170,1.35751,4.04524,-8.80683,29.3084,0,0,0,0
80921713,80921524,3932170,1.37188,2.38223,-10.3487,29.5532,0,0,0,0
81919581,81919391,3932170,2.74615,-6.57208,-6.04488,29.5532,0,0,0,0
82919797,82919606,3932170,-3.46297,5.16669,-9.54664,29.4064,0,0,0,0
83922584,83922389,3932170,6.39922,3.22355,-10.2055,29.6022,0,0,0,0
84922864,84922678,3932170,-2.27114,0.474052,-10.7624,29.7001,0,0,0,0
85919602,85919415,3932170,0.9663,0.0761356,-10.9032,29.5043,0,0,0,0
86922201,86922008,3932170,2.04513,-0.0790087,-11.1785,29.5043,0,0,0,0
87922483,87922297,3932170,-2.99946,-3.75028,-7.28795,29.5043,0,0,0,0
88920285,88920097,3932170,-4.13096,-3.21302,-9.68024,29.5532,0,0,0,0
89921813,89921629,3932170,2.36116,1.15161,-11.8144,29.5043,0,0,0,0
90920894,90920709,3932170,1.98096,4.3766,-13.0431,29.5532,0,0,0,0
91922394,91922208,3932170,-2.54743,-1.7741,-6.85843,29.5532,0,0,0,0
92920384,92920184,3932170,-2.50864,-0.92895,-10.8089,29.5532,0,0,0,0
93920481,93920292,3932170,-3.00185,-1.10899,-9.05152,29.5043,0,0,0,0
94922020,94921829,3932170,-2.0164,-3.03489,-9.12382,29.5532,0,0,0,0
95919846,95919657,3932170,2.63889,1.652,-13.8394,29.3084,0,0,0,0
96920102,96919915,3932170,1.31154,-2.19117,-10.0849,29.5043,0,0,0,0
97921643,97921452,3932170,-3.23505,-0.287304,-7.18883,29.4064,0,0,0,0
98923180,98922991,3932170,2.48662,6.47105,-14.4413,29.5043,0,0,0,0
99919902,99919713,3932170,0.677559,-0.767581,-9.77265,29.6022,0,0,0,0
100921263,100921075,3932170,-0.738372,-11.7613,-8.41753,29.5532,0,0,0,0
101921553,101921366,3932170,-2.30993,-3.20727,-8.43621,29.5043,0,0,0,0
102919350,102919162,3932170,1.37571,2.1069,-10.207,29.6022,0,0,0,0
103920885,103920699,3932170,1.33405,7.46799,-11.7067,29.5532,0,0,0,0
104921233,104921037,3932170,-2.21416,0.869574,-11.2116,29.6022,0,0,0,0
105922717,105922529,3932170,3.58556,4.97228,-11.4998,29.5043,0,0,0,0
106920674,106920487,3932170,-3.19626,-9.018,-6.32596,29.5043,0,0,0,0
107920800,107920614,3932170,-1.60316,-3.00616,-6.41742,29.7001,0,0,0,0
108922345,108922152,3932170,-0.821211,-0.171425,-7.55227,29.6022,0,0,0,0
109920145,109919951,3932170,0.071826,-2.5685,-8.05122,29.7001,0,0,0,0
110920425,110920239,3932170,-1.08936,-5.38648,-7.23671,29.5532,0,0,0,0
