timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
66693440,0.0830839,0.0915559,0.00644903,1
66931805,0.0830839,0.0915559,0.00644903,1
67100647,0.0830839,0.0915559,0.00644903,1
67289381,0.0830839,0.0915559,0.00644903,1
67497923,0.0830839,0.0915559,0.00644903,1
67696561,0.0830839,0.0915559,0.00644903,1
67890234,0.0830839,0.0915559,0.00644903,1
388901179,0.0830839,0.0915559,0.00644903,1
389099819,0.0830839,0.0915559,0.00644903,1
389298509,0.0830839,0.0915559,0.00644903,1
389517094,0.0830839,0.0915559,0.00644903,1
389695739,0.0830839,0.0915559,0.00644903,1
389899345,0.0830839,0.0915559,0.00644903,1
390107917,0.0830839,0.0915559,0.00644903,1
390306642,0.0830839,0.0915559,0.00644903,1
390510163,0.0830839,0.0915559,0.00644903,1
390708807,0.0830839,0.0915559,0.00644903,1
390902477,0.0830839,0.0915559,0.00644903,1
391101119,0.0830839,0.0915559,0.00644903,1
391299757,0.0830839,0.0915559,0.00644903,1
391503363,0.0830839,0.0915559,0.00644903,1
391702003,0.0830839,0.0915559,0.00644903,1
