timestamp,load,ram_usage
66522727,0.466529,0.545168
67023065,0.541227,0.545269
67522709,0.494374,0.545269
68022704,0.497305,0.545269
68522775,0.490891,0.545906
69023895,0.490875,0.545906
69522710,0.499438,0.546442
70022704,0.50356,0.546978
70523904,0.498917,0.546978
71022890,0.49907,0.546978
71522705,0.500235,0.546978
72022726,0.499182,0.546978
72522703,0.496532,0.546978
73022703,0.499526,0.546978
73522805,0.51495,0.546978
74022840,0.519693,0.546978
74522804,0.525674,0.546978
75022709,0.517032,0.546978
75522705,0.523111,0.546978
76022728,0.519155,0.546978
76523503,0.524161,0.546978
77022703,0.520911,0.546978
77522704,0.507478,0.546978
78022729,0.49931,0.546978
78525389,0.515576,0.546978
79022727,0.522638,0.546978
79522855,0.521927,0.546978
80023389,0.522772,0.546978
80522788,0.523286,0.546978
81022708,0.521872,0.546978
81523353,0.524126,0.546978
82022865,0.520081,0.546978
82522929,0.512934,0.546978
83022799,0.496986,0.546978
83522704,0.501058,0.546978
84022825,0.502856,0.546978
84523017,0.499977,0.546978
85022745,0.499451,0.546978
85522703,0.500181,0.546978
86022705,0.499871,0.546978
86523921,0.500477,0.546978
87022703,0.502043,0.546978
87522705,0.501635,0.546978
88022903,0.498873,0.546978
88522703,0.500043,0.546978
89022781,0.500092,0.546978
89523355,0.499125,0.546978
90022724,0.497022,0.546978
90522705,0.501155,0.546978
91022746,0.500089,0.546978
91522728,0.499278,0.546978
92022863,0.500519,0.546978
92522720,0.499947,0.546978
93022704,0.499562,0.546978
93522705,0.500269,0.546978
94022735,0.501108,0.546978
94522731,0.499687,0.546978
95022704,0.503246,0.546978
95522739,0.500623,0.546978
96024182,0.499744,0.546978
96522706,0.497743,0.546978
97022705,0.49642,0.546978
97522863,0.490598,0.546978
98022820,0.504096,0.546978
98522727,0.49923,0.546978
99023626,0.501311,0.546978
99522742,0.498499,0.546978
100022893,0.501197,0.546978
100522766,0.498332,0.546978
101022716,0.49997,0.546978
101522743,0.501058,0.546978
102023175,0.499884,0.546978
102522742,0.497787,0.546978
103022736,0.502349,0.546978
103522706,0.498984,0.546978
104022705,0.500511,0.546978
104522703,0.50058,0.546978
105022704,0.501123,0.546978
105524038,0.498537,0.546978
106022706,0.501387,0.546978
106522889,0.498766,0.546978
107022704,0.503753,0.546978
107522793,0.497606,0.546978
108022720,0.500663,0.546978
108523369,0.500201,0.546978
109022705,0.503728,0.546978
109522875,0.495854,0.546978
110023281,0.500861,0.546978
110522703,0.498633,0.546978
111022840,0.501274,0.546978
111522931,0.500162,0.546978
112022707,0.500357,0.546978
112522706,0.501691,0.546978
113022755,0.500041,0.546978
113523201,0.499672,0.546978
114022706,0.502842,0.546978
114522704,0.500398,0.546978
115023495,0.500346,0.546978
115522827,0.49946,0.546978
116022769,0.502415,0.546978
116523712,0.499561,0.546978
117022704,0.501951,0.546978
117522704,0.499127,0.546978
118022738,0.502275,0.546978
118522740,0.49936,0.546978
119022710,0.501438,0.546978
119523247,0.498874,0.546978
120022799,0.500541,0.546978
120522707,0.49974,0.546978
121022823,0.501473,0.546978
121522720,0.497491,0.546978
122022703,0.497699,0.546978
122522846,0.500381,0.546978
123023215,0.499619,0.546978
123522825,0.501482,0.546978
124022704,0.50004,0.546978
124523435,0.500755,0.546978
125022815,0.497562,0.546978
125522788,0.502647,0.546978
126023643,0.499593,0.546978
126522703,0.501849,0.546978
127022907,0.500144,0.546978
127522716,0.498465,0.546978
128022778,0.499644,0.546978
128522704,0.505618,0.546978
129023113,0.500127,0.546978
129522705,0.501311,0.546978
130022790,0.499916,0.546978
130522906,0.501398,0.546978
131022704,0.498379,0.546978
131522704,0.502706,0.546978
132022705,0.498091,0.546978
132523631,0.50027,0.546978
133022707,0.497079,0.546978
133522705,0.501195,0.546978
134023798,0.501209,0.546978
134522719,0.5002,0.546978
135022724,0.500347,0.546978
135523839,0.499271,0.546978
136022807,0.5001,0.546978
136522771,0.501498,0.546978
137022704,0.501013,0.546978
137522737,0.502917,0.546978
138022704,0.498463,0.546978
138522986,0.502259,0.546978
139022744,0.498969,0.546978
139522704,0.501325,0.546978
140022796,0.50275,0.546978
140522707,0.500021,0.546978
141022753,0.501988,0.546978
141522758,0.496999,0.546978
142023400,0.502853,0.546978
142522707,0.498714,0.546978
143022705,0.502885,0.546978
143523244,0.498579,0.546978
144022715,0.501221,0.546978
144522705,0.500403,0.546978
145023516,0.50128,0.546978
145522704,0.499309,0.546978
146022704,0.500518,0.546978
146522705,0.499853,0.546978
147022703,0.500297,0.546978
147522706,0.496248,0.546978
148022928,0.504048,0.546978
148522729,0.49591,0.546978
149022706,0.499494,0.546978
149523053,0.499178,0.546978
150023100,0.503429,0.546978
150522705,0.49777,0.546978
151022708,0.503021,0.546978
151523829,0.500688,0.546978
152022813,0.500036,0.546978
152522704,0.500295,0.546978
153022705,0.501887,0.546978
153522832,0.499454,0.546978
154022873,0.500476,0.546978
154522718,0.501293,0.546978
155022703,0.501247,0.546978
155522704,0.500331,0.546978
156022706,0.50207,0.546978
156522724,0.498344,0.546978
157022704,0.502528,0.546978
157523103,0.499984,0.546978
158022754,0.501469,0.546978
158522727,0.504278,0.546978
159022765,0.502161,0.546978
159523069,0.498316,0.546978
160022739,0.501908,0.546978
160522703,0.498713,0.546978
161023393,0.501042,0.546978
161522842,0.499721,0.546978
162022782,0.501452,0.546978
162522705,0.499728,0.546978
163022704,0.50148,0.546978
163522825,0.500145,0.546978
164022707,0.499567,0.546978
164522770,0.502736,0.546978
165022709,0.499865,0.546978
165522967,0.500428,0.546978
166022760,0.499587,0.546978
166522747,0.500082,0.546978
167022719,0.499587,0.546978
167524375,0.501774,0.546978
168022706,0.501545,0.546978
168522798,0.502424,0.546978
169022989,0.499277,0.546978
169522704,0.500738,0.546978
170022704,0.500161,0.546978
170523314,0.500138,0.546978
171022705,0.496688,0.546978
171522703,0.502344,0.546978
172023755,0.498986,0.546978
172522703,0.502503,0.546978
173022705,0.502065,0.546978
173522720,0.501843,0.546978
174022705,0.497748,0.546978
174522783,0.501115,0.546978
175022779,0.502525,0.546978
175522710,0.501244,0.546978
176022704,0.500218,0.546978
176522741,0.50298,0.546978
177023061,0.49892,0.546978
177522704,0.499741,0.546978
178022765,0.500104,0.546978
178524060,0.501558,0.546978
179022760,0.501938,0.546978
179522924,0.50255,0.546978
180022736,0.501205,0.546978
180522705,0.507911,0.546978
181022854,0.525469,0.546978
181522943,0.524761,0.546978
182022705,0.522647,0.546978
182522814,0.52542,0.546978
183022733,0.520465,0.546978
183522882,0.520022,0.546978
184022703,0.520939,0.546978
184522807,0.515817,0.546978
185022707,0.495297,0.546978
185522744,0.501475,0.546978
186022736,0.499817,0.546978
186523080,0.500343,0.546978
187022728,0.500942,0.546978
187522703,0.49864,0.546978
188023858,0.50086,0.546978
188522795,0.499394,0.546978
189022703,0.503347,0.546978
189522792,0.500909,0.546978
190022704,0.504379,0.546978
190522816,0.497703,0.546978
191022840,0.502504,0.546978
191522705,0.497443,0.546978
192022744,0.501801,0.546978
192522876,0.499267,0.546978
193022724,0.502924,0.546978
193522785,0.499271,0.546978
194022707,0.501381,0.546978
194522705,0.496976,0.546978
195022704,0.500718,0.546978
195522703,0.499562,0.546978
196024045,0.500778,0.546978
196522755,0.500591,0.546978
197022776,0.502607,0.546978
197523670,0.501228,0.546978
198022746,0.501488,0.546978
198522704,0.497425,0.546978
199022704,0.501972,0.546978
199522747,0.499456,0.546978
200023035,0.50282,0.546978
200523296,0.500598,0.546978
201022703,0.499158,0.546978
201522719,0.499793,0.546978
202023188,0.500108,0.546978
202522741,0.496454,0.546978
203022706,0.504708,0.546978
203522710,0.498994,0.546978
204024148,0.499638,0.546978
204522736,0.498373,0.546978
205022742,0.500042,0.546978
205522782,0.496235,0.546978
206022979,0.500369,0.546978
206522714,0.501703,0.546978
207023731,0.501354,0.546978
207522740,0.499634,0.546978
208022704,0.502248,0.546978
208522705,0.500928,0.546978
209022761,0.499532,0.546978
209522705,0.501641,0.546978
210023289,0.498908,0.546978
210522704,0.500977,0.546978
211022704,0.50135,0.546978
211522752,0.5027,0.546978
212022714,0.498714,0.546978
212522715,0.502459,0.546978
213022892,0.498873,0.546978
213523666,0.500461,0.546978
214022837,0.499759,0.546978
214522705,0.504683,0.546978
215023992,0.499629,0.546978
215522794,0.501967,0.546978
216022703,0.499236,0.546978
216523437,0.501692,0.546978
217022755,0.501603,0.546978
217522750,0.501369,0.546978
218023376,0.501597,0.546978
218522704,0.498461,0.546978
219022704,0.50099,0.546978
219522881,0.499007,0.546978
220022705,0.499754,0.546978
220522705,0.501329,0.546978
221022913,0.50106,0.546978
221522732,0.500999,0.546978
222022980,0.500567,0.546978
222522718,0.50244,0.546978
223023095,0.500586,0.546978
223522705,0.500029,0.546978
224022703,0.500376,0.546978
224523558,0.501671,0.546978
225022933,0.496924,0.546978
225522722,0.503056,0.546978
226022705,0.50266,0.546978
226522934,0.502736,0.546978
227022780,0.512532,0.546978
227522832,0.526494,0.546978
228022703,0.520791,0.546978
228522767,0.522002,0.546978
229023645,0.523125,0.546978
229522705,0.518666,0.546978
230022707,0.519992,0.546978
230523230,0.522433,0.546978
231023787,0.513846,0.546978
231522704,0.497354,0.546978
232022710,0.502972,0.546978
232522745,0.496381,0.546978
233022704,0.501521,0.546978
233522712,0.500429,0.546978
234023293,0.501244,0.546978
234522883,0.49823,0.546978
235022722,0.501512,0.546978
235523106,0.499249,0.546978
236022704,0.500248,0.546978
236522721,0.499386,0.546978
237023170,0.501386,0.546978
237522780,0.49506,0.546978
238022706,0.503858,0.546978
238522705,0.491189,0.546978
239022742,0.499879,0.546978
239522703,0.498979,0.546978
240022731,0.502708,0.546978
240523729,0.498571,0.546978
241022706,0.498217,0.546978
241522784,0.498473,0.546978
242022986,0.499994,0.546978
242522896,0.502317,0.546978
243022704,0.500873,0.546978
243523149,0.498744,0.546978
244022770,0.501664,0.546978
244522881,0.497829,0.546978
245022947,0.500174,0.546978
245522726,0.499347,0.546978
246022845,0.50211,0.546978
246522706,0.496465,0.546978
247022706,0.500737,0.546978
247522762,0.499153,0.546978
248022712,0.501205,0.546978
248522714,0.496755,0.546978
249022882,0.50257,0.546978
249522708,0.501029,0.546978
250023975,0.500494,0.546978
250522705,0.49814,0.546978
251022719,0.500005,0.546978
251522782,0.500615,0.546978
252022704,0.498398,0.546978
252522735,0.50112,0.546978
253023115,0.500203,0.546978
253522704,0.497459,0.546978
254022858,0.49864,0.546978
254522796,0.500614,0.546978
255022703,0.499668,0.546978
255522779,0.499191,0.546978
256023168,0.49894,0.546978
256522703,0.501136,0.546978
257022704,0.499639,0.546978
257522705,0.502518,0.546978
258023357,0.497279,0.546978
258522705,0.500733,0.546978
259022706,0.501292,0.546978
259523613,0.499427,0.546978
260022704,0.498173,0.546978
260522850,0.50269,0.546978
261022798,0.498638,0.546978
261522746,0.500447,0.546978
262022717,0.499588,0.546978
262522963,0.498853,0.546978
263022704,0.499312,0.546978
263522879,0.49902,0.546978
264022710,0.500206,0.546978
264522705,0.498392,0.546978
265022704,0.498876,0.546978
265522845,0.498475,0.546978
266022733,0.497214,0.546978
266522706,0.499346,0.546978
267022759,0.488419,0.546978
267522960,0.503695,0.546978
268022703,0.496936,0.546978
268522718,0.500986,0.546978
269023567,0.498508,0.546978
269522866,0.499832,0.546978
270022705,0.499485,0.546978
270523742,0.50093,0.546978
271022781,0.498434,0.546978
271522895,0.502995,0.546978
272022704,0.499146,0.546978
272522704,0.498759,0.546978
273022826,0.499129,0.546978
273522706,0.500426,0.546978
274022704,0.50229,0.546978
274522762,0.498356,0.546978
275022770,0.500244,0.546978
275522706,0.495536,0.546978
276022705,0.501897,0.546978
276522755,0.500828,0.546978
277023035,0.501187,0.546978
277522870,0.498536,0.546978
278022719,0.500363,0.546978
278523933,0.498889,0.546978
279022759,0.501668,0.546978
279522730,0.497807,0.546978
280023018,0.502471,0.546978
280522704,0.498688,0.546978
281023008,0.503924,0.546978
281522706,0.498765,0.546978
282022705,0.497642,0.546978
282522704,0.498046,0.546978
283022938,0.496723,0.546978
283522703,0.497145,0.546978
284022704,0.503658,0.546978
284522783,0.496933,0.546978
285022705,0.497677,0.546978
285522881,0.499225,0.546978
286022743,0.501909,0.546978
286523625,0.496584,0.546978
287022707,0.503604,0.546978
287522761,0.497976,0.546978
288022811,0.50143,0.546978
288522767,0.49728,0.546978
289022703,0.500397,0.546978
289523321,0.498027,0.546978
290022824,0.501235,0.546978
290522747,0.499646,0.546978
291022820,0.500979,0.546978
291522704,0.495573,0.546978
292022804,0.503511,0.546978
292522948,0.49897,0.546978
293022705,0.498925,0.546978
293522767,0.497862,0.546978
294022713,0.502127,0.546978
294524356,0.50034,0.546978
295022714,0.49617,0.546978
295522777,0.49026,0.546978
296024028,0.498754,0.546978
296522908,0.498524,0.546978
297022704,0.498856,0.546978
297522704,0.500687,0.546978
298022705,0.498741,0.546978
298522711,0.500385,0.546978
299023464,0.499636,0.546978
299522780,0.498237,0.546978
300022777,0.498723,0.546978
300523227,0.499945,0.546978
301022716,0.50053,0.546978
301522705,0.500904,0.546978
302022838,0.501574,0.546978
302522725,0.497953,0.546978
303022741,0.500959,0.546978
303522798,0.501153,0.546978
304023786,0.499763,0.546978
304523089,0.500673,0.546978
305022706,0.499925,0.546978
305524147,0.500342,0.546978
306022887,0.497825,0.546978
306522703,0.5011,0.546978
307022706,0.499036,0.546978
307522793,0.501378,0.546978
308022910,0.497998,0.546978
308523267,0.500745,0.546978
309022751,0.500071,0.546978
309522704,0.501001,0.546978
310022712,0.498841,0.546978
310522705,0.499421,0.546978
311022704,0.49984,0.546978
311522962,0.500558,0.546978
312022704,0.497087,0.546978
312522706,0.501909,0.546978
313022706,0.498771,0.546978
313524096,0.501105,0.546978
314022745,0.497971,0.546978
314522704,0.501353,0.546978
315023367,0.496709,0.546978
315522721,0.501229,0.546978
316022709,0.498026,0.546978
316523613,0.495471,0.546978
317022704,0.49733,0.546978
317522915,0.501021,0.546978
318022897,0.500967,0.546978
318522705,0.495151,0.546978
319022871,0.504153,0.546978
319523268,0.497999,0.546978
320022787,0.502499,0.546978
320522722,0.498831,0.546978
321022707,0.500041,0.546978
321523765,0.494871,0.546978
322022703,0.503143,0.546978
322522931,0.500778,0.546978
323023733,0.501379,0.546978
323522704,0.491488,0.546978
324022830,0.499812,0.546978
324522747,0.4978,0.546978
325022768,0.499041,0.546978
325522703,0.500464,0.546978
326022704,0.501307,0.546978
326522858,0.496735,0.546978
327022730,0.499936,0.546978
327522767,0.498175,0.546978
328022763,0.496591,0.546978
328522802,0.497814,0.546978
329023074,0.500022,0.546978
329522706,0.494086,0.546978
330022705,0.505066,0.546978
330522704,0.496926,0.546978
331023158,0.511448,0.546978
331522703,0.516993,0.546978
332023162,0.52459,0.546978
332523483,0.517046,0.546978
333022703,0.523005,0.546978
