timestamp,previous.timestamp,previous.lat,previous.lon,previous.x,previous.y,previous.z,previous.vx,previous.vy,previous.vz,previous.alt,previous.yaw,previous.yawspeed,previous.loiter_radius,previous.pitch_min,previous.a_x,previous.a_y,previous.a_z,previous.acceptance_radius,previous.cruising_speed,previous.cruising_throttle,previous.valid,previous.type,previous.position_valid,previous.velocity_valid,previous.velocity_frame,previous.alt_valid,previous.yaw_valid,previous.yawspeed_valid,previous.landing_gear,previous.loiter_direction,previous.acceleration_valid,previous.acceleration_is_force,previous.disable_weather_vane,previous._padding0[0],previous._padding0[1],previous._padding0[2],previous._padding0[3],previous._padding0[4],previous._padding0[5],previous._padding0[6],current.timestamp,current.lat,current.lon,current.x,current.y,current.z,current.vx,current.vy,current.vz,current.alt,current.yaw,current.yawspeed,current.loiter_radius,current.pitch_min,current.a_x,current.a_y,current.a_z,current.acceptance_radius,current.cruising_speed,current.cruising_throttle,current.valid,current.type,current.position_valid,current.velocity_valid,current.velocity_frame,current.alt_valid,current.yaw_valid,current.yawspeed_valid,current.landing_gear,current.loiter_direction,current.acceleration_valid,current.acceleration_is_force,current.disable_weather_vane,current._padding0[0],current._padding0[1],current._padding0[2],current._padding0[3],current._padding0[4],current._padding0[5],current._padding0[6],next.timestamp,next.lat,next.lon,next.x,next.y,next.z,next.vx,next.vy,next.vz,next.alt,next.yaw,next.yawspeed,next.loiter_radius,next.pitch_min,next.a_x,next.a_y,next.a_z,next.acceptance_radius,next.cruising_speed,next.cruising_throttle,next.valid,next.type,next.position_valid,next.velocity_valid,next.velocity_frame,next.alt_valid,next.yaw_valid,next.yawspeed_valid,next.landing_gear,next.loiter_direction,next.acceleration_valid,next.acceleration_is_force,next.disable_weather_vane,next._padding0[0],next._padding0[1],next._padding0[2],next._padding0[3],next._padding0[4],next._padding0[5],next._padding0[6]
69487198,69483197,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69483197,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69487177,34.034362793,108.755142212,0.0,0.0,0.0,0.0,0.0,0.0,432.096,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
69498765,69483197,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69483197,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69498758,34.034362793,108.755142212,0.0,0.0,0.0,0.0,0.0,0.0,432.096,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
69517140,69483197,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69507954,34.0343636209,108.75508743,0.0,0.0,0.0,0.0,0.0,0.0,432.096,3.09073,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,1,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,69510066,34.034362793,108.755142212,0.0,0.0,0.0,0.0,0.0,0.0,432.096,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
73060706,69507954,34.0343636209,108.75508743,0.0,0.0,0.0,0.0,0.0,0.0,432.096,3.09073,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,1,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,73059932,34.034362793,108.755142212,0.0,0.0,0.0,0.0,0.0,0.0,432.096,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,73060691,34.0334434509,108.755065918,0.0,0.0,0.0,0.0,0.0,0.0,432.096,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
77039459,73059932,34.034362793,108.755142212,0.0,0.0,0.0,0.0,0.0,0.0,432.096,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,77037234,34.0334434509,108.755065918,0.0,0.0,0.0,0.0,0.0,0.0,432.096,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,77039445,34.0334014893,108.755561829,0.0,0.0,0.0,0.0,0.0,0.0,432.096,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
179204902,77037234,34.0334434509,108.755065918,0.0,0.0,0.0,0.0,0.0,0.0,432.096,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,179202403,34.0334014893,108.755561829,0.0,0.0,0.0,0.0,0.0,0.0,432.096,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,179204888,34.0343360901,108.755584717,0.0,0.0,0.0,0.0,0.0,0.0,432.096,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
225568720,179202403,34.0334014893,108.755561829,0.0,0.0,0.0,0.0,0.0,0.0,432.096,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,225566774,34.0343360901,108.755584717,0.0,0.0,0.0,0.0,0.0,0.0,432.096,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,225568485,34.0343475342,108.755226135,0.0,0.0,0.0,0.0,0.0,0.0,432.096,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
329659114,225566774,34.0343360901,108.755584717,0.0,0.0,0.0,0.0,0.0,0.0,432.096,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,329656548,34.0343475342,108.755226135,0.0,0.0,0.0,0.0,0.0,0.0,432.096,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,225568485,34.0343475342,108.755226135,0.0,0.0,0.0,0.0,0.0,0.0,432.096,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
363079626,225566774,34.0343360901,108.755584717,0.0,0.0,0.0,0.0,0.0,0.0,432.096,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,363079619,34.0343475342,108.755226135,0.0,0.0,0.0,0.0,0.0,0.0,432.096,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,225568485,34.0343475342,108.755226135,0.0,0.0,0.0,0.0,0.0,0.0,432.096,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
381570297,381570294,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381570295,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381570296,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
