timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
66928319,66928087,0.00158107,0.000692877,0.00111417
66930788,66930563,0.0047237,-0.00605326,-0.00428855
66948168,66947944,0.0172502,-0.0117772,-0.0294215
66969281,66969051,0.0133532,-0.014958,-0.00849272
66990382,66990155,-0.00222802,-0.00440275,0.000997852
67011522,67011287,-0.0109893,-0.011592,0.0598569
67088461,67088233,-0.0208611,0.00498626,0.0392286
67109572,67109338,-0.00613972,0.0181596,0.0501312
67129436,67129205,0.0167587,0.00192327,-0.0196054
67151786,67151549,-0.0195445,0.00754185,-0.110187
67167918,67167689,0.0972008,-0.0426604,0.0656158
67189023,67188793,-0.0611798,0.0531348,-0.0115097
67210129,67209898,-0.011044,0.0242391,-0.0332662
67227508,67227280,0.017051,-0.058277,0.0491794
67248608,67248385,-0.0192958,-0.0114117,-0.080103
67269766,67269539,-0.00531202,0.0459944,-0.058276
67290910,67290682,0.0266375,0.0214094,0.0884784
67308295,67308071,-0.043329,-0.0395058,-0.0190599
67329326,67329091,0.0256263,0.0365321,-0.102043
67350426,67350190,0.0232756,0.0550259,0.0170987
67371522,67371292,-0.00695145,-0.00982958,0.0864765
67388906,67388675,-0.0297998,-0.0393874,-0.0521925
67410013,67409782,0.0841191,0.0215669,-0.0341804
67431110,67430883,0.0349576,0.0537807,0.0524683
67449744,67449508,-0.0843921,-0.0200379,-0.0258157
67469605,67469373,0.00733813,-0.0556072,-0.0475132
67490702,67490478,0.0986852,-0.00285712,0.0460415
67508084,67507855,-0.0643796,0.0709868,0.0100691
67529196,67528961,-0.0906298,-0.0113718,-0.10314
67550305,67550068,0.0341564,-0.0821846,-0.0486511
67567736,67567505,0.0496104,0.0286226,0.118237
67588944,67588712,-0.0535056,0.0951133,0.00991793
67609882,67609657,-0.0441376,0.0224769,-0.115573
67630998,67630763,0.0213976,-0.0790191,-0.0668469
67648383,67648146,0.0119839,0.00855939,0.114344
67669475,67669249,-0.0311916,0.0816798,0.0334314
