timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_angle
66867714,0.145205,0.0114593,0.0
390739135,0.143337,0.0116459,0.0
390744158,0.142863,0.0115674,0.0
390942687,0.130352,0.0119976,0.0
391141430,0.133957,0.012203,0.0
391339880,0.136573,0.0119735,0.0
391538568,0.135856,0.0120945,0.0
