timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
629808281,0.662949,0.00256386,-0.0207747,-0.748372,-0.0240346,-0.0161243,0.00401038,0.128271,-9.88142,-0.0444472,-4.89505e-05,-3.08003e-05,3.58615e-06,0.000505696,0.00034864,0.00054616,0.313949,-0.0221137,0.415314,0.014383,-0.020012,0.000786406,0.0,0.0,2.22281e-10,9.91069e-06,0.000273583,2.11374e-05,3.52882e-06,3.51447e-06,1.67285e-05,0.00930465,0.00930466,0.0102164,0.0468324,0.0468324,0.150773,1.95312e-11,1.95382e-11,3.34383e-11,0.0,0.0,5.00002e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000121429,0.00309206,0.00837592,67109399,0.306047,0.388295,0.0060378,0.0359615,0.0372821,0.0372821,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
629818210,0.662947,0.00256107,-0.0207749,-0.748373,-0.0239408,-0.0160486,0.00412282,0.128033,-9.88158,-0.0444069,-4.89504e-05,-3.08003e-05,3.58823e-06,0.000505696,0.00034864,0.000546159,0.313949,-0.0221137,0.415314,0.014383,-0.020012,0.000786406,0.0,0.0,4.12477e-10,1.21154e-05,0.000296244,2.11181e-05,3.53835e-06,3.52401e-06,1.67133e-05,0.00936551,0.00936552,0.0102519,0.0470926,0.0470926,0.151275,1.95412e-11,1.95481e-11,3.3426e-11,0.0,0.0,5.00003e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000124458,0.00299061,0.00810807,67109399,0.306896,0.388941,0.00536163,0.0359615,0.0372821,0.0372821,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
630007041,0.662875,0.00266147,-0.0206758,-0.74844,-0.0206253,-0.0120089,0.00391508,0.119051,-9.88638,-0.0451835,-4.89845e-05,-3.08497e-05,3.61606e-06,0.000505696,0.00034864,0.000547092,0.313949,-0.0221137,0.415314,0.014383,-0.020012,0.000786406,0.0,0.0,2.77081e-08,0.000116617,0.000987648,2.11385e-05,3.52961e-06,3.5154e-06,1.67243e-05,0.00932392,0.00932392,0.0102041,0.0467622,0.0467622,0.15025,1.95323e-11,1.95392e-11,3.34377e-11,0.0,0.0,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000172081,0.00339184,0.00606694,535,0.305818,0.38762,0.000539659,0.0286547,0.0382321,0.0382321,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
630215494,0.663212,0.00268729,-0.0210372,-0.748131,-0.0246223,-0.0147529,0.00871618,0.107875,-9.8967,-0.0327368,-4.90102e-05,-3.08526e-05,3.41164e-06,0.000505696,0.00034864,0.000542106,0.313949,-0.0221137,0.415314,0.014383,-0.020012,0.000786406,0.0,0.0,6.50381e-08,0.000243555,0.00272615,2.11139e-05,3.53973e-06,3.525e-06,1.67109e-05,0.00937756,0.00937755,0.0102273,0.0469534,0.0469534,0.150233,1.95424e-11,1.95493e-11,3.34249e-11,0.0,0.0,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000647384,0.00360324,0.00784872,535,0.306442,0.387599,0.0285623,0.0391465,0.0387928,0.0387928,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
630409170,0.663515,0.00282752,-0.0206911,-0.747872,-0.0221403,-0.0182801,0.014521,0.095261,-9.90721,-0.025343,-4.90248e-05,-3.08478e-05,3.24251e-06,0.000505696,0.00034864,0.000539079,0.313949,-0.0221137,0.415314,0.014383,-0.020012,0.000786406,0.0,0.0,8.29689e-08,0.000340755,0.00355111,2.11282e-05,3.53213e-06,3.51794e-06,1.67285e-05,0.00931871,0.00931868,0.0102334,0.0466492,0.0466492,0.151078,1.95351e-11,1.95419e-11,3.34365e-11,0.0,0.0,5.00003e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00105275,0.00285622,0.00532628,535,0.305448,0.388687,0.0384882,0.0256114,0.0416152,0.0416152,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
630607812,0.663625,0.002997,-0.0204948,-0.747778,-0.0231685,-0.00564185,0.0115256,0.0818861,-9.9115,-0.0304031,-4.90269e-05,-3.08941e-05,3.07085e-06,0.000505696,0.00034864,0.000541,0.313949,-0.0221137,0.415314,0.014383,-0.020012,0.000786406,0.0,0.0,3.00397e-07,0.000600533,0.00509196,2.11326e-05,3.53314e-06,3.51921e-06,1.67214e-05,0.00934333,0.00934331,0.0102232,0.0466045,0.0466046,0.15057,1.95364e-11,1.95432e-11,3.34359e-11,0.0,0.0,5.00002e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00110855,0.00177964,0.0057127,535,0.305302,0.388034,0.0751307,0.0256619,0.0412404,0.0412404,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
630816576,0.663849,0.00255757,-0.0203913,-0.747584,-0.0265777,-0.00749202,0.0105738,0.0713665,-9.919,-0.0249338,-4.90593e-05,-3.0907e-05,2.89779e-06,0.000505696,0.00034864,0.000540031,0.313949,-0.0221137,0.415314,0.014383,-0.020012,0.000786406,0.0,0.0,4.41431e-07,0.000923429,0.00726633,2.11474e-05,3.54159e-06,3.52775e-06,1.67324e-05,0.0093928,0.00939279,0.0102458,0.0467887,0.0467888,0.150559,1.95453e-11,1.95521e-11,3.34454e-11,0.0,0.0,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00102056,0.0014147,0.0044622,535,0.305904,0.38802,0.0552769,0.0238019,0.040759,0.040759,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
631015028,0.664122,0.00276985,-0.0204946,-0.747338,-0.0255912,-0.00825652,0.000449758,0.0579091,-9.92879,-0.0329698,-4.90636e-05,-3.08927e-05,2.74398e-06,0.000505696,0.00034864,0.000544025,0.313949,-0.0221137,0.415314,0.014383,-0.020012,0.000786406,0.0,0.0,7.00273e-07,0.00140042,0.00827011,2.11425e-05,3.54128e-06,3.52732e-06,1.67352e-05,0.00938478,0.00938476,0.0102327,0.0467136,0.0467136,0.150048,1.95447e-11,1.95515e-11,3.34448e-11,0.0,0.0,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000911097,0.00278051,0.00954974,535,0.305659,0.38736,0.0393414,0.0286985,0.0410486,0.0410486,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
631213671,0.664225,0.00338548,-0.0201367,-0.747254,-0.033063,-0.00729385,0.0010858,0.0383413,-9.93952,-0.0380022,-4.90159e-05,-3.08659e-05,2.56531e-06,0.000505696,0.00034864,0.000545816,0.313949,-0.0221137,0.415314,0.014383,-0.020012,0.000786406,0.0,0.0,1.41728e-06,0.00173518,0.00924338,2.11486e-05,3.54077e-06,3.52743e-06,1.67287e-05,0.00937332,0.00937331,0.0102709,0.0466398,0.0466398,0.151392,1.95445e-11,1.95512e-11,3.34441e-11,0.0,0.0,5.00003e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000952281,0.00450534,0.0112852,535,0.305417,0.389091,0.0495639,0.0150149,0.0404991,0.0404991,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
631412312,0.664485,0.0029525,-0.0199735,-0.747029,-0.0333775,-0.00838858,0.00343782,0.023238,-9.9493,-0.0450503,-4.90118e-05,-3.08534e-05,2.39722e-06,0.0005057,0.000348618,0.000547806,0.313949,-0.0221137,0.415314,0.014383,-0.020012,0.000786406,0.0,0.0,2.128e-06,0.00231798,0.0130442,2.11458e-05,3.53856e-06,3.52537e-06,1.67303e-05,0.00936012,0.00936009,0.010255,0.0465424,0.0465424,0.150872,1.95421e-11,1.95488e-11,3.34434e-11,5.00018e-08,5.00018e-08,5.00002e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000953434,0.00392197,0.0118169,663,0.305098,0.388422,0.0278428,0.00990559,0.038317,0.038317,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
