timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
629654331,0.0512995,0.000531585,0.000564959,0
629857939,0.0512995,0.000531585,0.000564959,1
630056595,0.0512995,0.000531585,0.000564959,1
630255346,0.0512995,0.000531585,0.000564959,1
630448898,0.0512995,0.000531585,0.000564959,1
630657473,0.0512995,0.000531585,0.000564959,1
630856114,0.0512995,0.000531585,0.000564959,1
631054757,0.0512995,0.000531585,0.000564959,1
631253441,0.0512995,0.000531585,0.000564959,1
986648716,0.0512995,0.000531585,0.000564959,1
986857290,0.0512995,0.000531585,0.000564959,1
987055933,0.0512995,0.000531585,0.000564959,1
987264506,0.0512995,0.000531585,0.000564959,1
987453217,0.0512995,0.000531585,0.000564959,1
