timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
632514774,0.666056,0.00369583,-0.0197892,-0.74563,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
632564436,0.666385,0.00316201,-0.0202737,-0.745326,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
632614095,0.666427,0.00313586,-0.0205578,-0.74528,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
632663756,0.666194,0.00375678,-0.0203333,-0.745492,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
632713419,0.666453,0.00352255,-0.0199048,-0.745273,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
632763078,0.666461,0.00341893,-0.0202627,-0.745256,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
632812737,0.666483,0.00390087,-0.019633,-0.745252,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
632867399,0.666032,0.00386541,-0.0187713,-0.745677,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
632912058,0.666029,0.0038128,-0.0197561,-0.745655,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
632961870,0.666009,0.00334909,-0.0194936,-0.745682,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
633016345,0.665626,0.00412955,-0.0185703,-0.746043,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
633066005,0.665832,0.00365588,-0.0179261,-0.745877,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
633115683,0.666353,0.00415396,-0.0182439,-0.745402,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
633165326,0.666345,0.00384509,-0.0174624,-0.745429,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
633215014,0.666321,0.00401093,-0.0184993,-0.745425,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
633264648,0.667186,0.00390406,-0.0179405,-0.744665,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
633314308,0.667686,0.00379848,-0.0178106,-0.74422,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
633363972,0.668981,0.00413258,-0.0187148,-0.743032,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
633413630,0.669307,0.0041619,-0.01816,-0.742753,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
633463290,0.67008,0.00400174,-0.0172321,-0.742078,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
633513106,0.670266,0.00443124,-0.0190146,-0.741864,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
633567577,0.670992,0.003284,-0.0182845,-0.741232,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
633612271,0.670611,0.0043939,-0.0188146,-0.741558,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
633661977,0.670307,0.00313496,-0.0189056,-0.741836,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
633716558,0.670457,0.00318106,-0.0189363,-0.7417,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
633766298,0.669913,0.00460343,-0.0183574,-0.742199,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
633815879,0.669881,0.00375692,-0.0179545,-0.742242,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
633860575,0.670412,0.00405713,-0.0180345,-0.741759,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
633915240,0.670739,0.00417502,-0.0163463,-0.741502,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
633964860,0.671062,0.00399231,-0.0164786,-0.741208,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
634014521,0.672011,0.00346402,-0.0176106,-0.740323,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
634064181,0.672177,0.00374681,-0.0172075,-0.740181,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
634113844,0.672226,0.00466756,-0.0184094,-0.740103,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
634163502,0.671937,0.00340313,-0.0183141,-0.740374,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
634213163,0.671727,0.00446708,-0.0169277,-0.740592,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
634267789,0.671893,0.00330483,-0.0162651,-0.740462,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
634312600,0.672388,0.00249554,-0.0143118,-0.740057,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
634362144,0.672774,0.000407378,-0.0129365,-0.739735,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
634416771,0.673244,-0.000387955,-0.00944482,-0.73936,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
634466431,0.672765,0.000346458,-0.0079337,-0.739814,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
634516092,0.672099,-0.000607169,-0.0060886,-0.740436,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
634560867,0.672316,0.000713343,-0.00559907,-0.740242,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
634615412,0.671796,0.00182186,-0.00414995,-0.740723,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
634665073,0.67189,0.0011409,-0.00147697,-0.740649,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
634714734,0.67119,0.00336182,-0.000576957,-0.741278,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
634764394,0.670457,0.00527946,0.000402355,-0.741929,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
634814077,0.671178,0.00660457,0.00266348,-0.741262,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
634863906,0.670752,0.00970068,0.00164925,-0.741616,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
634913385,0.671342,0.0112832,-0.000393707,-0.741062,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
634963036,0.67362,0.0114466,-0.00464091,-0.738975,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
635012696,0.676799,0.00929448,-0.0086175,-0.736058,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
635062357,0.680562,0.00646511,-0.0120449,-0.732563,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
635117097,0.683867,0.00446433,-0.0175877,-0.729381,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
635166644,0.68468,0.0040911,-0.0201979,-0.728552,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
635216305,0.684376,0.00415758,-0.0194104,-0.728859,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
635260999,0.684674,0.00442909,-0.0177737,-0.72862,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
635315625,0.685694,0.0049223,-0.0168073,-0.727679,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
