timestamp,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
35712009,1.4920224,3.6084857,-2.5132844,-1.2566472,-1.0160473e-05,1.2566268,2.513264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
35721943,2.5006227,3.5532358,-2.5132704,-1.2566332,3.8978833e-06,1.2566409,2.513278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
35910878,3.137116,3.9413009,-2.5142915,-1.2577509,-0.00085735164,1.2560345,2.5125728,0.12668006,0.17364353,0.18793245,0.1498,0.11194396,0.016562635,0.016797734,0.06153527,0.08894951,0.061154872,0.20010982,0.1999575,0.199864,0.19995841,0.20011036
36109351,-1.1157593,3.5712962,-2.513661,-1.2572359,-0.000861488,1.2558254,2.512756,-0.1583207,-0.08536612,-0.061990477,-0.12052699,-0.18004471,-0.02035372,-0.021227788,0.047904655,0.09148433,0.049285255,0.20002216,0.20012647,0.20005606,0.19990815,0.19988713
36317957,-1.028689,3.602016,-2.5128384,-1.2565101,-0.0003179637,1.2563531,2.5134559,-0.07564879,0.015209824,0.052626587,-0.015109848,-0.0944123,-0.03811362,-0.047914736,0.035456438,0.09682544,0.051347055,0.20001888,0.20019928,0.20010433,0.19986518,0.19981234
36511659,-1.6894673,3.7384818,-2.5141542,-1.257639,-0.0010263431,1.2557178,2.512445,-0.0014712363,0.09266904,0.12439081,0.04985191,-0.027974632,-0.09286618,-0.09560053,-0.006932467,0.05067046,-0.0024549142,0.20003499,0.20005569,0.1999995,0.19994396,0.19996583
36710434,0.4280761,3.729512,-2.5136776,-1.2563338,-0.00014405523,1.2555096,2.5119858,-0.13086638,0.0016713515,0.03072825,-0.08387502,-0.18375368,-0.19490162,-0.1823727,-0.052446708,0.015344143,-0.072715804,0.19953102,0.19995292,0.20044033,0.20031892,0.19975676
36909000,0.19247942,3.5850105,-2.5132551,-1.2563108,-5.8072157e-05,1.2560337,2.5127177,-0.054886673,0.077323996,0.13214883,0.034034885,-0.08160957,-0.047217872,-0.061968245,0.059117645,0.14871964,0.08312286,0.19970796,0.20004332,0.20031907,0.20015374,0.19977602
37112639,-1.3410981,3.551455,-2.512558,-1.257019,-0.0012032564,1.2560229,2.513846,-0.08115251,0.076737426,0.12469076,-0.0034323316,-0.13072158,0.0058689043,0.0067423917,0.15709472,0.24922317,0.15582193,0.20018692,0.20053641,0.20014413,0.19955303,0.19957943
37311309,-1.1971833,3.5441217,-2.5126863,-1.2574791,-0.0022323944,1.2549728,2.5133529,-0.12415279,0.03228887,0.08837553,-0.033532128,-0.16502137,-0.07394381,-0.08191873,0.06437029,0.16303654,0.07742432,0.20017509,0.20078593,0.20030968,0.19940612,0.19932322
