timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_angle
35503883,0.13138816,0.007758025,0.0
351227199,0.11089343,0.039391138,0.0
351232142,0.16544415,0.046381038,0.0
351425776,0.12436744,0.020118682,0.0
351629545,0.12699194,0.0052849376,0.0
351828074,0.11921821,0.0051312298,0.0
352026829,0.10587761,0.0046864455,0.0
