timestamp,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,fake_hvel[0],fake_hvel[1],fake_vvel,fake_hpos[0],fake_hpos[1],fake_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
351001721,0.0999754,0.0999754,0.215116,0.680852,0.680852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4044,0.0,0.0,nan,0.0,0.0,0.0901504,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
351011669,0.0999754,0.0999754,0.215116,0.680852,0.680852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4044,0.0,0.0,nan,0.0,0.0,0.0901505,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
351200541,0.099971,0.099971,0.215107,0.677573,0.677573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4015,0.0,0.0,nan,0.0,0.0,0.0901505,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
351403980,0.0999883,0.0999883,0.215035,0.672713,0.672713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.405,0.0,0.0,nan,0.0,0.0,0.0901505,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
351602628,0.0999857,0.0999856,0.214959,0.669441,0.669442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4051,0.0,0.0,nan,0.0,0.0,0.0901505,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
351801276,0.0999794,0.0999793,0.21488,0.667751,0.667751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4052,0.0,0.0,nan,0.0,0.0,0.0901504,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
352000097,0.0999741,0.0999741,0.214862,0.667644,0.667644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4045,0.0,0.0,nan,0.0,0.0,0.0901504,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
352203540,0.099993,0.099993,0.214784,0.665973,0.665973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4052,0.0,0.0,nan,0.0,0.0,0.0901504,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
352407155,0.0999259,0.0999258,0.214658,0.662495,0.662495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4053,0.0,0.0,nan,0.0,0.0,0.0901504,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
352605804,0.0999538,0.0999538,0.214646,0.659289,0.659289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4018,0.0,0.0,nan,0.0,0.0,0.0901504,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
352804552,0.10002,0.10002,0.21461,0.656334,0.656335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4053,0.0,0.0,nan,0.0,0.0,0.0901503,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
352998135,0.10002,0.10002,0.21461,0.656334,0.656335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4054,0.0,0.0,nan,0.0,0.0,0.0901503,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
353206719,0.0999527,0.0999525,0.214407,0.65121,0.651211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4055,0.0,0.0,nan,0.0,0.0,0.0901503,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
353405413,0.100016,0.100016,0.214433,0.648272,0.648272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4025,0.0,0.0,nan,0.0,0.0,0.0901504,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
353604116,0.100003,0.100002,0.214351,0.645067,0.645067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4059,0.0,0.0,nan,0.0,0.0,0.0901504,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
353807629,0.100011,0.100011,0.214271,0.643409,0.643409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4065,0.0,0.0,nan,0.0,0.0,0.0901504,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
354006277,0.0999308,0.0999306,0.214212,0.639974,0.639974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4029,0.0,0.0,nan,0.0,0.0,0.0901503,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
354204927,0.0999263,0.0999261,0.214136,0.638351,0.638351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4057,0.0,0.0,nan,0.0,0.0,0.0901503,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
354403610,0.099921,0.0999208,0.214061,0.635197,0.635197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4063,0.0,0.0,nan,0.0,0.0,0.0901503,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
354602225,0.0999853,0.0999851,0.214028,0.633824,0.633824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4063,0.0,0.0,nan,0.0,0.0,0.0901503,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
354805839,0.0999672,0.099967,0.214012,0.630657,0.630657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4065,0.0,0.0,nan,0.0,0.0,0.0901503,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
355004489,0.0999757,0.0999755,0.213938,0.62902,0.62902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4065,0.0,0.0,nan,0.0,0.0,0.0901503,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
355203162,0.0998924,0.0998922,0.213886,0.627147,0.627147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4029,0.0,0.0,nan,0.0,0.0,0.0901504,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
355401785,0.0999579,0.0999577,0.213857,0.625794,0.625794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4062,0.0,0.0,nan,0.0,0.0,0.0901503,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
355605400,0.0999403,0.0999401,0.213786,0.624176,0.624176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4061,0.0,0.0,nan,0.0,0.0,0.0901503,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
355799083,0.0999403,0.0999401,0.213786,0.624176,0.624176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.406,0.0,0.0,nan,0.0,0.0,0.0901503,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
356007698,0.0999503,0.0999501,0.21372,0.621045,0.621045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.406,0.0,0.0,nan,0.0,0.0,0.0901503,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
356206313,0.0999302,0.09993,0.213649,0.617803,0.617803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4057,0.0,0.0,nan,0.0,0.0,0.0901503,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
356404962,0.0999151,0.0999149,0.213587,0.616204,0.616204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4056,0.0,0.0,nan,0.0,0.0,0.0901503,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
356603610,0.0999011,0.0999009,0.213526,0.61461,0.61461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4061,0.0,0.0,nan,0.0,0.0,0.0901502,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
356802259,0.099887,0.0998868,0.213525,0.613021,0.613021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4053,0.0,0.0,nan,0.0,0.0,0.0901503,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
357000909,0.0998742,0.099874,0.213465,0.611435,0.611435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4063,0.0,0.0,nan,0.0,0.0,0.0901503,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
357204522,0.0998611,0.0998608,0.213465,0.609854,0.609854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4033,0.0,0.0,nan,0.0,0.0,0.0901503,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
357403172,0.0998826,0.0998824,0.21341,0.608275,0.608275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4053,0.0,0.0,nan,0.0,0.0,0.0901503,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
357601820,0.0998684,0.0998682,0.213355,0.606701,0.606701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4058,0.0,0.0,nan,0.0,0.0,0.0901503,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
357805435,0.0998504,0.0998502,0.213301,0.603634,0.603634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.4062,0.0,0.0,nan,0.0,0.0,0.0901503,0.00251133,0.0025143,0.00251782,0.0,0.0,0.0,0.0,0.0
