timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
26286824,0.03310984,0.09928178,0.0018611783,0
26470549,0.03310984,0.09928178,0.0018611783,1
26669198,0.03310984,0.09928178,0.0018611783,1
26867924,0.03310984,0.09928178,0.0018611783,1
27076359,0.03310984,0.09928178,0.0018611783,1
27270010,0.03310984,0.09928178,0.0018611783,1
27473601,0.03310984,0.09928178,0.0018611783,1
27672338,0.03310984,0.09928178,0.0018611783,1
357669740,0.03310984,0.09928178,0.0018611783,1
357868370,0.03310984,0.09928178,0.0018611783,1
358067052,0.03310984,0.09928178,0.0018611783,1
358265619,0.03310984,0.09928178,0.0018611783,1
358469260,0.03310984,0.09928178,0.0018611783,1
358657907,0.03310984,0.09928178,0.0018611783,1
358866464,0.00092147064,0.0018010575,0.0005009711,0
359070097,0.0021367585,0.002465804,0.0002275577,0
359268682,0.002919772,0.0043142186,0.00022286676,0
359472311,0.0037325816,0.007328949,0.001024105,0
359670911,0.0045490568,0.010883219,0.00058652676,0
359869528,0.006541205,0.012168151,0.00015032907,0
360063188,0.007682211,0.014026102,0.00041223518,0
360271745,0.008371976,0.015540568,0.00046397952,0
