timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
26355726,0.0,0.0,0,12,60143,65536,0,3,122
27356974,78.66797,77.639404,2,12,9407,65536,0,3,122
28359126,108.055664,53.61497,2,12,6032,65536,0,3,122
29362218,136.28613,45.15039,2,12,4335,65536,0,3,122
30363203,160.59863,39.95511,2,12,6316,65536,0,3,122
31364184,187.0957,37.26666,2,12,6132,65536,0,3,122
32365654,213.3916,35.43576,2,12,6198,65536,0,3,122
33366144,239.63867,34.12481,2,12,6198,65536,0,3,122
34367208,266.11426,33.166924,2,12,6014,65536,0,3,122
35368273,292.41016,32.401646,2,12,6198,65536,0,3,122
36369139,320.0,31.918886,2,12,4873,65536,0,3,122
37370137,345.1836,31.305162,2,12,6014,65536,0,3,122
38371270,371.4795,30.88573,2,12,6248,65536,0,3,122
39372573,397.7754,30.530361,2,12,6248,65536,0,3,122
40373134,431.22754,30.737398,2,12,323,65536,0,3,122
41374289,459.33887,30.560322,2,12,373,65536,0,3,122
42375411,487.2705,30.394217,2,12,323,65536,0,3,122
43376151,512.0,30.060314,2,12,3672,65536,0,3,122
44377377,543.26465,30.12505,2,12,493,65536,0,3,122
45378427,564.9033,29.677553,2,12,6887,65536,0,3,122
46379335,593.01465,29.598036,2,12,6703,65536,0,3,122
47380184,627.1904,29.814451,2,12,493,65536,0,3,122
48381140,655.68555,29.753288,2,12,493,65536,0,3,122
49382769,683.6172,29.672117,2,12,493,65536,0,3,122
50383243,712.0332,29.619282,2,12,181,65536,0,3,122
51384307,739.6113,29.536509,2,12,543,65536,0,3,122
52385274,768.0,29.491335,2,12,71,65536,0,3,122
53386231,795.6543,29.422361,2,12,589,65536,0,3,122
54387140,823.5371,29.366508,2,12,589,65536,0,3,122
55388292,851.3047,29.31029,2,12,757,65536,0,3,122
56389749,879.416,29.268965,2,12,807,65536,0,3,122
57390213,907.34766,29.225452,2,12,578,65536,0,3,122
58391154,935.23047,29.1827,2,12,628,65536,0,3,122
59392170,960.0,29.048267,2,12,4050,65536,0,3,122
60393172,991.27344,29.112762,2,12,628,65536,0,3,122
61394466,1019.15625,29.076597,2,12,678,65536,0,3,122
62395155,1047.2676,29.049263,2,12,678,65536,0,3,122
63396198,1075.1992,29.018286,2,12,748,65536,0,3,122
64397306,1103.1309,28.988884,2,12,698,65536,0,3,122
65398148,1131.4492,28.97109,2,12,536,65536,0,3,122
66399156,1156.0625,28.861567,2,12,3884,65536,0,3,122
67400141,1187.0566,28.912817,2,12,748,65536,0,3,122
68401185,1215.1191,28.89188,2,12,848,65536,0,3,122
69402132,1243.0508,28.868944,2,12,798,65536,0,3,122
70403181,1270.9824,28.846985,2,12,798,65536,0,3,122
71404133,1299.0938,28.830048,2,12,798,65536,0,3,122
72405273,1326.9766,28.808847,2,12,848,65536,0,3,122
73406895,1354.9082,28.789143,2,12,894,65536,0,3,122
74407284,1381.1504,28.735914,2,12,2808,65536,0,3,122
75408145,1408.0,28.696966,2,12,3916,65536,0,3,122
76409160,1438.6885,28.736164,2,12,1043,65536,0,3,122
77410184,1466.7998,28.723352,2,12,966,65536,0,3,122
78411636,1494.7314,28.707344,2,12,966,65536,0,3,122
79412163,1522.6143,28.691523,2,12,966,65536,0,3,122
80413589,1550.7256,28.680037,2,12,1016,65536,0,3,122
81414321,1578.6572,28.666065,2,12,966,65536,0,3,122
82415344,1604.0049,28.60636,2,12,3612,65536,0,3,122
83416152,1634.6514,28.641699,2,12,1086,65536,0,3,122
84417269,1662.583,28.628923,2,12,1064,65536,0,3,122
85419006,1690.5146,28.616278,2,12,1064,65536,0,3,122
86419198,1701.3643,28.320448,2,12,18740,65536,0,3,122
87420437,1746.3447,28.592644,2,12,1282,65536,0,3,122
88421307,1774.2764,28.581594,2,12,1232,65536,0,3,122
89422147,1802.3877,28.573761,2,12,1383,65536,0,3,122
90424166,1830.2705,28.562078,2,12,1265,65536,0,3,122
91427786,1856.0,28.516968,2,12,3520,65536,0,3,122
92428655,1886.3135,28.543776,2,12,1265,65536,0,3,122
93429644,1914.1963,28.533503,2,12,1315,65536,0,3,122
94431237,1942.1279,28.523998,2,12,1315,65536,0,3,122
95431655,1970.2393,28.51785,2,12,1315,65536,0,3,122
96432960,1998.1221,28.508259,2,12,1365,65536,0,3,122
97433759,2026.0537,28.499826,2,12,1315,65536,0,3,122
98434672,2054.165,28.49408,2,12,1365,65536,0,3,122
99436072,2080.5312,28.46442,2,12,2988,65536,0,3,122
100436742,2109.9795,28.47744,2,12,1435,65536,0,3,122
101437649,2138.0908,28.472223,2,12,1485,65536,0,3,122
102438643,2166.0225,28.464746,2,12,1435,65536,0,3,122
103439757,2193.9053,28.456787,2,12,1485,65536,0,3,122
104440639,2222.2725,28.455318,2,12,1223,65536,0,3,122
105441742,2249.9482,28.445066,2,12,1485,65536,0,3,122
106443319,2277.88,28.438095,2,12,1485,65536,0,3,122
107443833,2304.0,28.409334,2,12,3524,65536,0,3,122
108444778,2333.874,28.426844,2,12,1535,65536,0,3,122
109445635,2361.8057,28.420593,2,12,1485,65536,0,3,122
110446639,2389.917,28.416578,2,12,1535,65536,0,3,122
111448210,2417.7998,28.409784,2,12,1585,65536,0,3,122
112448640,2445.7314,28.404087,2,12,1535,65536,0,3,122
113449753,2473.8428,28.40036,2,12,1585,65536,0,3,122
114450776,2496.0,28.329176,2,12,7448,65536,0,3,122
115451641,2501.7256,28.075235,2,12,30187,65536,0,3,122
116452669,2501.7256,27.763346,2,12,58973,65536,0,3,122
122458711,2587.6855,26.922812,3,12,2501,65536,0,3,122
123460787,2615.5684,26.93212,3,12,2632,65536,0,3,122
124464199,2643.4512,26.940874,3,12,2748,65536,0,3,122
125465132,2671.6113,26.952919,3,12,2337,65536,0,3,122
126466276,2699.4941,26.961899,3,12,2387,65536,0,3,122
127467704,2727.4258,26.97111,3,12,2621,65536,0,3,122
128468139,2756.0078,26.986769,3,12,1905,65536,0,3,122
129469289,2783.42,26.990593,3,12,2437,65536,0,3,122
130470288,2811.3516,26.99937,3,12,2604,65536,0,3,122
131471141,2839.463,27.009727,3,12,2420,65536,0,3,122
132473240,2867.3672,27.017624,3,12,2470,65536,0,3,122
133473370,2895.2988,27.026121,3,12,2654,65536,0,3,122
134474249,2923.4102,27.03594,3,12,2470,65536,0,3,122
135475318,2952.0723,27.050575,3,12,1672,65536,0,3,122
136476325,2979.2246,27.05125,3,12,2774,65536,0,3,122
137477232,3008.0,27.066544,3,12,1860,65536,0,3,122
138478218,3035.2188,27.067663,3,12,2590,65536,0,3,122
139479788,3063.1504,27.074924,3,12,2824,65536,0,3,122
140480214,3091.3105,27.084332,3,12,2540,65536,0,3,122
141481369,3119.1934,27.090996,3,12,2590,65536,0,3,122
142482180,3147.0762,27.097624,3,12,2824,65536,0,3,122
143483172,3175.2363,27.106464,3,12,2590,65536,0,3,122
144484563,3204.041,27.12052,3,12,1696,65536,0,3,122
145485146,3231.002,27.119047,3,12,2920,65536,0,3,122
146486143,3259.162,27.12749,3,12,2686,65536,0,3,122
147487393,3287.045,27.133446,3,12,2686,65536,0,3,122
148488145,3315.1348,27.141108,3,12,2758,65536,0,3,122
149489227,3342.9238,27.146132,3,12,2854,65536,0,3,122
150490220,3370.8066,27.151848,3,12,2904,65536,0,3,122
151492765,3400.0889,27.168318,3,12,1755,65536,0,3,122
152495647,3426.8496,27.164467,3,12,3024,65536,0,3,122
153496646,3456.0,27.179873,3,12,1726,65536,0,3,122
154497740,3482.664,27.175613,3,12,3258,65536,0,3,122
155498650,3510.7754,27.182669,3,12,3074,65536,0,3,122
156499635,3538.6582,27.18784,3,12,3074,65536,0,3,122
157500785,3566.5898,27.193274,3,12,3329,65536,0,3,122
158501641,3594.75,27.200415,3,12,3045,65536,0,3,122
