timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2]
17674498,17674445,4259850,1.66636,0.344765,-9.65342,33.5,0,0,0,0
17675480,17675432,4259850,1.68552,0.306458,-9.73004,33.5,0,0,0,0
18675379,18675330,4259850,4.46279,-1.09176,-9.11712,33.5,0,0,0,0
19676774,19676714,4259850,2.18351,1.58975,-9.40442,33.5,0,0,0,0
20677697,20677636,4259850,2.87304,-0.153229,-9.84496,33.5,0,0,0,0
21675779,21675730,4259850,0.574608,1.62806,-8.98304,33.5,0,0,0,0
22676049,22676005,4259850,-0.0191536,1.93451,-9.84496,33.5,0,0,0,0
23677026,23676975,4259850,3.60088,-1.30245,-8.92558,33.5,0,0,0,0
24674717,24674669,4259850,2.22182,-0.0383072,-10.726,33.5,0,0,0,0
25675959,25675906,4259850,9.40442,2.08774,-5.01825,34.0,0,0,0,0
26676853,26676806,4259850,-0.229843,-4.32872,-13.0245,34.0,0,0,0,0
27674800,27674753,4259850,7.46991,5.53539,-11.3006,33.5,0,0,0,0
28675693,28675645,4259850,0.268151,2.1452,-8.84897,34.0,0,0,0,0
29675680,29675636,4259850,0.727837,0.191536,-11.4347,34.0,0,0,0,0
30676671,30676621,4259850,3.62003,-3.88818,-8.17859,34.0,0,0,0,0
31674597,31674550,4259850,-3.21781,4.88417,-11.8178,34.0,0,0,0,0
32676671,32676624,4259850,2.24097,-1.95367,-10.7069,34.0,0,0,0,0
33677086,33677034,4259850,-3.84988,3.12204,-12.718,34.0,0,0,0,0
34678584,34678537,4259850,3.58173,0.823605,-6.0717,34.0,0,0,0,0
35674822,35674778,4259850,3.37104,-5.22894,-9.55765,34.0,0,0,0,0
36676088,36676045,4259850,1.37906,4.73094,-11.7603,34.0,0,0,0,0
37677359,37677310,4259850,7.89129,-3.04542,-6.05254,34.0,0,0,0,0
38674465,38674417,4259850,0.344765,5.5737,-9.09797,34.0,0,0,0,0
39675899,39675852,4259850,1.11091,6.12916,-9.67257,34.0,0,0,0,0
40676926,40676876,4259850,-0.0766145,-1.34075,-10.7835,34.0,0,0,0,0
41677926,41677878,4259850,-0.402226,-1.35991,-12.5456,34.0,0,0,0,0
42674922,42674877,4259850,2.98796,-6.85699,-9.0022,34.0,0,0,0,0
43675901,43675851,4259850,3.9648,7.50822,-6.87615,34.0,0,0,0,0
44677014,44676959,4259850,-0.632069,-3.7158,-10.8601,34.0,0,0,0,0
45675613,45675567,4259850,1.55144,-4.61602,-12.718,34.0,0,0,0,0
46675843,46675792,4259850,1.87705,-1.37906,-10.975,34.0,0,0,0,0
47677599,47677554,4259850,3.27527,-1.72383,-8.81066,34.0,0,0,0,0
48677307,48677258,4259850,1.37906,7.75721,-8.98304,34.0,0,0,0,0
49675404,49675358,4259850,3.44765,-0.191536,-9.8258,34.0,0,0,0,0
50675791,50675744,4259850,-0.134075,2.58574,-11.473,34.0,0,0,0,0
51677307,51677262,4259850,-1.18752,2.31759,-11.7412,34.0,0,0,0,0
52674347,52674302,4259850,2.94966,-5.49709,-7.9296,34.0,0,0,0,0
53675681,53675634,4259850,0.995988,6.95276,-12.4115,34.0,0,0,0,0
54676594,54676547,4259850,-1.70467,-5.65032,-10.5919,34.0,0,0,0,0
55677098,55677043,4259850,2.56658,8.02536,-9.97903,34.0,0,0,0,0
56674654,56674602,4259850,-0.881066,-3.08373,-10.3813,34.0,0,0,0,0
57675629,57675583,4259850,5.3247,-4.55856,-5.65032,34.0,0,0,0,0
58677217,58677159,4259850,0.248997,5.43963,-12.9095,34.0,0,0,0,0
59674246,59674198,4259850,0.651223,-1.13006,-10.4579,34.0,0,0,0,0
60676355,60676306,4259850,-2.45166,1.0343,-9.59596,34.0,0,0,0,0
61676251,61676205,4259850,-0.881066,-1.34075,-10.343,34.0,0,0,0,0
62677311,62677265,4259850,-0.670376,9.7875,-9.23204,34.0,0,0,0,0
63674961,63674912,4259850,6.28239,4.23295,-8.96389,34.0,0,0,0,0
64676128,64676081,4259850,-1.55144,10.477,-8.79151,34.0,0,0,0,0
65677705,65677658,4259850,3.94564,5.78439,-9.95988,34.0,0,0,0,0
66674931,66674883,4259850,-3.90734,-0.153229,-12.8904,34.0,0,0,0,0
67675924,67675876,4259850,5.80354,-0.804452,-7.89129,34.0,0,0,0,0
68676496,68676443,4259850,-3.16035,-3.98395,-11.2815,34.0,0,0,0,0
69677150,69677101,4259850,4.34787,-0.0383072,-9.13627,34.0,0,0,0,0
70675272,70675220,4259850,1.68552,8.42759,-8.23605,34.0,0,0,0,0
71676349,71676291,4259850,-1.28329,-3.40934,-11.3581,34.0,0,0,0,0
72677388,72677334,4259850,-2.22182,-2.47082,-10.7452,34.0,0,0,0,0
73674534,73674486,4259850,-0.861913,-3.08373,-13.6182,34.0,0,0,0,0
74675600,74675547,4259850,1.16837,8.42759,-10.1514,34.0,0,0,0,0
75677307,75677261,4259850,-0.47884,-1.89621,-11.9327,34.0,0,0,0,0
76677329,76677280,4259850,0.0766145,-4.67348,-9.07881,34.0,0,0,0,0
77675535,77675481,4259850,0.440533,-0.938527,-11.473,34.0,0,0,0,0
78676313,78676263,4259850,1.0343,2.04944,-9.23204,34.0,0,0,0,0
79677742,79677693,4259850,3.14119,1.81959,-8.63828,34.0,0,0,0,0
80674267,80674217,4259850,-0.612916,2.3942,-13.4075,34.0,0,0,0,0
81675748,81675700,4259850,3.39019,-0.842759,-9.73004,34.0,0,0,0,0
82676782,82676732,4259850,1.37906,-6.30154,-10.8793,34.0,0,0,0,0
83677302,83677255,4259850,-0.383072,-0.670376,-13.8864,34.0,0,0,0,0
84675097,84675046,4259850,0.229843,-2.47082,-12.7946,34.0,0,0,0,0
85676547,85676498,4259850,4.67348,-3.94564,-7.81467,34.0,0,0,0,0
86677670,86677624,4259850,3.1795,4.69264,-7.69975,34.0,0,0,0,0
87674866,87674817,4259850,1.11091,-1.24498,-10.4387,34.0,0,0,0,0
88676398,88676349,4259850,0.459687,-2.18351,-11.1091,34.0,0,0,0,0
89677088,89677042,4259850,-1.13006,-1.58975,-12.6031,34.0,0,0,0,0
90677472,90677424,4259850,0.708684,1.39821,-9.02135,34.0,0,0,0,0
91676590,91676540,4259850,-1.20668,7.45076,-9.57681,34.0,0,0,0,0
92675923,92675873,4259850,0.804452,1.37906,-9.69173,34.0,0,0,0,0
93677456,93677406,4259850,3.62003,2.29843,-12.1051,34.0,0,0,0,0
94674852,94674803,4259850,0.325611,-2.04944,-12.0285,34.0,0,0,0,0
95675757,95675701,4259850,0.0574608,-2.91135,-9.94073,34.0,0,0,0,0
96676395,96676347,4259850,4.69264,1.45567,-7.22091,34.0,0,0,0,0
97677688,97677643,4259850,3.10289,1.74298,-8.04452,34.0,0,0,0,0
98675319,98675268,4259850,3.12204,-2.8922,-8.52336,34.0,0,0,0,0
99676482,99676435,4259850,-0.593762,-0.363919,-11.3006,34.0,0,0,0,0
100677593,100677546,4259850,2.68151,6.608,-9.90242,34.0,0,0,0,0
101675756,101675702,4259850,2.3942,-0.306458,-11.5305,34.0,0,0,0,0
102676067,102676013,4259850,-0.172383,0.383072,-6.91445,34.0,0,0,0,0
103676531,103676484,4259850,-2.77727,3.04542,-13.1777,34.0,0,0,0,0
104677975,104677926,4259850,-1.97282,-3.1795,-10.4579,34.0,0,0,0,0
105674983,105674929,4259850,2.60489,-2.31759,-9.8258,34.0,0,0,0,0
106677515,106677469,4259850,-0.114922,-3.29442,-11.4539,34.0,0,0,0,0
107677512,107677462,4259850,2.27928,8.5042,-11.1282,34.0,0,0,0,0
108674845,108674793,4259850,-2.04944,-6.66546,-11.5688,34.0,0,0,0,0
