timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
29857525,0.999644,-0.00186085,-0.0021131,-0.0265313,0.166828,-0.163539,0.0210483,-0.572015,-0.362344,-0.285297,6.52729e-05,1.55479e-05,-7.56243e-05,0.0,0.0,-0.0038603,0.310462,-0.0211234,0.420885,0.0,0.0,0.0,0.0,0.0,1.66242e-07,0.000234337,0.00328312,3.76462e-07,8.45318e-06,7.54322e-06,7.45744e-05,0.0138211,0.01437,0.0128746,0.0728047,0.0729328,0.158033,1.59767e-10,1.27241e-10,7.22565e-10,0.0,0.0,6.02801e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00310134,0.0228504,0.0324755,535,0.381756,0.397534,0.0458732,0.10636,0.0838685,0.0838685,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
29867532,0.999656,-0.00180679,-0.00209741,-0.026097,0.162354,-0.168192,0.0210612,-0.570356,-0.363971,-0.285095,6.52574e-05,1.555e-05,-7.57206e-05,0.0,0.0,-0.00386031,0.310462,-0.0211234,0.420885,0.0,0.0,0.0,0.0,0.0,1.95736e-07,0.00025517,0.00371414,3.74009e-07,8.48556e-06,7.57092e-06,7.44472e-05,0.0139286,0.0144835,0.0129251,0.0731343,0.0732667,0.158574,1.59762e-10,1.27251e-10,7.22012e-10,0.0,0.0,6.02801e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00312313,0.0240896,0.0346923,535,0.382624,0.398214,0.0493778,0.10636,0.0838685,0.0838685,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
30057729,0.999655,0.000858814,-0.00304381,-0.0260861,0.188067,-0.186013,0.0531191,-0.595247,-0.361364,-0.288958,6.39726e-05,1.46497e-05,-7.75345e-05,6.35945e-06,-6.69647e-06,-0.00386033,0.310462,-0.0211234,0.420885,0.0,0.0,0.0,0.0,0.0,1.92854e-06,0.00114203,0.0167902,3.74594e-07,8.38622e-06,7.48162e-06,7.36737e-05,0.014841,0.0153989,0.0129046,0.071901,0.0720249,0.159119,1.55315e-10,1.24503e-10,7.1232e-10,3.99985e-06,3.99985e-06,5.88099e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00336036,0.0213629,0.0315416,663,0.379376,0.398897,0.0439852,0.114286,0.0838769,0.0838769,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
30257937,0.99967,-0.000546388,-0.000630825,-0.0256755,0.166711,-0.138903,0.0199882,-0.625257,-0.361111,-0.293044,6.27965e-05,1.35985e-05,-7.92132e-05,0.000156046,-0.000128962,-0.00385858,0.310462,-0.0211234,0.420885,0.0,0.0,0.0,0.0,0.0,1.96659e-06,0.00140005,0.0205977,3.73028e-07,8.32636e-06,7.44643e-06,7.3123e-05,0.0182391,0.0187775,0.0128751,0.0711287,0.0712478,0.158205,1.50946e-10,1.21793e-10,7.02395e-10,3.94008e-06,3.94045e-06,5.73222e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00334118,0.0174491,0.0307222,663,0.377328,0.39775,0.0328926,0.11861,0.0816363,0.0816363,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
30458145,0.999676,-0.000862588,-0.000774666,-0.0254245,0.134896,-0.123825,0.0213354,-0.644887,-0.354941,-0.297708,6.15671e-05,1.2954e-05,-8.10745e-05,0.000330502,-0.000366908,-0.00385742,0.310462,-0.0211234,0.420885,0.0,0.0,0.0,0.0,0.0,3.59737e-06,0.00220594,0.0271256,3.7268e-07,8.33401e-06,7.45881e-06,7.2426e-05,0.0223651,0.0228192,0.0128352,0.0703976,0.0705108,0.15733,1.46849e-10,1.19225e-10,6.92015e-10,3.73588e-06,3.73854e-06,5.58447e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003209,0.0122212,0.0320751,663,0.375378,0.396649,0.0385103,0.110582,0.0807862,0.0807862,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
30658359,0.99968,0.00153108,-0.00129135,-0.0252301,0.100205,-0.0976222,-0.0384531,-0.670476,-0.356759,-0.306571,6.08772e-05,1.23134e-05,-8.24278e-05,0.000568521,-0.000537919,-0.0038571,0.310462,-0.0211234,0.420885,0.0,0.0,0.0,0.0,0.0,6.46485e-06,0.00339772,0.0380078,3.71795e-07,8.46733e-06,7.57774e-06,7.20531e-05,0.0260073,0.0263507,0.0128493,0.0697421,0.0698464,0.158466,1.43488e-10,1.17128e-10,6.82516e-10,3.4015e-06,3.40943e-06,5.44288e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027954,0.0128749,0.0351948,663,0.373615,0.398078,0.0505932,0.0796696,0.0794214,0.0794214,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
30858561,0.999665,0.00193812,-0.00223272,-0.0257332,0.0646391,-0.0683516,0.0359791,-0.69368,-0.349405,-0.306334,6.01589e-05,1.19259e-05,-8.38668e-05,0.000751336,-0.000764553,-0.00385884,0.310462,-0.0211234,0.420885,0.0,0.0,0.0,0.0,0.0,8.34587e-06,0.00429187,0.0376854,3.75221e-07,8.75591e-06,7.82894e-06,7.15391e-05,0.0282775,0.0285024,0.0127882,0.0691492,0.069243,0.157555,1.41028e-10,1.15634e-10,6.72787e-10,2.99702e-06,3.01238e-06,5.29954e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00255684,0.0130911,0.0370381,663,0.372011,0.396932,0.0368974,0.0759868,0.0789135,0.0789135,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
31058769,0.999674,0.00452146,-0.000821228,-0.0251015,0.0633682,-0.0615721,-0.0114035,-0.720102,-0.350006,-0.31097,5.98137e-05,1.16306e-05,-8.50109e-05,0.000914989,-0.000861912,-0.00385783,0.310462,-0.0211234,0.420885,0.0,0.0,0.0,0.0,0.0,8.19268e-06,0.00431602,0.0355926,3.71429e-07,9.17073e-06,8.20178e-06,7.13533e-05,0.0291169,0.0292622,0.0127881,0.0685599,0.0686425,0.158721,1.39403e-10,1.14695e-10,6.64025e-10,2.58026e-06,2.6035e-06,5.16298e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022967,0.0213535,0.0421515,663,0.370408,0.398397,0.0420491,0.0487777,0.0769005,0.0769005,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
31258977,0.999663,0.00742192,-0.00291611,-0.0247012,0.0434418,-0.0365296,-0.0300253,-0.743448,-0.34679,-0.320833,5.95005e-05,1.1485e-05,-8.62673e-05,0.00100417,-0.000944897,-0.0038573,0.310462,-0.0211234,0.420885,0.0,0.0,0.0,0.0,0.0,7.01115e-06,0.00397704,0.0371631,3.69784e-07,9.71808e-06,8.66843e-06,7.0977e-05,0.0290428,0.0291313,0.0127232,0.0680616,0.068134,0.157876,1.38389e-10,1.14183e-10,6.54778e-10,2.21462e-06,2.24456e-06,5.02627e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023131,0.0284487,0.0487352,663,0.369047,0.397336,0.0430602,0.0311869,0.0760455,0.0760455,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
31459185,0.999714,0.00684025,-0.00128433,-0.0228669,0.0180429,0.00128654,0.00631897,-0.765308,-0.339312,-0.325135,5.92119e-05,1.1405e-05,-8.7492e-05,0.00105576,-0.00102615,-0.00385845,0.310462,-0.0211234,0.420885,0.0,0.0,0.0,0.0,0.0,8.52778e-06,0.00460595,0.0435,3.59873e-07,1.03168e-05,9.20326e-06,7.06928e-05,0.0282606,0.0283113,0.0126516,0.0675856,0.0676487,0.157064,1.37758e-10,1.13935e-10,6.45548e-10,1.90445e-06,1.93961e-06,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00230423,0.032529,0.0531783,663,0.367742,0.396313,0.0341075,0.0326057,0.0738873,0.0738873,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
