timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
29705358,0,0,0,0,61,77,0
29929432,0,0,0,0,70,72,0
30126479,0,0,0,0,74,73,0
30194311,0,0,0,0,85,75,0
30585313,0,0,0,0,97,78,0
31738315,0,0,0,0,96,77,0
32462061,0,0,0,0,100,71,0
33344313,0,0,0,0,100,75,0
34297311,0,0,0,0,100,74,0
35258750,0,0,0,0,100,65,0
36341307,0,0,0,0,100,72,0
37277824,0,0,0,0,100,69,0
38408714,0,0,0,0,99,72,0
39581309,0,0,0,0,93,73,0
40535499,0,0,0,0,96,41,0
41423313,0,0,0,0,97,72,0
42342823,0,0,0,0,94,75,0
43267157,0,0,0,0,100,67,0
44258311,0,0,0,0,100,73,0
45345512,0,0,0,0,100,62,0
46255307,0,0,0,0,100,77,0
47478363,0,0,0,0,88,88,0
48337309,0,0,0,0,100,88,0
49515318,0,0,0,0,100,79,0
50417640,0,0,0,0,95,79,0
51326636,0,0,0,0,100,82,0
52259544,0,0,0,0,97,75,0
53256309,0,0,0,0,100,80,0
54335357,0,0,0,0,98,70,0
55484309,0,0,0,0,98,52,0
56409303,0,0,0,0,97,69,0
57331365,0,0,0,0,98,68,0
58484306,0,0,0,0,100,67,0
59636183,0,0,0,0,94,85,0
60561778,0,0,0,0,93,63,0
61286921,0,0,0,0,100,73,0
62477311,0,0,0,0,92,81,0
63546376,0,0,0,0,91,69,0
64306648,0,0,0,0,100,78,0
65398321,0,0,0,0,98,70,0
66553312,0,0,0,0,93,78,0
67539675,0,0,30,0,98,54,0
68430672,0,0,52,0,98,65,0
69544306,0,0,68,0,89,57,0
70539318,0,0,77,0,96,59,0
71457482,0,0,82,0,94,50,0
72319309,0,0,84,0,98,73,0
73262314,0,0,86,0,100,41,0
74622316,0,0,87,0,93,48,0
75577892,0,0,87,0,94,74,0
76469309,0,0,87,0,93,74,0
77379516,0,0,87,0,94,66,0
78297317,0,0,87,0,97,38,0
79256306,0,0,87,0,100,40,0
80845318,0,0,50,0,81,40,0
81765720,0,0,39,0,81,57,0
82300348,0,0,35,0,98,55,0
83446746,0,0,30,0,98,62,0
84295306,0,0,28,0,93,53,0
85449563,0,0,26,0,92,48,0
86443318,0,0,26,0,96,64,0
87562311,0,0,48,0,91,48,0
88453320,0,0,60,0,95,45,0
89373576,0,0,64,0,99,48,0
90328316,0,0,69,0,98,37,0
91679211,0,0,73,0,90,46,0
92599694,0,0,75,0,91,48,0
93517306,0,0,75,0,92,54,0
94897796,0,0,75,0,85,65,0
95630371,0,0,75,0,91,78,0
96748313,0,0,71,0,77,67,0
97245314,0,0,68,0,98,74,0
98591817,0,0,64,0,93,59,0
99514320,0,0,62,0,96,68,0
100668358,0,0,61,0,91,69,0
101358995,0,0,61,0,95,73,0
102317194,0,0,61,0,97,68,0
103268367,0,0,61,0,100,66,0
104352318,0,0,61,0,96,62,0
105277315,0,0,61,0,98,72,0
106661637,0,0,61,0,93,71,0
107616085,0,0,61,0,92,59,0
108268316,0,0,61,0,97,65,0
109417363,0,0,61,0,91,69,0
110610355,0,0,61,0,91,82,0
111305735,0,0,61,0,95,58,0
112657983,0,0,61,0,79,81,0
113346973,0,0,61,0,98,60,0
114301437,0,0,61,0,100,64,0
115411285,0,0,61,0,96,56,0
116337309,0,0,61,0,93,77,0
117265345,0,0,61,0,97,62,0
118408316,0,0,61,0,97,63,0
119374817,0,0,61,0,100,68,0
120726309,0,0,62,0,82,54,0
121405422,0,0,62,0,99,50,0
122376363,0,0,62,0,98,50,0
123523509,0,0,62,0,94,76,0
124406307,0,0,62,0,90,69,0
125334311,0,0,62,0,97,59,0
126485306,0,0,62,0,93,78,0
127403372,0,0,62,0,95,59,0
128564313,0,0,62,0,85,71,0
129484442,0,0,62,0,96,72,0
130637309,0,0,62,0,93,68,0
131823137,0,0,62,0,86,55,0
132310839,0,0,62,0,95,51,0
133390455,0,0,62,0,95,60,0
134780586,0,0,62,0,88,53,0
135307311,0,0,62,0,100,50,0
136389313,0,0,62,0,100,46,0
137319341,0,0,62,0,98,51,0
138702944,0,0,62,0,93,73,0
139455701,0,0,57,0,92,57,0
140386091,0,0,55,0,93,71,0
141459312,0,0,53,0,91,60,0
142845416,0,0,53,0,86,54,0
144040172,0,0,59,0,78,44,0
144931122,0,0,62,0,77,69,0
145388482,0,0,62,0,98,57,0
146343921,0,0,64,0,100,63,0
147497329,0,0,65,0,92,60,0
148379306,0,0,65,0,93,60,0
149538598,0,0,65,0,89,58,0
150450356,0,0,65,0,95,56,0
151373493,0,0,65,0,100,71,0
152533306,0,0,65,0,88,64,0
153460004,0,0,65,0,98,55,0
154412313,0,0,65,0,98,61,0
155438416,0,0,91,0,94,40,21
156327304,0,0,99,0,95,46,23
157250404,0,0,107,82,100,45,20
158275033,0,0,122,120,99,55,27
