timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
360164963,-0.24398,-0.554831,0.00415917,0.0,0.0,-0.0133333
360169986,-0.245029,-0.557715,0.00387663,0.0,0.0,-0.0133333
360184986,-0.243713,-0.556708,0.0039217,0.0,0.0,-0.0133333
360210015,-0.241796,-0.555819,0.0028331,0.0,0.0,-0.0133333
360230032,-0.231204,-0.501849,0.00490007,0.0,0.0,-0.0133333
360245149,-0.238956,-0.478755,0.00166852,0.0,0.0,-0.0133333
360265123,-0.233573,-0.403047,0.00432106,0.0,0.0,-0.0121212
360290101,-0.213077,-0.364406,0.00329235,0.0,0.0,-0.0133333
360305127,-0.231548,-0.360459,0.00100032,0.0,0.0,-0.0133333
360325129,-0.222168,-0.3711,0.00354202,0.0,0.0,-0.0133333
360350217,-0.207036,-0.368847,0.00183609,0.0,0.0,-0.0133333
360370225,-0.211453,-0.357329,0.00106303,0.0,0.0,-0.0133333
360385210,-0.216034,-0.374137,0.0025638,0.0,0.0,-0.0133333
360405241,-0.215582,-0.374656,0.00228427,0.0,0.0,-0.0133333
360430272,-0.216248,-0.365902,0.0013687,0.0,0.0,-0.0133333
360445276,-0.214627,-0.373016,0.00250408,0.0,0.0,-0.0133333
360465341,-0.213628,-0.374449,0.00195915,0.0,0.0,-0.0133333
360490402,-0.212243,-0.365063,0.00159124,0.0,0.0,-0.0133333
360510364,-0.22704,-0.337056,0.00282385,0.0,0.0,-0.0133333
360525393,-0.20851,-0.357801,0.00202885,0.0,0.0,-0.0133333
360545455,-0.215621,-0.340533,0.00160638,0.0,0.0,-0.0133333
360570431,-0.22438,-0.337622,0.00195385,0.0,0.0,-0.0133333
360585499,-0.220247,-0.355616,0.00162119,0.0,0.0,-0.0133333
360605471,-0.216311,-0.355012,0.00199013,0.0,0.0,-0.0121212
360625517,-0.228335,-0.346894,0.00217409,0.0,0.0,-0.0121212
360650512,-0.229217,-0.337406,0.002187,0.0,0.0,-0.0133333
360665614,-0.223956,-0.352938,0.00232797,0.0,0.0,-0.0133333
360685558,-0.218848,-0.344488,0.00255263,0.0,0.0,-0.0133333
360710575,-0.211473,-0.34409,0.00252403,0.0,0.0,-0.0133333
360725589,-0.21005,-0.352125,0.00139602,0.0,0.0,-0.0133333
360745691,-0.214872,-0.351677,0.00253239,0.0,0.0,-0.0133333
360765620,-0.21252,-0.354919,0.00275034,0.0,0.0,-0.0121212
360790662,-0.1707,-0.34182,0.00263869,0.0,0.0,-0.0133333
360805653,-0.172853,-0.345969,0.00186424,0.0,0.0,-0.0133333
360825698,-0.217118,-0.342868,0.00274406,0.0,0.0,-0.0133333
360850741,-0.20571,-0.300868,0.00274194,0.0,0.0,-0.0133333
360865745,-0.22925,-0.358846,0.000271619,0.0,0.0,-0.0121212
360885768,-0.227342,-0.342082,0.00135862,0.0,0.0,-0.0133333
360905776,-0.217233,-0.342976,0.00274121,0.0,0.0,-0.0133333
360930813,-0.221382,-0.352902,0.00279697,0.0,0.0,-0.0121212
360945828,-0.225113,-0.351586,-0.000279217,0.0,0.0,-0.0121212
360965831,-0.23084,-0.340863,0.00122527,0.0,0.0,-0.0133333
360990937,-0.245517,-0.349458,0.00192843,0.0,0.0,-0.0121212
361005969,-0.232804,-0.353377,0.00249166,0.0,0.0,-0.0121212
361025917,-0.230742,-0.338949,-0.000290122,0.0,0.0,-0.0133333
361045966,-0.240364,-0.339833,0.000791621,0.0,0.0,-0.0133333
361071033,-0.236394,-0.341886,0.00098821,0.0,0.0,-0.0133333
361085983,-0.229821,-0.35502,0.00298144,0.0,0.0,-0.0121212
361106013,-0.234848,-0.339139,0.00102962,0.0,0.0,-0.0133333
361126021,-0.24446,-0.343632,-0.000217888,0.0,0.0,-0.0133333
361146045,-0.234422,-0.356046,0.00107708,0.0,0.0,-0.0121212
361171090,-0.230713,-0.345729,0.00132626,0.0,0.0,-0.0133333
361186106,-0.247058,-0.337454,0.00282438,0.0,0.0,-0.0133333
361211142,-0.254342,-0.340374,0.00232791,0.0,0.0,-0.0133333
361226147,-0.252747,-0.363212,0.000385659,0.0,0.0,-0.0121212
361246207,-0.242386,-0.344821,0.00238337,0.0,0.0,-0.0133333
361266210,-0.25631,-0.342361,0.00412397,0.0,0.0,-0.0133333
361286250,-0.270783,-0.364105,0.000298454,0.0,0.0,-0.0121212
361306228,-0.258569,-0.352264,0.000224231,0.0,0.0,-0.0133333
361326253,-0.247868,-0.341144,0.00172882,0.0,0.0,-0.0133333
361351303,-0.254486,-0.350271,0.00268848,0.0,0.0,-0.0121212
361366301,-0.259432,-0.356822,0.00139498,0.0,0.0,-0.0133333
361386341,-0.255747,-0.357133,-0.000445982,0.0,0.0,-0.0133333
361406360,-0.249272,-0.355747,0.000824022,0.0,0.0,-0.0121212
361426366,-0.242066,-0.339473,0.00449565,0.0,0.0,-0.0133333
361446414,-0.248394,-0.350233,0.00240875,0.0,0.0,-0.0133333
361466412,-0.25146,-0.343692,-0.000688441,0.0,0.0,-0.0133333
361491465,-0.250051,-0.340823,-0.000712452,0.0,0.0,-0.0133333
361506445,-0.238423,-0.333462,0.00382034,0.0,0.0,-0.0133333
361526508,-0.250713,-0.346948,0.00309278,0.0,0.0,-0.0133333
361546488,-0.258666,-0.351978,0.000187606,0.0,0.0,-0.0133333
361566550,-0.26575,-0.359112,-0.000171041,0.0,0.0,-0.0121212
361586543,-0.25855,-0.340522,0.00312783,0.0,0.0,-0.0133333
361606580,-0.271568,-0.349039,0.00314004,0.0,0.0,-0.0133333
361626575,-0.289422,-0.360187,0.00144469,0.0,0.0,-0.0121212
361646615,-0.287877,-0.352965,0.000525919,0.0,0.0,-0.0121212
361666619,-0.28126,-0.338144,0.00266154,0.0,0.0,-0.0133333
361686653,-0.289401,-0.346307,0.00267813,0.0,0.0,-0.0133333
361706706,-0.299476,-0.360265,0.00263271,0.0,0.0,-0.0121212
361726700,-0.287764,-0.346551,0.00163187,0.0,0.0,-0.0133333
361746763,-0.286586,-0.346006,0.00181909,0.0,0.0,-0.0133333
361766737,-0.288742,-0.349515,0.00193915,0.0,0.0,-0.0133333
361786841,-0.281412,-0.34286,0.00288809,0.0,0.0,-0.0133333
361806786,-0.280753,-0.348971,0.00269883,0.0,0.0,-0.0121212
361826853,-0.278635,-0.34424,0.00132871,0.0,0.0,-0.0133333
361846826,-0.280857,-0.347558,0.00124024,0.0,0.0,-0.0133333
361866886,-0.270082,-0.341861,0.00227938,0.0,0.0,-0.0133333
361886884,-0.276376,-0.350708,0.0033762,0.0,0.0,-0.0121212
361906898,-0.27268,-0.348402,0.00122793,0.0,0.0,-0.0133333
361926904,-0.276159,-0.352705,0.000749403,0.0,0.0,-0.0133333
361946944,-0.264375,-0.346559,0.00180049,0.0,0.0,-0.0133333
361966968,-0.263108,-0.338564,0.00382643,0.0,0.0,-0.0133333
361987061,-0.285016,-0.356938,0.001635,0.0,0.0,-0.0121212
362007049,-0.292955,-0.36101,0.000784406,0.0,0.0,-0.0121212
362027099,-0.274658,-0.345748,0.00134456,0.0,0.0,-0.0133333
362047056,-0.283052,-0.347076,0.00419104,0.0,0.0,-0.0121212
362067072,-0.291274,-0.345593,0.00272197,0.0,0.0,-0.0133333
362087099,-0.296799,-0.350127,0.000785582,0.0,0.0,-0.0133333
362107149,-0.283815,-0.34418,0.00103356,0.0,0.0,-0.0133333
362127168,-0.27808,-0.334619,0.00356017,0.0,0.0,-0.0121212
362147171,-0.293161,-0.341482,0.00327209,0.0,0.0,-0.0121212
362167174,-0.303205,-0.356989,0.000667321,0.0,0.0,-0.0121212
362187211,-0.279102,-0.345606,0.000644951,0.0,0.0,-0.0133333
362207275,-0.267101,-0.339928,0.00338114,0.0,0.0,-0.0133333
362227262,-0.28129,-0.342529,0.00328685,0.0,0.0,-0.0133333
362247291,-0.280432,-0.34792,0.000832127,0.0,0.0,-0.0133333
362267308,-0.273031,-0.351796,0.000543607,0.0,0.0,-0.0121212
362287371,-0.262637,-0.345636,0.00293841,0.0,0.0,-0.0121212
362307375,-0.265873,-0.33846,0.00284099,0.0,0.0,-0.0133333
