timestamp,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2]
360158836,2162698,0.00523691,-0.000725747,-0.0124855,2162698,-0.139365,0.215827,-0.399997,73225,0.0,0.0,0.0
360168857,2162698,0.00523694,-0.000725751,-0.0124857,2162698,-0.139366,0.215828,-0.399998,73225,0.0,0.0,0.0
361169964,2162698,0.00523152,-0.000749094,-0.0125031,2162698,-0.139366,0.215829,-0.400057,73225,0.0,0.0,0.0
362161067,2162698,0.00523524,-0.000750819,-0.0125196,2162698,-0.139366,0.215828,-0.400079,73225,0.0,0.0,0.0
363162183,2162698,0.00522723,-0.000771616,-0.0125386,2162698,-0.139367,0.215829,-0.4,73225,0.0,0.0,0.0
364163301,2162698,0.00522355,-0.0007821,-0.0125536,2162698,-0.139253,0.215665,-0.400021,73225,0.0,0.0,0.0
365164419,2162698,0.00520828,-0.000801104,-0.0125655,2162698,-0.13874,0.215001,-0.39999,73225,0.0,0.0,0.0
366165537,2162698,0.00519628,-0.000821422,-0.0125683,2162698,-0.138061,0.214333,-0.399998,73225,0.0,0.0,0.0
367166657,2162698,0.00518954,-0.000840134,-0.0125403,2162698,-0.137432,0.213932,-0.399999,73225,0.0,0.0,0.0
368167779,2162698,0.00519617,-0.000864836,-0.0125242,2162698,-0.136578,0.213948,-0.399997,73225,0.0,0.0,0.0
369168897,2162698,0.00520527,-0.000866702,-0.012523,2162698,-0.136503,0.21408,-0.4,73225,0.0,0.0,0.0
370170018,2162698,0.00519031,-0.000877292,-0.0124972,2162698,-0.136334,0.21367,-0.4,73225,0.0,0.0,0.0
371161129,2162698,0.0052165,-0.000908195,-0.0124897,2162698,-0.135781,0.213717,-0.4,73225,0.0,0.0,0.0
372162254,2162698,0.00525897,-0.000957502,-0.0124842,2162698,-0.134584,0.21413,-0.399082,73225,0.0,0.0,0.0
373163373,2162698,0.00525903,-0.000965058,-0.012486,2162698,-0.134172,0.214338,-0.399546,73225,0.0,0.0,0.0
374164495,2162698,0.00526026,-0.000968749,-0.0124894,2162698,-0.133479,0.214775,-0.399928,73225,0.0,0.0,0.0
375165630,2162698,0.00526372,-0.000968038,-0.0124953,2162698,-0.133782,0.215444,-0.399998,73225,0.0,0.0,0.0
376166739,2162698,0.00527235,-0.000968812,-0.0125074,2162698,-0.134154,0.215985,-0.40001,73225,0.0,0.0,0.0
377167862,2162698,0.0052788,-0.000968484,-0.0125163,2162698,-0.134518,0.216128,-0.4,73225,0.0,0.0,0.0
378158970,2162698,0.00529381,-0.000970087,-0.0125228,2162698,-0.134865,0.216263,-0.400001,73225,0.0,0.0,0.0
379160091,2162698,0.00531577,-0.000975408,-0.0125306,2162698,-0.135243,0.216308,-0.4,73225,0.0,0.0,0.0
380161229,2162698,0.00532668,-0.000990018,-0.0125378,2162698,-0.135477,0.216322,-0.400001,73225,0.0,0.0,0.0
