timestamp,nav_state_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,latest_arming_reason,latest_disarming_reason
18066470,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
18570967,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
19077317,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
19584432,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
20091068,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
20598023,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
21104105,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
21610272,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22117030,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22623191,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
23129966,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
23639168,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
24147964,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
24658208,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
25166026,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
25673162,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
26180965,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
26681123,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
27189012,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
27698170,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
28207173,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
28715324,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
29223241,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
29731250,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
30239966,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
30747000,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
31254990,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
31762968,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
32270264,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
32777999,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
33286000,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
33786122,1955116,305070127,304152591,305070095,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
34139142,34139138,305070127,304152591,305070095,4,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
34647129,34139138,305070127,304152591,305070095,4,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
34669240,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
35176372,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
35685154,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
36194000,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
36701965,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
37211280,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
37717995,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
38225003,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
38734127,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
39243013,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
39749965,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
40257049,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
40765105,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
41273195,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
41780968,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
42288007,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
42796204,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
43306009,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
43812966,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
44322966,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
44830021,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
45336968,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
45843988,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
46351967,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
46859966,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
47368095,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
47875086,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
48382020,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
50411065,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
54461156,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
54968351,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
55474966,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
55982169,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
56489965,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
56999299,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
57507022,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
58014276,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
58520983,34669235,305070127,304152591,305070095,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
