timestamp,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,fake_hvel[0],fake_hvel[1],fake_vvel,fake_hpos[0],fake_hpos[1],fake_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
18132608,0.0,0.0,0.0,-0.04221564,-0.3639632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.038848877,0.0,0.0,nan,0.0,0.0,-0.08672714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18142535,0.0,0.0,0.0,-0.04221564,-0.3639632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.038848877,0.0,0.0,nan,0.0,0.0,-0.086292386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18336195,0.0,0.0,0.0,-0.036240026,-0.35491914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.095947266,0.0,0.0,nan,0.0,0.0,-0.11613524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18539777,0.0,0.0,0.0,-0.03060803,-0.34164786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.1819458,0.0,0.0,nan,0.0,0.0,-0.12686753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18738509,0.0,0.0,0.0,-0.025247406,-0.32668728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.15237427,0.0,0.0,nan,0.0,0.0,-0.099630356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18937020,0.0,0.0,0.0,-0.019966763,-0.3179905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.16513062,0.0,0.0,nan,0.0,0.0,-0.11368382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19135672,0.0,0.0,0.0,-0.014993376,-0.30526295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.18054199,0.0,0.0,nan,0.0,0.0,-0.11989033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19334263,0.0,0.0,0.0,-0.00975228,-0.29159006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.010223389,0.0,0.0,nan,0.0,0.0,-0.10140312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19532940,0.0,0.0,0.0,-0.004698219,-0.27738652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.20422363,0.0,0.0,nan,0.0,0.0,-0.11223805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19736471,0.0,0.0,0.0,-2.050877e-05,-0.26035875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.026062012,0.0,0.0,nan,0.0,0.0,-0.08795655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19935092,0.0,0.0,0.0,0.004735032,-0.24880026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.004058838,0.0,0.0,nan,0.0,0.0,-0.08948505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20133714,0.0,0.0,0.0,0.009364502,-0.2355184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.08087158,0.0,0.0,nan,0.0,0.0,-0.08884573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20332403,0.0,0.0,0.0,0.013657804,-0.22218499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.14437866,0.0,0.0,nan,0.0,0.0,-0.0878402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20535923,0.0,0.0,0.0,0.017434388,-0.20688522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.029907227,0.0,0.0,nan,0.0,0.0,-0.08893335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20734544,0.0,0.0,0.0,0.021810066,-0.19553469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0009460449,0.0,0.0,nan,0.0,0.0,-0.083289266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20933166,0.0,0.0,0.0,0.025843862,-0.18319371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.25906372,0.0,0.0,nan,0.0,0.0,-0.09640241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21131788,0.0,0.0,0.0,0.029819485,-0.17100348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.06915283,0.0,0.0,nan,0.0,0.0,-0.06200564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21335374,0.0,0.0,0.0,0.03339667,-0.15782392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0115356445,0.0,0.0,nan,0.0,0.0,-0.049039125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21538961,0.0,0.0,0.0,0.045561682,-0.18627948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.030029297,0.0,0.0,nan,0.0,0.0,-0.05349791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21737583,0.0,0.0,0.0,0.05969641,-0.21774358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.00289917,0.0,0.0,nan,0.0,0.0,-0.049805284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21936243,0.0,0.0,0.0,0.07543755,-0.25057837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.07824707,0.0,0.0,nan,0.0,0.0,-0.05048883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22134826,0.0,0.0,0.0,0.07543755,-0.25057837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.046539307,0.0,0.0,nan,0.0,0.0,-0.046890616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
