timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
18138134,-0.034741145,-0.0,-1.7024162,0.0,0.6589756,-0.011447934,0.0130633535,-0.7519637,0.0,0.0,-0.0,0,0,0,0,0
18143107,-0.034741145,-0.0,-1.7023478,0.0,0.65900135,-0.0114483815,0.013062962,-0.7519412,0.0,0.0,-0.0,0,0,0,0,0
18237487,-0.034741145,-0.0,-1.7016189,0.0,0.65927535,-0.011453142,0.013058789,-0.75170094,0.0,0.0,-0.0,0,0,0,0,0
18341714,-0.034741145,-0.0,-1.7006344,0.0,0.65964526,-0.0114595685,0.013053151,-0.7513764,0.0,0.0,-0.0,0,0,0,0,0
18436075,-0.034741145,-0.0,-1.6994458,0.0,0.6600917,-0.011467324,0.013046337,-0.7509842,0.0,0.0,-0.0,0,0,0,0,0
18540364,-0.034741145,-0.0,-1.6975906,0.0,0.660788,-0.011479421,0.013035694,-0.7503716,0.0,0.0,-0.0,0,0,0,0,0
18639593,-0.034741145,-0.0,-1.6951237,0.0,0.66171306,-0.011495491,0.013021525,-0.74955595,0.0,0.0,-0.0,0,0,0,0,0
18739061,-0.034741145,-0.0,-1.693539,0.0,0.6623067,-0.011505805,0.013012413,-0.7490314,0.0,0.0,-0.0,0,0,0,0,0
18838341,-0.034741145,-0.0,-1.6911124,0.0,0.6632151,-0.011521584,0.012998442,-0.74822724,0.0,0.0,-0.0,0,0,0,0,0
18937584,-0.034741145,-0.0,-1.6884803,0.0,0.66419923,-0.011538681,0.012983268,-0.74735373,0.0,0.0,-0.0,0,0,0,0,0
19041864,-0.034741145,-0.0,-1.6864667,0.0,0.6649513,-0.011551746,0.012971645,-0.74668473,0.0,0.0,-0.0,0,0,0,0,0
19136199,-0.034741145,-0.0,-1.6841816,0.0,0.665804,-0.01156656,0.012958438,-0.7459245,0.0,0.0,-0.0,0,0,0,0,0
19240459,-0.034741145,-0.0,-1.6819214,0.0,0.66664654,-0.011581197,0.012945359,-0.7451716,0.0,0.0,-0.0,0,0,0,0,0
19339794,-0.034741145,-0.0,-1.6808769,0.0,0.66703564,-0.011587957,0.012939309,-0.74482334,0.0,0.0,-0.0,0,0,0,0,0
19439101,-0.034741145,-0.0,-1.6793281,0.0,0.6676122,-0.011597972,0.012930332,-0.74430656,0.0,0.0,-0.0,0,0,0,0,0
19538565,-0.034741145,-0.0,-1.6768774,0.0,0.6685238,-0.011613809,0.01291611,-0.74348795,0.0,0.0,-0.0,0,0,0,0,0
19637649,-0.034741145,-0.0,-1.6740253,0.0,0.6695833,-0.011632215,0.012899535,-0.7425338,0.0,0.0,-0.0,0,0,0,0,0
19741962,-0.034741145,-0.0,-1.6719309,0.0,0.6703605,-0.011645717,0.0128873475,-0.74183226,0.0,0.0,-0.0,0,0,0,0,0
19836360,-0.034741145,-0.0,-1.6708483,0.0,0.670762,-0.011652692,0.012881041,-0.74146926,0.0,0.0,-0.0,0,0,0,0,0
19940690,-0.034741145,-0.0,-1.6689769,0.0,0.6714555,-0.01166474,0.012870132,-0.7408413,0.0,0.0,-0.0,0,0,0,0,0
20039883,-0.034741145,-0.0,-1.6665816,0.0,0.67234224,-0.011680144,0.012856152,-0.7400366,0.0,0.0,-0.0,0,0,0,0,0
20139325,-0.034741145,-0.0,-1.6636196,0.0,0.67343754,-0.011699173,0.0128388405,-0.7390401,0.0,0.0,-0.0,0,0,0,0,0
20238559,-0.034741145,-0.0,-1.6613445,0.0,0.6742778,-0.011713769,0.0128255235,-0.7382735,0.0,0.0,-0.0,0,0,0,0,0
20337894,-0.034741145,-0.0,-1.6604578,0.0,0.674605,-0.011719454,0.0128203295,-0.7379745,0.0,0.0,-0.0,0,0,0,0,0
