timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
143365320,0.0,0.0,0,12,60059,65536,0,3,122
144367648,81.15918,79.984055,0,12,9453,65536,0,3,122
145368521,110.26465,54.70654,0,12,6151,65536,0,3,122
146369371,136.2334,45.164013,0,12,6587,65536,0,3,122
147371246,162.65332,40.478245,0,12,6460,65536,0,3,122
148371419,192.0,38.258724,0,12,3159,65536,0,3,122
149372526,215.4248,35.787407,0,12,6333,65536,0,3,122
150373332,241.67188,34.424347,0,12,6333,65536,0,3,122
151374327,268.41113,33.461998,0,12,5879,65536,0,3,122
152375943,294.39453,32.62717,0,12,6433,65536,0,3,122
153376333,324.00195,32.324627,0,12,2824,65536,0,3,122
154377390,348.55957,31.617002,0,12,4604,65536,0,3,122
155378352,378.00098,31.433554,0,12,1623,65536,0,3,122
156379346,400.16992,30.71994,0,12,5849,65536,0,3,122
157380415,426.38184,30.396227,0,12,5935,65536,0,3,122
158381583,452.15527,30.086266,0,12,6654,65536,0,3,122
159382370,483.49512,30.162996,0,12,1489,65536,0,3,122
160384016,511.01855,30.005095,0,12,232,65536,0,3,122
161384334,537.54297,29.811531,0,12,171,65536,0,3,122
162385599,561.20605,29.4865,0,12,2937,65536,0,3,122
163386368,590.0371,29.452654,0,12,291,65536,0,3,122
164387438,616.5615,29.31194,0,12,291,65536,0,3,122
165388764,640.0,29.043636,0,12,3217,65536,0,3,122
166389593,667.5674,28.97851,0,12,1865,65536,0,3,122
167390339,695.5801,28.937428,0,12,341,65536,0,3,122
168391326,721.876,28.830788,0,12,291,65536,0,3,122
169392338,748.12305,28.730446,0,12,341,65536,0,3,122
170393364,774.59863,28.645967,0,12,391,65536,0,3,122
171394480,800.89453,28.561022,0,12,341,65536,0,3,122
172395365,827.1416,28.480476,0,12,391,65536,0,3,122
173396609,852.55176,28.3771,0,12,1532,65536,0,3,122
174397348,879.9131,28.343706,0,12,391,65536,0,3,122
175398345,906.16016,28.277393,0,12,441,65536,0,3,122
176399328,929.9209,28.13988,0,12,3221,65536,0,3,122
177400490,958.93164,28.164495,0,12,441,65536,0,3,122
178401331,985.22754,28.110506,0,12,441,65536,0,3,122
179402430,1011.9873,28.07218,0,12,150,65536,0,3,122
180403335,1036.4619,27.974394,0,12,2015,65536,0,3,122
181405311,1064.2461,27.967941,0,12,561,65536,0,3,122
182405340,1088.0,27.860016,0,12,3348,65536,0,3,122
183406757,1114.3848,27.822199,0,12,3257,65536,0,3,122
184407339,1143.2646,27.847567,0,12,561,65536,0,3,122
185408341,1156.0508,27.48877,0,12,14629,65536,0,3,122
186409504,1196.2842,27.784023,0,12,357,65536,0,3,122
187410489,1220.8916,27.711302,0,12,2036,65536,0,3,122
188411334,1248.6436,27.711685,0,12,779,65536,0,3,122
189412356,1274.9883,27.681393,0,12,679,65536,0,3,122
190413477,1301.1865,27.649218,0,12,779,65536,0,3,122
191414351,1327.5381,27.621712,0,12,788,65536,0,3,122
192415335,1353.7852,27.59314,0,12,834,65536,0,3,122
193416340,1380.081,27.566675,0,12,707,65536,0,3,122
194417917,1405.1006,27.515944,0,12,2248,65536,0,3,122
195418473,1432.8525,27.520182,0,12,707,65536,0,3,122
196419594,1459.0996,27.49561,0,12,757,65536,0,3,122
197420325,1485.624,27.477276,0,12,707,65536,0,3,122
198421442,1511.8711,27.454378,0,12,757,65536,0,3,122
199422761,1536.0,27.394424,0,12,2976,65536,0,3,122
200423434,1561.209,27.355806,0,12,4273,65536,0,3,122
201424334,1589.4014,27.36979,0,12,2331,65536,0,3,122
202425334,1617.1367,27.375515,0,12,877,65536,0,3,122
203426390,1643.6611,27.360867,0,12,877,65536,0,3,122
204427404,1669.957,27.342974,0,12,877,65536,0,3,122
205428336,1696.2041,27.32491,0,12,877,65536,0,3,122
206429449,1722.6797,27.31096,0,12,927,65536,0,3,122
207431121,1748.9756,27.294409,0,12,927,65536,0,3,122
208431425,1773.9951,27.259325,0,12,2184,65536,0,3,122
209432347,1801.6982,27.265661,0,12,977,65536,0,3,122
210433388,1827.9941,27.250782,0,12,927,65536,0,3,122
211434545,1851.5596,27.196186,0,12,3723,65536,0,3,122
212435694,1880.7656,27.224829,0,12,977,65536,0,3,122
213436473,1907.0127,27.210573,0,12,1078,65536,0,3,122
214437340,1933.3086,27.197376,0,12,1078,65536,0,3,122
215438877,1948.6904,27.032885,0,12,12438,65536,0,3,122
216439373,1984.0,27.145947,0,12,3208,65536,0,3,122
