timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
371371344,34.0355757363,108.757374721,419.48,392.72,-0.0,0.728908,1.18441,0.0,2,0,0,0
371579877,34.0355753279,108.757373103,419.674,392.916,-0.0,0.729227,1.18517,0.0,2,0,0,0
371778548,34.0355749585,108.757371585,419.82,393.064,-0.0,0.729165,1.18499,0.0,2,0,0,0
371977159,34.0355746478,108.757370097,419.905,393.152,-0.0,0.729055,1.18481,0.0,2,0,0,0
372175839,34.0355744657,108.75736848,419.933,393.183,-0.0,0.728907,1.18463,0.0,2,0,0,0
372379407,34.0355745719,108.757366753,419.91,393.164,-0.0,0.728733,1.1852,0.0,2,0,0,0
372578047,34.0355748436,108.7573652,419.86,393.118,-0.0,0.728558,1.18503,0.0,2,0,0,0
372771723,34.035575137,108.757363855,419.786,393.049,-0.0,0.728101,1.18465,0.0,2,0,0,0
372980376,34.0355754512,108.757362583,419.665,392.932,-0.0,0.728206,1.18469,0.0,2,0,0,0
373178962,34.0355757324,108.757361477,419.508,392.78,-0.0,0.728048,1.18528,0.0,2,0,0,0
373377577,34.0355761256,108.757360379,419.322,392.599,-0.0,0.727949,1.18512,0.0,2,0,0,0
373581185,34.0355767816,108.757359192,419.134,392.417,-0.0,0.727849,1.18495,0.0,2,0,0,0
373779825,34.0355775217,108.757358038,418.98,392.268,-0.0,0.727779,1.18555,0.0,2,0,0,0
373978467,34.0355780463,108.757356972,418.877,392.168,-0.0,0.727757,1.18539,0.0,2,0,0,0
374177109,34.0355785919,108.757355978,418.835,392.13,-0.0,0.727749,1.18523,0.0,2,0,0,0
374375748,34.035579155,108.757354963,418.837,392.131,-0.0,0.727802,1.18583,0.0,2,0,0,0
374574442,34.0355796155,108.757353736,418.878,392.171,-0.0,0.727839,1.18567,0.0,2,0,0,0
374777991,34.0355800286,108.757352227,418.97,392.262,-0.0,0.727929,1.1855,0.0,2,0,0,0
374981603,34.0355804102,108.757350657,419.12,392.413,-0.0,0.728036,1.18535,0.0,2,0,0,0
375180245,34.0355808093,108.757349069,419.29,392.582,-0.0,0.728185,1.18597,0.0,2,0,0,0
375378885,34.0355812837,108.757347422,419.468,392.761,-0.0,0.728335,1.18582,0.0,2,0,0,0
375577526,34.0355817883,108.757345606,419.655,392.949,-0.0,0.728447,1.18567,0.0,2,0,0,0
375771208,34.0355821579,108.75734361,419.837,393.134,-0.0,0.728233,1.18607,0.0,2,0,0,0
375979777,34.0355823666,108.757341162,420.017,393.315,-0.0,0.728666,1.18614,0.0,2,0,0,0
376178437,34.0355823948,108.757338813,420.171,393.472,-0.0,0.72877,1.18599,0.0,2,0,0,0
376377056,34.0355824867,108.757336521,420.333,393.638,-0.0,0.728826,1.18661,0.0,2,0,0,0
376580663,34.03558262,108.757334281,420.504,393.813,-0.0,0.728884,1.18644,0.0,2,0,0,0
376779464,34.0355827002,108.757332275,420.663,393.976,-0.0,0.728941,1.18627,0.0,2,0,0,0
376977947,34.0355829276,108.757330479,420.807,394.124,-0.0,0.728988,1.18611,0.0,2,0,0,0
377176586,34.0355833558,108.757328836,420.949,394.27,-0.0,0.728989,1.18672,0.0,2,0,0,0
377375227,34.0355838946,108.757327407,421.082,394.407,-0.0,0.729029,1.18655,0.0,2,0,0,0
377573970,34.0355843637,108.757326194,421.19,394.521,-0.0,0.729056,1.18638,0.0,2,0,0,0
377777475,34.035584711,108.757325011,421.273,394.609,-0.0,0.72904,1.1862,0.0,2,0,0,0
377976116,34.0355848416,108.757324002,421.306,394.647,-0.0,0.729037,1.18681,0.0,2,0,0,0
378179723,34.0355849645,108.757323138,421.301,394.648,-0.0,0.729024,1.18663,0.0,2,0,0,0
378378568,34.0355850907,108.757322348,421.283,394.635,-0.0,0.728992,1.18646,0.0,2,0,0,0
378572039,34.0355852609,108.757321566,421.258,394.615,-0.0,0.728652,1.18684,0.0,2,0,0,0
378770680,34.0355855076,108.757320613,421.221,394.581,-0.0,0.728613,1.18667,0.0,2,0,0,0
378979292,34.0355858086,108.757319482,421.183,394.549,-0.0,0.728914,1.18671,0.0,2,0,0,0
379177943,34.035586081,108.757318223,421.151,394.522,-0.0,0.728889,1.18652,0.0,2,0,0,0
379381504,34.0355863926,108.757316773,421.116,394.491,-0.0,0.728864,1.18713,0.0,2,0,0,0
379580142,34.0355867045,108.757315224,421.07,394.45,-0.0,0.728861,1.18694,0.0,2,0,0,0
379778787,34.0355870459,108.757313539,421.031,394.416,-0.0,0.728859,1.18675,0.0,2,0,0,0
379977531,34.0355873564,108.757311726,420.991,394.381,-0.0,0.728814,1.18656,0.0,2,0,0,0
380176065,34.0355875493,108.75730979,420.944,394.338,-0.0,0.728773,1.18715,0.0,2,0,0,0
380374706,34.0355877643,108.757307764,420.892,394.29,-0.0,0.728726,1.18695,0.0,2,0,0,0
380578316,34.0355880135,108.7573055,420.838,394.242,-0.0,0.728684,1.18754,0.0,2,0,0,0
380776988,34.035588329,108.757303123,420.785,394.195,-0.0,0.728646,1.18731,0.0,2,0,0,0
380975595,34.0355886918,108.757300651,420.736,394.153,-0.0,0.728616,1.18709,0.0,2,0,0,0
381174326,34.035588995,108.757298025,420.687,394.111,-0.0,0.728559,1.18766,0.0,2,0,0,0
381377843,34.0355894448,108.757295204,420.629,394.058,-0.0,0.728496,1.18741,0.0,2,0,0,0
381576488,34.0355898788,108.757292412,420.532,393.963,-0.0,0.728474,1.18717,0.0,2,0,0,0
381780091,34.0355904962,108.757289296,420.418,393.852,-0.0,0.728489,1.18694,0.0,2,0,0,0
381978732,34.0355911909,108.757286226,420.314,393.751,-0.0,0.728508,1.18751,0.0,2,0,0,0
382167630,34.0355916956,108.757283514,420.215,393.653,-0.0,0.728188,1.18705,0.0,2,0,0,0
382380980,34.0355918774,108.757280864,420.081,393.52,-0.0,0.728489,1.18704,0.0,2,0,0,0
382579628,34.0355919168,108.757278735,419.934,393.373,-0.0,0.728485,1.1868,0.0,2,0,0,0
382773296,34.0355921724,108.757276848,419.799,393.238,-0.0,0.728172,1.18714,0.0,2,0,0,0
382972113,34.0355927732,108.757275092,419.689,393.128,-0.0,0.728199,1.18691,0.0,2,0,0,0
383180510,34.0355934214,108.757273456,419.595,393.033,-0.0,0.728478,1.1869,0.0,2,0,0,0
383379152,34.0355939561,108.757271933,419.516,392.953,-0.0,0.728487,1.18746,0.0,2,0,0,0
383577792,34.035594515,108.757270377,419.467,392.904,-0.0,0.728499,1.18722,0.0,2,0,0,0
383776597,34.0355950088,108.757268956,419.458,392.896,-0.0,0.728514,1.18698,0.0,2,0,0,0
383975075,34.0355955081,108.757267528,419.464,392.903,-0.0,0.728531,1.18674,0.0,2,0,0,0
384178682,34.035595871,108.75726621,419.487,392.926,-0.0,0.728516,1.1873,0.0,2,0,0,0
384377322,34.0355961069,108.757264969,419.523,392.962,-0.0,0.728538,1.18706,0.0,2,0,0,0
384576089,34.0355963181,108.757263736,419.56,392.999,-0.0,0.728581,1.18682,0.0,2,0,0,0
384779572,34.0355967137,108.75726251,419.607,393.046,-0.0,0.72859,1.18737,0.0,2,0,0,0
384978211,34.0355973256,108.757261373,419.668,393.107,-0.0,0.728599,1.18712,0.0,2,0,0,0
385171886,34.0355977481,108.757260346,419.744,393.183,-0.0,0.728246,1.18744,0.0,2,0,0,0
385380573,34.035598182,108.757259385,419.836,393.276,-0.0,0.728607,1.1874,0.0,2,0,0,0
385579121,34.0355984379,108.757258363,419.944,393.385,-0.0,0.728649,1.18713,0.0,2,0,0,0
385772775,34.035598736,108.757257213,420.049,393.493,-0.0,0.728338,1.18745,0.0,2,0,0,0
385981348,34.0355991461,108.757256045,420.135,393.581,-0.0,0.728689,1.1874,0.0,2,0,0,0
386180063,34.0355993173,108.757255186,420.188,393.636,-0.0,0.728716,1.18713,0.0,2,0,0,0
386378630,34.0355993272,108.757254214,420.233,393.685,-0.0,0.728702,1.18686,0.0,2,0,0,0
386577271,34.0355994244,108.757252851,420.263,393.717,-0.0,0.728672,1.1874,0.0,2,0,0,0
386780878,34.0355993964,108.75725131,420.269,393.727,-0.0,0.728641,1.18712,0.0,2,0,0,0
386979563,34.0355992932,108.757249525,420.269,393.731,-0.0,0.728594,1.18684,0.0,2,0,0,0
387178160,34.0355992426,108.757247453,420.269,393.735,-0.0,0.728553,1.18737,0.0,2,0,0,0
387376802,34.0355992326,108.75724526,420.258,393.727,-0.0,0.728514,1.1871,0.0,2,0,0,0
387580424,34.0355991949,108.757243074,420.241,393.715,-0.0,0.728477,1.18683,0.0,2,0,0,0
387779058,34.035599124,108.757241125,420.217,393.696,-0.0,0.728429,1.18656,0.0,2,0,0,0
387977691,34.0355990676,108.757239483,420.186,393.67,-0.0,0.728389,1.18709,0.0,2,0,0,0
388171366,34.0355989196,108.757238029,420.149,393.638,-0.0,0.728031,1.18662,0.0,2,0,0,0
388379938,34.0355986642,108.757236604,420.099,393.593,-0.0,0.728326,1.18657,0.0,2,0,0,0
388578622,34.0355984195,108.757235301,420.032,393.531,-0.0,0.728303,1.18711,0.0,2,0,0,0
388777221,34.0355982655,108.757233944,419.958,393.461,-0.0,0.728239,1.18685,0.0,2,0,0,0
388975864,34.0355980201,108.757232562,419.898,393.405,-0.0,0.72818,1.18658,0.0,2,0,0,0
389179469,34.0355977834,108.757231017,419.853,393.364,-0.0,0.728085,1.18711,0.0,2,0,0,0
389378110,34.0355975466,108.757229308,419.812,393.326,-0.0,0.728038,1.18684,0.0,2,0,0,0
389576751,34.0355972675,108.757227492,419.77,393.286,-0.0,0.727989,1.18658,0.0,2,0,0,0
389775392,34.0355971846,108.757225347,419.738,393.256,-0.0,0.727949,1.18711,0.0,2,0,0,0
389979029,34.0355972286,108.757222842,419.714,393.235,-0.0,0.727917,1.18685,0.0,2,0,0,0
390177642,34.0355975113,108.75721997,419.706,393.228,-0.0,0.727893,1.18659,0.0,2,0,0,0
390376283,34.0355978957,108.757216703,419.711,393.237,-0.0,0.727876,1.18634,0.0,2,0,0,0
390579945,34.035598336,108.757213048,419.73,393.258,-0.0,0.727863,1.18687,0.0,2,0,0,0
390778716,34.0355988024,108.75720918,419.757,393.286,-0.0,0.727899,1.1866,0.0,2,0,0,0
390977171,34.0355992097,108.757205202,419.789,393.321,-0.0,0.727913,1.18712,0.0,2,0,0,0
391170845,34.0355995261,108.757201394,419.835,393.369,-0.0,0.727583,1.18664,0.0,2,0,0,0
391379418,34.0355997531,108.757197701,419.905,393.442,-0.0,0.727907,1.18659,0.0,2,0,0,0
391578214,34.0355997917,108.757194505,419.983,393.522,-0.0,0.727921,1.18632,0.0,2,0,0,0
391781673,34.035599837,108.757191496,420.067,393.607,-0.0,0.727932,1.18685,0.0,2,0,0,0
