timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
1935657005,536193714,34.0364214,108.7606916,-24.711052,21.092892,4.264869,0.23480847,-0.8062138,0.0,-0.04922651,-0.037035115,-0.016401863,-0.026162772,0.014515832,-0.2577752,-0.09331626,0.118557796,-0.14564177,0.07276911,-1.4967147,0.033825055,429.01227,0.103475094,0.315195,0.39169353,0.1421902,0.105940215,inf,inf,inf,inf,1,1,1,1,2,0,2,1,9,1,1,1
1935666935,536193714,34.0364214,108.7606916,-24.7121,21.092777,4.2648535,0.23480847,-0.8062138,0.0,-0.04888568,-0.035921935,-0.01675542,-0.026240518,0.014515832,-0.2577752,-0.09331626,-0.06028724,0.37858537,-0.23123369,-1.4970511,0.033825055,429.01227,0.1067214,0.29885417,0.38809198,0.13345316,0.10329735,inf,inf,inf,inf,1,1,1,1,2,0,2,1,9,1,1,1
1935865559,536193714,34.0364214,108.7606916,-24.730122,21.089043,4.261852,0.23480847,-0.8062138,0.0,-0.04758189,-0.028551087,-0.01714563,-0.024428971,0.014515832,-0.2577752,-0.09331626,0.80500114,0.63022774,0.63946,-1.4960548,0.033825055,429.01227,0.1,0.29890782,0.38745075,0.13361408,0.10325134,inf,inf,inf,inf,1,1,1,1,2,0,2,1,9,1,1,1
1935964872,536193714,34.0364214,108.7606916,-24.74055,21.086973,4.258002,0.23480847,-0.8062138,0.0,-0.045911565,-0.03161409,-0.02741061,-0.036017682,0.014515832,-0.2577752,-0.09331626,-1.1333911,1.6468121,-0.9607954,-1.496255,0.033825055,429.01227,0.1,0.3072738,0.38921648,0.13814634,0.10463932,inf,inf,inf,inf,1,1,1,1,2,0,2,1,9,1,1,1
1936064185,536193714,34.0364214,108.7606916,-24.750353,21.084843,4.2548385,0.23480847,-0.8062138,0.0,-0.051946905,-0.032768317,-0.019114505,-0.02809578,0.014515832,-0.2577752,-0.09331626,0.5083034,-0.19442935,-0.89353305,-1.4955143,0.033825055,429.01227,0.10485697,0.29895815,0.38919353,0.13363184,0.1034544,inf,inf,inf,inf,1,1,1,1,2,0,2,1,9,1,1,1
1936163498,536193714,34.0364214,108.7606916,-24.761955,21.083532,4.252604,0.23480847,-0.8062138,0.0,-0.04463183,-0.042222716,-0.01729148,-0.02565382,0.014515832,-0.2577752,-0.09331626,0.030405616,-0.42589104,0.2211896,-1.495347,0.033825055,429.01227,0.10164213,0.30732882,0.39098272,0.13814922,0.10484905,inf,inf,inf,inf,1,1,1,1,2,0,2,1,9,1,1,1
1936262876,536193714,34.0364214,108.7606916,-24.771875,21.08144,4.248948,0.23480847,-0.8062138,0.0,-0.04973709,-0.037458766,-0.016599875,-0.025827022,0.014515832,-0.2577752,-0.09331626,-0.5262214,0.45406717,0.604072,-1.4951833,0.033825055,429.01227,0.1,0.29890957,0.3885342,0.13349998,0.10338861,inf,inf,inf,inf,1,1,1,1,2,0,2,1,9,1,1,1
1936362126,536193714,34.0364214,108.7606916,-24.783258,21.077656,4.2439733,0.23480847,-0.8062138,0.0,-0.04616916,-0.03532949,-0.02291311,-0.034133803,0.014515832,-0.2577752,-0.09331626,0.42535,-0.2536324,-0.6307416,-1.494656,0.033825055,429.01227,0.1,0.3072756,0.39031273,0.13804162,0.1047805,inf,inf,inf,inf,1,1,1,1,2,0,2,1,9,1,1,1
1936461439,536193714,34.0364214,108.7606916,-24.793024,21.073896,4.2390165,0.23480847,-0.8062138,0.0,-0.049096514,-0.0437082,-0.019709637,-0.03258029,0.014515832,-0.2577752,-0.09331626,-0.5908665,-0.11215773,0.31131136,-1.4944195,0.033825055,429.01227,0.1,0.298864,0.38787487,0.13342118,0.10332196,inf,inf,inf,inf,1,1,1,1,2,0,2,1,9,1,1,1
1936560902,536193714,34.0364214,108.7606916,-24.804932,21.071762,4.231188,0.23480847,-0.8062138,0.0,-0.04736676,-0.034565434,-0.023902303,-0.040874932,0.014515832,-0.2577752,-0.09331626,0.43393403,1.2160087,-0.4993569,-1.4941428,0.033825055,429.01227,0.1,0.30722585,0.38964283,0.13795985,0.10470944,inf,inf,inf,inf,1,1,1,1,2,0,2,1,9,1,1,1
